Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023
Gregory Polanco\polangr01,29,8,Amateur Free Agent,6.103,Republik Sports,5 yrs/$35M (17-21) & 22-23 team option,$11.6M,$3M [FA-*],$0 [FA-*]
Felipe Vazquez\riverfe01,29,5,Traded,4.162,Scott Boras,4 yrs/$22M (18-21) & 22-23 team option,$7.75M,$1M [Arb-*],$0 [FA-*]
Colin Moran\moranco01,28,6,Traded,3.107,Excel Sports,1 yr/$2.8M (21),$2.8M,Arb,Arb
Adam Frazier\fraziad01,29,6,Amateur Draft,4.075,,1 yr/$4.3M (21),$4.3M,Arb,FA
Tyler Anderson\anderty01,31,6,Free Agency,5.065,The Legacy Agency,1 yr/$2.5M (21),$2.5M,FA,
Chad Kuhl\kuhlch01,28,5,Amateur Draft,4.079,,1 yr/$2.13M (21),$2.13M,Arb,FA
Steven Brault\braulst01,29,5,Traded,3.085,L. Warner Compani...,1 yr/$2.05M (21),$2.05M,Arb,Arb
Richard Rodriguez\rodriri05,31,5,Free Agency,3.016,,1 yr/$1.7M (21),$1.7M,Arb,Arb
Trevor Cahill\cahiltr01,33,13,Free Agency,11.056,John Boggs and As...,1 yr/$1.5M (21),$1.5M,FA,
Jacob Stallings\stallja01,31,6,Amateur Draft,2.149,,1 yr/$1.3M (21),$1.3M,Arb,Arb
Erik Gonzalez\gonzaer01,29,6,Traded,4.007,,1 yr/$1.23M (21),$1.23M,Arb,FA
Chris Stratton\stratch01,30,6,Purchased,3.100,Bo McKinnis,1 yr/$1.1M (21),$1.1M,Arb,Arb
Kyle Crick\crickky01,28,5,Traded,3.104,BBI Sports,1 yr/$800k (21),$800k,Arb,Arb
Chasen Shreve\shrevch01,30,8,Free Agency,5.012,,1 yr/$100k (21),$100k,FA,
Steven Wright\wrighst01,36,7,,5.012,Ballengee Group,1 yr/$100k (21),$100k,FA,
Ben Gamel\gamelbe01,29,6,Waivers,4.029,,1 yr/$100k (21),$100k,Arb,FA
Wilmer Difo\difowi01,29,7,Free Agency,3.146,,,Arb,,Arb
Phillip Evans\evansph01,28,4,Free Agency,1.110,,,,,Arb
Austin Davis\davisau01,28,3,Traded,1.105,,,,,Arb
Geoff Hartlieb\hartlge01,27,3,Amateur Draft,1.093,,,,,Arb
Jandel Gustave\gustaja01,28,3,,2.110,,,,,Arb
T.J. Rivera\rivertj01,32,2,,2.054,,,,,Arb
Kevin Newman\newmake01,27,4,Amateur Draft,2.046,,,,,Arb
Christian Bethancourt\bethach01,29,5,,2.038,Scott Boras,,,,Arb
Clay Holmes\holmecl01,28,4,Free Agency,2.031,,,,,Arb
Andrew Susac\susacan01,31,6,Free Agency,2.012,The Legacy Agency,,,,Arb
Michael Perez\perezmi03,28,4,Waivers,2.000,,,,,Arb
Bryan Reynolds\reynobr01,26,3,Traded,1.163,,,,,Arb
Anthony Alford\alforan01,26,5,Waivers,1.142,Jet Sports,,,,Arb
Tyler Bashlor\bashlty01,28,3,Purchased,1.139,,,,,Arb
Sam Howard\howarsa01,28,4,Waivers,1.105,,,,,Arb
Cole Tucker\tuckeco01,24,3,Amateur Draft,1.080,,,,,Arb
Kevin Kramer\krameke01,27,2,Amateur Draft,1.060,Sosnick Cobbe & K...,,,,Arb
Mitch Keller\kellemi03,25,3,Amateur Draft,1.059,,,,,Arb
Duane Underwood Jr.\underdu01,26,4,Traded,1.044,,,,,Arb
Dustin Fowler\fowledu01,26,3,Purchased,1.039,,,,,Arb
JT Brubaker\brubajt01,27,2,Amateur Draft,1.000,,,,,Arb
Joe Hudson\hudsojo03,30,3,,0.131,,,,,
Kyle Keller\kelleky01,28,3,Purchased,0.060,Nello P. Gamberdi...,,,,
Chase De Jong\dejonch01,27,5,Free Agency,0.110,,,,,
Cody Ponce\ponceco01,27,2,Traded,0.050,,,,,
Miguel Yajure\yajurmi01,23,2,Traded,0.044,,,,,
David Bednar\bednada01,26,3,Traded,0.076,,,,,
Ke'Bryan Hayes\hayeske01,24,2,Amateur Draft,0.075,,,,,
Nick Mears\mearsni01,24,1st,Amateur Free Agent,0.028,,,,,
Wil Crowe\crowewi01,26,2,Traded,0.025,,,,,
Jared Oliva\olivaja01,25,1st,Amateur Draft,0.019,,,,,
Blake Cederlind\cederbl01,25,1st,Amateur Draft,0.036,,,,,
James Marvel\marveja01,27,1st,Amateur Draft,0.022,Sosnick Cobbe & K...,,,,
Will Craig\craigwi01,26,2,Amateur Draft,0.014,,,,,
