Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024
Khris Davis\daviskh01,33,9,Traded,7.104,Octagon,2 yrs/$33.5M (20-21),$16.75M,FA,,
Kyle Gibson\gibsoky01,33,9,Free Agency,7.039,Rowley Sports Man...,3 yrs/$28M (20-22),$9.67M,$7.67M,FA,
Jordan Lyles\lylesjo01,30,11,Free Agency,9.002,Ballengee Group,2 yrs/$16M (20-21),$8M,FA,,
Jose Leclerc\leclejo01,27,5,Amateur Free Agent,4.041,Munger English Sp...,4 yrs/$14.75M (19-22) & 23-24 team option,$4.5M,$5.25M,$750k [FA-*],$0 [FA-*]
Joey Gallo\gallojo01,27,7,Amateur Draft,4.103,Scott Boras,1 yr/$6.2M (21),$6.2M,Arb,FA,
Joely Rodriguez\rodrijo06,29,4,Free Agency,1.096,,2 yrs/$5.5M (20-21) & 22 team option,$2.5M,$500k [*],Arb,Arb
David Dahl\dahlda01,27,5,Free Agency,3.162,,1 yr/$2.7M (21),$2.7M,Arb,Arb,FA
Isiah Kiner-Falefa\kineris01,26,4,Amateur Draft,3.000,MVP Sports Group,1 yr/$2M (21),$2M,Arb,Arb,FA
Wade LeBlanc\leblawa01,36,13,,7.131,CAA Sports (Greg ...,1 yr/$700k (21),$700k,FA,,
Jimmy Herget\hergeji01,27,2,Free Agency,1.033,,1 yr/$700k (21),$700k,Pre-Arb,Arb,Arb
Ian Kennedy\kenneia01,36,15,Free Agency,11.124,Scott Boras,1 yr/$100k (21),$100k,FA,,
Brock Holt\holtbr01,33,10,Free Agency,7.052,LSW Baseball,1 yr/$100k (21),$100k,FA,,
Nick Vincent\vinceni01,34,9,,7.033,PSI Sports Manage...,1 yr/$100k (21),$100k,FA,,
Delino DeShields\deshide02,28,6,Rule 5 Draft,5.109,Wasserman,1 yr/$100k (21),$100k,FA,,
Hunter Wood\woodhu01,27,4,Free Agency,1.078,MVP Sports Group,1 yr/$100k (21),$100k,Pre-Arb,Arb,Arb
Spencer Patton\pattosp01,33,3,Traded,1.009,Nello P. Gamberdi...,1 yr/$100k (21),$100k,Pre-Arb,Arb,Arb
Charlie Culberson\culbech01,32,9,Free Agency,5.051,Ballengee Group,,Arb,,,
Mike Foltynewicz\foltymi01,29,8,Free Agency,4.156,Excel Sports Mana...,,Arb,,FA,
John Hicks\hicksjo02,31,5,,3.001,,,Arb,,Arb,FA
Joe Palumbo\palumjo01,26,2,Amateur Draft,1.130,,,,,Arb,Arb
Justin Anderson\anderju01,28,2,,2.161,,,,,Arb,Arb
Jharel Cotton\cottojh01,29,2,,2.158,VC Sports Group,,,,Arb,Arb
Matt Bush\bushma01,35,4,Free Agency,2.132,Full Circle Sport...,,,,Arb,Arb
Ronald Guzman\guzmaro01,26,4,Amateur Free Agent,2.083,Octagon,,,,Arb,Arb
Brock Burke\burkebr01,24,1st,Traded,1.041,Sosnick Cobbe & K...,,,,Arb,Arb
Willie Calhoun\calhowi01,26,5,Traded,2.033,MVP Sports Group,,,,Arb,Arb
Brett Martin\martibr01,26,3,Amateur Draft,1.151,,,,,Arb,Arb
Taylor Hearn\hearnta01,26,3,Traded,1.122,,,,,Arb,Arb
Kolby Allard\allarko01,23,4,Traded,1.114,,,,,Arb,Arb
Jose Trevino\trevijo01,28,4,Amateur Draft,1.055,,,,,Arb,Arb
Jonathan Hernandez\hernajo02,24,2,Amateur Free Agent,1.041,,,,,Arb,Arb
Nick Solak\solakni01,26,3,Traded,1.041,Sosnick Cobbe & K...,,,,Arb,Arb
Wes Benjamin\benjawe01,27,2,Amateur Draft,0.133,,,,,,Arb
Leody Taveras\taverle01,22,2,Amateur Free Agent,0.114,,,,,,Arb
Anderson Tejeda\tejedan01,23,2,Amateur Free Agent,0.103,,,,,,Arb
James Jones\jonesja06,32,2,,0.170,,,,,Arb,Arb
Eli White\whiteel04,27,2,Traded,0.075,,,,,,Arb
Nate Lowe\lowena01,25,3,Traded,0.145,David Meter,,,,,Arb
Jason Martin\martija03,25,3,Free Agency,0.139,,,,,,Arb
Josh Sborz\sborzjo01,27,3,Traded,0.113,,,,,,Arb
Kyle Cody\codyky01,26,2,Amateur Draft,0.108,,,,,,Arb
Jonah Heim\heimjo01,26,2,Traded,0.097,,,,,,Arb
Adolis García\garciad02,28,3,Purchased,0.095,,,,,,Arb
Sherten Apostel\apostsh01,22,1st,Traded,0.044,,,,,,Arb
Dane Dunning\dunnida01,26,2,Traded,0.083,,,,,,Arb
John King\kingjo01,26,2,Amateur Draft,0.067,,,,,,Arb
Sam Huff\huffsa01,23,1st,Amateur Draft,0.050,,,,,,Arb
Drew Anderson\anderdr02,27,4,,0.048,,,,,,Arb
Demarcus Evans\evansde01,24,2,Amateur Draft,0.036,,,,,,Arb
Luis Ortiz\ortizlu02,25,2,,0.029,,,,,,Arb
Tyson Miller\millety01,25,1st,,0.006,,,,,,Arb
