Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026
Chris Sale\salech01,32,10,Traded,10.061,Jet Sports,5 yrs/$145M (20-24) & 25 vesting option,$30M,$30M,$27.5M,$27.5M,$0 [FA-*],FA
Xander Bogaerts\bogaexa01,28,9,Amateur Free Agent,7.042,Scott Boras,6 yrs/$120M (20-25) & 26 vesting option,$20M,$20M,$20M,$20M,$20M,$0 [FA-*]
J.D. Martinez\martijd02,33,11,Free Agency,9.036,Scott Boras,5 yrs/$109.95M (18-22),$19.35M,$19.35M,FA,,,
Nathan Eovaldi\eovalna01,31,10,Traded,9.013,ACES (Sam & Seth ...,4 yrs/$68M (19-22),$17M,$17M,FA,,,
Adam Ottavino\ottavad01,35,11,Traded,9.087,ACES (Sam & Seth ...,3 yrs/$27M (19-21),$9M,FA,,,,
Enrique Hernandez\hernaen02,29,8,Free Agency,6.054,Wasserman,2 yrs/$14M (21-22),$6M,$8M,FA,,,
Christian Vazquez\vazquch01,30,7,Amateur Draft,6.031,MDR Sports,3 yrs/$13.55M (19-21) & 22 team option,$6.25M,$250k [FA-*],FA,,,
Garrett Richards\richaga01,33,11,Free Agency,8.148,ISE Baseball,1 yr/$10M (21) & 22 team option,$8.5M,$1.5M [FA-*],FA,,,
Eduardo Rodriguez\rodried05,28,6,Traded,5.130,ISE Baseball,1 yr/$8.3M (21),$8.3M,FA,,,,
Martin Perez\perezma02,30,10,Free Agency,8.038,OL Baseball Group,1 yr/$5M (21) & 22 team option,$4.5M,$500k [FA-*],FA,,,
Rafael Devers\deverra01,24,5,Amateur Free Agent,3.070,,1 yr/$4.58M (21),$4.58M,Arb,Arb,FA,,
Matt Barnes\barnema01,31,8,Amateur Draft,5.110,ISE Baseball,1 yr/$4.5M (21),$4.5M,FA,,,,
Hunter Renfroe\renfrhu01,29,6,Free Agency,3.165,,1 yr/$3.1M (21),$3.1M,Arb,Arb,FA,,
Marwin Gonzalez\gonzama01,32,10,Free Agency,8.133,Scott Boras,1 yr/$3M (21),$3M,FA,,,,
Matt Andriese\andrima01,31,7,Free Agency,5.071,Beverly Hills Spo...,1 yr/$2.1M (21) & 22 team option,$1.85M,$250k [FA-*],FA,,,
Kevin Plawecki\plaweke01,30,7,Free Agency,4.167,ACES,1 yr/$1.6M (21),$1.6M,Arb,FA,,,
Franchy Cordero\cordefr02,26,5,Traded,3.038,Republik Sports,1 yr/$800k (21),$800k,Arb,Arb,FA,,
Ryan Brasier\brasiry01,33,4,Free Agency,3.109,MVP Sports Group,1 yr/$1.25M (21),$1.25M,Arb,Arb,FA,,
Austin Brice\briceau01,29,6,Traded,3.101,,1 yr/$870k (21),$870k,Arb,Arb,FA,,
Brandon Workman\workmbr01,32,7,Free Agency,6.051,CAA Sports (Jeff ...,1 yr/$100k (21),$100k,FA,,,,
Danny Santana\santada01,30,8,Free Agency,5.140,Mato Sports Manag...,1 yr/$100k (21),$100k,FA,,,,
Chris Herrmann\herrmch01,33,8,,5.128,Sports Management...,1 yr/$100k (21),$100k,FA,,,,
Kevin McCarthy\mccarke01,29,5,,3.003,,1 yr/$100k (21),$100k,Arb,Arb,FA,,
Jett Bandy\bandyje01,31,4,,2.054,,1 yr/$100k (21),$100k,Arb,Arb,Arb,FA,
Matt Carasiti\carasma01,29,2,,0.087,,1 yr/$100k (21),$100k,Pre-Arb,Pre-Arb,Arb,Arb,Arb
Brandon Brennan\brennbr01,29,2,,2.000,,,,,Arb,Arb,FA,
Michael Chavis\chavimi01,25,3,Amateur Draft,1.164,,,,,Arb,Arb,Arb,FA
Nick Pivetta\pivetni01,28,5,Traded,2.166,,,,,Arb,Arb,FA,
Ryan Weber\weberry01,30,6,Free Agency,2.138,The L. Warner Com...,,,,Arb,Arb,FA,
Tyler Olson\olsonty01,31,5,,2.114,Jackson Managemen...,,,,Arb,Arb,FA,
Alex Verdugo\verdual01,25,5,Traded,2.078,MVP Sports Group,,,,Arb,Arb,FA,
Yairo Munoz\munozya01,26,3,Free Agency,2.060,,,,,Arb,Arb,FA,
Daniel Gossett\gosseda01,28,2,,2.059,Ballengee,,,,Arb,Arb,FA,
Colten Brewer\breweco01,28,4,Traded,2.044,,,,,Arb,Arb,FA,
