Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024
Charlie Blackmon\blackch02,34,11,Amateur Draft,8.102,ACES,4 yrs/$77M (18-21) & 22-23 player option,$21.5M,$0 [FA-*],$0 [FA-*],FA
German Marquez\marquge01,26,6,Traded,4.027,,5 yrs/$43M (19-23) & 24 team option,$7.8M,$11.3M,$15.3M,$2.5M [FA-*]
Trevor Story\storytr01,28,6,Amateur Draft,5.000,Excel Sports,2 yrs/$27.5M (20-21),$18.5M,FA,,
Scott Oberg\obergsc01,31,5,Amateur Draft,5.063,Big League Manage...,3 yrs/$13M (20-22) & 23 team option,$4M,$7M,$0 [FA-*],FA
Jon Gray\grayjo02,29,7,Amateur Draft,5.062,CAA Sports,1 yr/$6M (21),$6M,FA,,
Kyle Freeland\freelky01,28,5,Amateur Draft,3.144,MSM Sports,1 yr/$5.02M (21),$5.02M,Arb,Arb,FA
Mychal Givens\givenmy01,31,7,Traded,5.069,Excel Sports Mana...,1 yr/$4.05M (21),$4.05M,FA,,
Antonio Senzatela\senzaan01,26,5,Amateur Free Agent,3.106,Republik Sports,1 yr/$3M (21),$3M,Arb,Arb,FA
Daniel Bard\bardda01,36,7,Free Agency,4.103,ISE Baseball,1 yr/$2.93M (21),$2.92M,Arb,FA,
Ryan McMahon\mcmahry01,26,5,Amateur Draft,3.006,,1 yr/$2.38M (21),$2.38M,Arb,Arb,FA
Raimel Tapia\tapiara01,27,6,Amateur Free Agent,3.020,MVP Sports Group,1 yr/$1.95M (21),$1.95M,Arb,Arb,FA
Carlos Estevez\estevca01,28,5,Amateur Free Agent,4.022,,1 yr/$1.45M (21),$1.45M,Arb,FA,
Elias Diaz\diazel01,30,7,Free Agency,4.088,Magnus Sports,1 yr/$1.2M (21),$1.2M,Arb,FA,
Robert Stephenson\stephro01,28,6,Traded,3.049,Sosnick Cobbe & K...,1 yr/$805k (21),$805k,Arb,Arb,FA
Jhoulys Chacin\chacijh01,33,13,Free Agency,9.087,Rep 1 Baseball,1 yr/$800k (21),$800k,FA,,
C.J. Cron\croncj01,31,8,Free Agency,6.097,Moye Sports Assoc...,1 yr/$100k (21),$100k,FA,,
Greg Bird\birdgr01,28,4,,4.095,The Legacy Agency,1 yr/$100k (21),$100k,Arb,FA,
Chi Chi Gonzalez\gonzach01,29,5,Free Agency,2.149,,1 yr/$100k (21),$100k,Arb,Arb,Arb
Ian Desmond\desmoia01,35,11,Free Agency,10.027,CAA Sports,,FA,,,
Matt Adams\adamsma01,32,10,Free Agency,7.152,Wasserman,,FA,,,
Chris Owings\owingch01,29,9,Free Agency,6.131,Brandon O'Hearn,,FA,,,
Chris Rusin\rusinch01,34,9,Waivers,5.014,Sports One Athlet...,,Arb,,,
Rio Ruiz\ruizri01,27,6,,2.109,Scott Boras,,,,Arb,Arb
Zac Rosscup\rosscza01,33,6,Traded,4.090,Magnus Sports,,Arb,,FA,
Jairo Diaz\diazja01,30,5,Free Agency,3.083,,,Arb (~$1.2M),,Arb,FA
Kelby Tomlinson\tomlike01,31,4,,2.115,Sports Pro Servic...,,,,Arb,Arb
Sam Hilliard\hillisa01,27,3,Amateur Draft,1.034,,,,,Arb,Arb
Garrett Hampson\hampsga01,26,4,Amateur Draft,2.030,,,,,Arb,Arb
Tyler Kinley\kinlety01,30,4,Waivers,2.014,,,,,Arb,Arb
Yency Almonte\almonye01,27,4,Traded,1.168,,,,,Arb,Arb
Peter Lambert\lambepe01,24,1st,Amateur Draft,1.116,,,,,Arb,Arb
Austin Gomber\gombeau01,27,3,Traded,1.111,,,,,Arb,Arb
Dereck Rodriguez\rodride01,29,3,,1.102,,,,,Arb,Arb
Taylor Motter\motteta01,31,3,,1.078,,,,,Arb,Arb
Brendan Rodgers\rodgebr02,24,3,Amateur Draft,1.075,,,,,Arb,Arb
Joe Harvey\harvejo01,29,2,Free Agency,1.049,Beverly Hills Spo...,,,,Arb,Arb
Joshua Fuentes\fuentjo01,28,3,Amateur Free Agent,1.015,,,,,Arb,Arb
Ryan Castellani\castery01,25,2,Amateur Draft,0.144,,,,,,Arb
Jose Briceno\bricejo01,28,2,,0.153,Beverly Hills Spo...,,,,Arb,Arb
Jesus Tinoco\tinocje01,26,2,Waivers,0.135,,,,,,Arb
Jose Mujica\mujicjo01,25,1st,Free Agency,0.054,,,,,,Arb
Yonathan Daza\dazayo01,27,2,Amateur Free Agent,0.101,Munger English Sp...,,,,,Arb
Antonio Santos\santoan02,24,2,Amateur Free Agent,0.050,,,,,,Arb
Dom Nunez\nunezdo01,26,2,Amateur Draft,0.048,,,,,,Arb
Connor Joe\joeco01,28,2,Free Agency,0.017,,,,,,Arb
Tommy Doyle\doyleto01,25,1st,Amateur Draft,0.014,,,,,,Arb
Eric Stamets\stameer01,29,1st,,0.019,,,,,,Arb
