Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026
Salvador Perez\perezsa02,31,10,Amateur Free Agent,9.050,Beverly Hills Spo...,5 yrs/$52.5M (17-21)4 yrs/$82M (22-25) & 26 team option,$14.2M,$18M,$20M,$20M,$22M,$2M [FA-*]
Danny Duffy\duffyda01,32,11,Amateur Draft,9.085,ACES (Sam & Seth ...,5 yrs/$65M (17-21),$15.5M,FA,,,,
Hunter Dozier\doziehu01,29,5,Amateur Draft,3.060,L. Warner Compani...,4 yrs/$25M (21-24) & 25 team option,$2.5M,$4.75M,$7.5M,$9.25M,$1M [FA-*],FA
Mike Minor\minormi01,33,10,Free Agency,9.138,Jet Sports Manage...,2 yrs/$18M (21-22) & 23 team option,$7M,$10M,$1M [FA-*],FA,,
Carlos Santana\santaca01,35,12,Free Agency,10.115,Octagon,2 yrs/$17.5M (21-22),$7M,$10.5M,FA,,,
Whit Merrifield\merriwh01,32,6,Amateur Draft,4.101,The L. Warner Com...,4 yrs/$16.25M (19-22) & 23 team option,$6.75M,$2.75M,$750k [FA-*],FA,,
Andrew Benintendi\beninan01,26,6,Traded,4.062,Excel Sports Mana...,2 yrs/$10M (20-21),$6.6M,Arb,FA,,,
Jorge Soler\solerjo01,29,8,Traded,5.143,ACES,1 yr/$8.05M (21),$8.05M,FA,,,,
Brad Keller\kellebr01,25,4,Traded,3.000,Sosnick Cobbe & K...,1 yr/$3.35M (21),$3.35M,Arb,Arb,FA,,
Greg Holland\hollagr01,35,11,Free Agency,8.163,Boras Corporation,1 yr/$2.75M (21),$2.75M,FA,,,,
Adalberto Mondesi\mondera02,25,6,Amateur Free Agent,3.088,ISE Baseball,1 yr/$2.52M (21),$2.52M,Arb,Arb,FA,,
Michael A. Taylor\taylomi02,30,8,Free Agency,5.129,MVP Sports Group,1 yr/$1.75M (21),$1.75M,FA,,,,
Jesse Hahn\hahnje01,31,7,Free Agency,5.031,Excel Sports Mana...,1 yr/$1.75M (21),$1.75M,FA,,,,
Jakob Junis\junisja01,28,5,Amateur Draft,3.082,Wasserman,1 yr/$1.7M (21),$1.7M,Arb,Arb,FA,,
Hanser Alberto\alberha01,28,6,Free Agency,4.085,ISE Baseball,1 yr/$1.65M (21),$1.65M,Arb,FA,,,
Jarrod Dyson\dysonja01,36,12,Free Agency,9.088,CSE,1 yr/$1.5M (21),$1.5M,FA,,,,
