Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,2024,2025,2026
Yasmani Grandal\grandya01,31,8,,7.115,Wasserman,4 yrs/$73M (20-23),$18.25M,$18.25M,$18.25M,$18.25M,FA,,
Yoan Moncada\moncayo01,25,4,Traded,2.106,Movement Manageme...,5 yrs/$70M (20-24) & 25 team option,$1.8M,$6.8M,$13.8M,$17.8M,$24.8M,$5M [FA-*],FA
Dallas Keuchel\keuchda01,32,8,,7.031,Scott Boras,3 yrs/$55.5M (20-22) & 23 team option,$18M,$18M,$18M,$1.5M [FA-*],FA,,
José Abreu\abreujo02,33,6,Free Agency,6.000,ISE Baseball,3 yrs/$50M (20-22),$12.67M,$17.67M,$19.67M,FA,,,
Eloy Jimenez\jimenel02,23,1st,Traded,1.000,,6 yrs/$43M (19-24) & 25-26 team option,$2.33M,$4.33M,$7.33M,$10.33M,$13.83M,$3M [FA-*],$0 [FA-*]
Tim Anderson\anderti01,27,4,Amateur Draft,3.115,Reynolds Sports,6 yrs/$25M (17-22) & 23-24 team option,$4M,$7.25M,$9.5M,$1M [FA-*],$0 [FA-*],FA,
Kelvin Herrera\herreke01,30,9,Free Agency,7.157,Republik Sports,2 yrs/$18M (19-20) & 21 vesting option,$8.5M,$1M [FA-*],FA,,,,
Aaron Bummer\bummeaa01,26,3,Amateur Draft,1.150,,5 yrs/$16M (20-24) & 25-26 team option,$1M,$2M,$2.5M,$3.75M,$5.5M,$1.25M [FA-*],$0 [FA-*]
Edwin Encarnacion\encared01,37,15,,14.085,Rep 1 Baseball,1 yr/$12M (20) & 21 team option,$12M,$0 [FA-*],FA,,,,
Alex Colome\colomal01,31,7,Traded,5.118,Republik Sports,1 yr/$10.53M (20),$10.53M,FA,,,,,
Steve Cishek\cishest01,34,10,,8.143,Jet Sports Manage...,1 yr/$6M (20) & 21 team option,$5.25M,$750k [FA-*],FA,,,,
Nomar Mazara\mazarno01,25,4,,4.000,ISE Baseball,1 yr/$5.56M (20),$5.56M,Arb,FA,,,,
James McCann\mccanja02,30,6,Free Agency,5.028,Ballengee Group,1 yr/$5.4M (20),$5.4M,FA,,,,,
Gio Gonzalez\gonzagi01,34,12,,10.146,CAA Sports,2 yrs/$5M (20-21),$4.5M,$500k,FA,,,,
Carlos Rodon\rodonca01,27,5,Amateur Draft,4.168,Scott Boras,1 yr/$4.45M (20),$4.45M,Arb,FA,,,,
Leury Garcia\garcile02,29,7,Traded,5.025,Rep 1 Baseball,1 yr/$3.5M (20) & 21 team option,$3.25M,$250k [FA-*],FA,,,,
Evan Marshall\marshev01,30,6,Free Agency,3.090,ISE Baseball,1 yr/$1M (20),$1M,Arb,Arb,FA,,,
Ross Detwiler\detwiro01,34,11,Free Agency,7.011,CAA Sports (Jeff ...,1 yr/$100k (20),$100k,FA,,,,,
Andrew Romine\rominan01,34,9,,6.049,Moye Sports Assoc...,1 yr/$100k (20),$100k,FA,,,,,
Cheslor Cuthbert\cuthbch01,27,5,,3.152,Sports One Athlet...,1 yr/$100k (20),$100k,Arb,Arb,FA,,,
Christian Friedrich\friedch01,32,4,,4.046,Frontline,,Arb-2,Arb-3,FA,,,,
Bryan Mitchell\mitchbr01,29,5,,3.054,,,Arb-1,Arb-2,Arb-3,FA,,,
Gorkys Hernandez\hernago01,32,6,,3.042,Scott Boras,,Arb-1 (~$1M),Arb-2,Arb-3,FA,,,
Jacob Lindgren\lindgja01,27,1st,,2.134,,,Arb-1,Arb-2,Arb-3,Arb-4,FA,,
Zach Putnam\putnaza01,32,7,Free Agency,4.135,ISE Baseball,,Arb-2,Arb-3,FA,,,,
Adalberto Mejia\mejiaad01,27,4,,2.052,,,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,
Tayron Guerrero\guerrta01,29,3,,2.004,TLA Worldwide,,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,
Nicky Delmonico\delmoni01,27,3,Free Agency,1.090,,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,
Reynaldo Lopez\lopezre01,26,4,Traded,2.096,,,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,
Daniel Palka\palkada01,28,2,Waivers,1.046,,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,
Michael Kopech\kopecmi01,24,1st,Traded,1.041,,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,
Lucas Giolito\giolilu01,25,4,Traded,2.080,CAA Sports,,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,
Ryan Burr\burrry01,26,2,Free Agency,1.040,,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,
Adam Engel\engelad01,28,3,Amateur Draft,2.058,,,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,
Jace Fry\fryja01,26,3,Amateur Draft,2.005,NWSMG/Nik Lubisic...,,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,
Carson Fulmer\fulmeca01,26,4,Amateur Draft,1.040,,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,
Connor Sadzeck\sadzeco01,28,2,,1.031,,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,
Jose Ruiz\ruizjo01,25,3,Waivers,0.170,,,Pre-Arb,Pre-Arb-2,Arb-1,Arb-2,Arb-3,Arb-4,FA
Ramon Torres\torrera01,27,2,,0.123,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA
Jimmy Cordero\cordeji01,28,2,Waivers,0.136,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA
Matt Skole\skolema01,30,2,Free Agency,0.066,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA
Jaycob Brugman\brugmja01,28,1st,,0.063,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA
Alex McRae\mcraeal01,27,2,,0.061,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA
Zack Collins\colliza01,25,1st,Amateur Draft,0.055,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA
Caleb Frare\frareca01,26,2,Free Agency,0.045,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA
Dylan Cease\ceasedy01,24,1st,Traded,0.089,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA
Drew Anderson\anderdr02,26,3,,0.037,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA
Ian Hamilton\hamilia01,25,1st,Amateur Draft,0.039,NWSMG/Nik Lubisic...,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA
Danny Mendick\mendida01,26,1st,Amateur Draft,0.027,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA
Seby Zavala\zavalse01,26,1st,Amateur Draft,0.011,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA
Brady Lail\lailbr01,26,1st,,0.004,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA
