Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,2027,2028
Giancarlo Stanton\stantmi03,31,12,Traded,10.118,Wasserman,13 yrs/$325M (15-27) & 28 team option,$29M,$29M,$32M,$32M,$32M,$29M,$25M,$10M [FA-*]
Gerrit Cole\colege01,30,9,Free Agency,7.111,Scott Boras,9 yrs/$324M (20-28),$36M,$36M,$36M,$36M,$36M,$36M,$36M,$36M
DJ LeMahieu\lemahdj01,32,11,Free Agency,8.128,Wasserman,6 yrs/$90M (21-26),$15M,$15M,$15M,$15M,$15M,$15M,FA,
Zack Britton\brittza01,33,10,Free Agency,8.158,Boras Corporation,3 yrs/$39M (19-21) & 22 team option,$13M,$0 [FA-*],FA,,,,,
Aaron Hicks\hicksaa01,31,9,Traded,7.041,CAA Sports,7 yrs/$70M (19-25) & 26 team option,$10.79M,$10.79M,$10.79M,$9.79M,$9.79M,$1M [FA-*],FA,
Rougned Odor\odorro01,27,8,Traded,6.121,Beverly Hills Spo...,6 yrs/$49.5M (17-22) & 23 team option,$12.33M,$12.33M,$3M [FA-*],FA,,,,
Aroldis Chapman\chapmar01,33,12,Free Agency,10.009,ISE Baseball,3 yrs/$48M (20-22),$16M,$16M,FA,,,,,
Luis Severino\severlu01,27,5,Amateur Free Agent,4.170,Rep 1 Baseball,4 yrs/$40M (19-22) & 23 team option,$10.75M,$11.5M,$2.75M [FA-*],FA,,,,
Corey Kluber\klubeco01,35,11,Free Agency,8.074,Jet Sports Manage...,1 yr/$11M (21),$11M,FA,,,,,,
Aaron Judge\judgeaa01,29,6,Amateur Draft,4.051,PSI Sports Manage...,1 yr/$10.18M (21),$10.18M,Arb,FA,,,,,
Gary Sanchez\sanchga02,28,7,Amateur Free Agent,4.086,Magnus Sports,1 yr/$6.35M (21),$6.35M,Arb,FA,,,,,
Luke Voit\voitlu01,30,5,Traded,2.169,,1 yr/$4.7M (21),$4.7M,Arb,Arb,Arb,FA,,,
Gio Urshela\urshegi01,29,6,Purchased,3.127,Rep 1 Baseball,1 yr/$4.65M (21),$4.65M,Arb,Arb,FA,,,,
Justin Wilson\wilsoju10,33,10,Free Agency,8.035,ACES (Sam & Seth ...,1 yr/$4M (21) & 22 team option,$2.85M,$1.15M [FA-*],FA,,,,,
Brett Gardner\gardnbr01,37,14,Free Agency,12.072,Pro Star Manageme...,1 yr/$4M (21) & 22 team option,$2.85M,$1.15M [FA-*],FA,,,,,
Gleyber Torres\torregl01,24,4,Traded,2.162,,1 yr/$4M (21),$4M,Arb,Arb,Arb,FA,,,
Darren O'Day\odayda01,38,14,Free Agency,12.103,Ballengee Group,1 yr/$2.45M (21) & 22 team option,$1.75M,$700k [FA-*],FA,,,,,
Jameson Taillon\taillja01,29,5,Traded,4.110,Excel Sports Mana...,1 yr/$2.25M (21),$2.25M,Arb,FA,,,,,
