Name,Position,Team,Age,Length,Salary,Type,Years,WAR
George Springer,CF,HOU,30,1,"$21,000,000 ",Avoided,2017-2020,6.4
"Kris Bryant, ARB 4",3B,CHC,28,1,"$18,600,000 ",Avoided,2018-2021,3.7
"Francisco Lindor, ARB 3",SS,CLE,26,1,"$17,500,000 ",Avoided,2019-2021,5
Trevor Bauer,SP,CIN,29,1,"$17,500,000 ",Avoided,2017-2020,1.1
Marcus Semien,SS,OAK,29,1,"$13,000,000 ",Avoided,2018-2020,8.9
James Paxton,SP,NYY,31,1,"$12,500,000 ",Avoided,2017-2020,2.4
Marcus Stroman,SP,NYM,29,1,"$12,000,000 ",Avoided,2017-2020,1.4
"Cody Bellinger, ARB 2",OF,LAD,24,1,"$11,500,000 ",Avoided,2020-2023,9.1
Jackie Bradley Jr.,CF,BOS,30,1,"$11,000,000 ",Avoided,2017-2020,1.9
Alex Colome,RP,CHW,31,1,"$10,532,500 ",Avoided,2018-2020,1.1
"Javier Baez, ARB 3",SS,CHC,27,1,"$10,000,000 ",Avoided,2019-2021,6
"Roberto Osuna, ARB 4",RP,HOU,25,1,"$10,000,000 ",Avoided,2018-2021,1.8
J.T. Realmuto,C,PHI,29,1,"$10,000,000 ",Settlement,2018-2020,4.5
"Noah Syndergaard, ARB 4",SP,NYM,27,1,"$9,700,000 ",Avoided,2018-2021,2.6
Ken Giles,RP,TOR,29,1,"$9,600,000 ",Avoided,2018-2020,2.5
Robbie Ray,SP,ARI,28,1,"$9,430,000 ",Avoided,2018-2020,1.4
"Aaron Judge, ARB 2",RF,NYY,28,1,"$8,500,000 ",Avoided,2020-2022,5.5
"Eduardo Rodriguez, ARB 4",SP,BOS,27,1,"$8,300,000 ",Settlement,2018-2021,5.9
Jonathan Villar,OF,MIA,29,1,"$8,200,000 ",Avoided,2018-2020,3.9
"Michael Conforto, ARB 3",RF,NYM,27,1,"$8,000,000 ",Avoided,2019-2021,3.4
"Carlos Correa, ARB 3",SS,HOU,25,1,"$8,000,000 ",Avoided,2019-2021,3.4
"Tommy Pham, ARB 3",CF,SD,32,1,"$7,900,000 ",Avoided,2019-2021,3.8
Joc Pederson,LF,LAD,28,1,"$7,750,000 ",Settlement,2018-2020,3.2
"Eddie Rosario, ARB 3",LF,MIN,28,1,"$7,750,000 ",Avoided,2019-2021,1.7
"Corey Seager, ARB 3",SS,LAD,26,1,"$7,600,000 ",Avoided,2019-2021,3.3
"Trea Turner, ARB 3",SS,WSH,27,1,"$7,450,000 ",Avoided,2019-2022,3.3
"Jorge Soler, ARB 2",DH,KC,28,1,"$7,300,000 ",Avoided,2020-2021,3.6
Kirby Yates,RP,SD,33,1,"$7,062,500 ",Avoided,2018-2020,3
"Kyle Schwarber, ARB 3",LF,CHC,27,1,"$7,010,000 ",Avoided,2019-2021,2.1
Shane Greene,RP,ATL,31,1,"$6,250,000 ",Settlement,2018-2020,0.3
Enrique Hernandez,CF,LAD,28,1,"$5,900,000 ",Avoided,2018-2020,2.2
Anthony DeSclafani,SP,CIN,30,1,"$5,900,000 ",Avoided,2018-2020,2.7
Jurickson Profar,2B,SD,27,1,"$5,700,000 ",Avoided,2017-2020,0.3
"Jon Gray, ARB 3",SP,COL,28,1,"$5,600,000 ",Avoided,2019-2021,4.1
"Nomar Mazara, ARB 3",RF,CHW,25,1,"$5,560,000 ",Avoided,2019-2021,0.7
Jake Lamb,1B,ARI,29,1,"$5,515,000 ",Avoided,2018-2020,0.2
James McCann,C,CHW,30,1,"$5,400,000 ",Avoided,2018-2020,3.7
Liam Hendriks,RP,OAK,31,1,"$5,300,000 ",Avoided,2017-2020,3.5
