Name,Position,IL,Date,Injury,Return
Anderson Espinoza,SP,60-Day IL,14-Jul-16,Arm,2019?
Daniel Gossett,SP,Free Agent,17-Feb-19,Elbow,2020
Andrew Toles,OF,Suspended,11-Mar-19,,
Silvino Bracho,RP,60-Day IL,11-Mar-19,Elbow,2020
Justin Upton,OF,Sidelined,11-Sep-19,Knee,2020
Jeff Mathis,C,Sidelined,14-Sep-19,Hamstring,Day-to-day
Felipe Vazquez,RP,Suspended,17-Sep-19,,
Domingo German,SP,Suspended,19-Sep-19,FALSE,
Lou Trivino,RP,Sidelined,24-Sep-19,Ribs,2020
Max Stassi,C,Sidelined,24-Sep-19,Hip,Ready for Opening Day?
Brock Burke,SP,Sidelined,27-Sep-19,Shoulder,2021
Seranthony Dominguez,RP,60-Day IL,12-Nov-19,Elbow,Late 2021?
Michael Pineda,SP,Suspended,10-Dec-19,Triceps,Status uncertain
Lance McCullers ,SP,Sidelined,11-Dec-19,Elbow,Ready for Opening Day
Jameson Taillon,SP,60-Day IL,10-Jan-20,Elbow,Late 2020?
Justin Lawrence,SP,Suspended,17-Jan-20,,
Mitch Haniger,OF,60-Day IL,23-Jan-20,Groin,June?
Reyes Moronta,RP,60-Day IL,8-Feb-20,Shoulder,Out indefinitely
David Robertson ,RP,60-Day IL,11-Feb-20,Elbow,July?
Austin Adams,RP,10-Day IL,12-Feb-20,Knee,Out indefinitely
Chris Sale,SP,60-Day IL,12-Feb-20,Elbow,2021
Cole Hamels ,SP,45-Day IL,12-Feb-20,Shoulder,Out indefinitely
Mike Leake,SP,Sidelined,12-Feb-20,Wrist,Mid-April?
Francis Martes,SP,Suspended,17-Feb-20,,
Luis Severino,SP,60-Day IL,20-Feb-20,Elbow,2021
Victor Alcantara,RP,Suspended,21-Feb-20,finger,Mid-August?
Dustin Pedroia,2B,60-Day IL,23-Feb-20,Knee,Status uncertain
Emmanuel Clase,RP,Suspended,24-Feb-20,Back,Late May?
Stephen Piscotty,OF,Sidelined,24-Feb-20,Oblique,April?
Griffin Canning,SP,Sidelined,27-Feb-20,Elbow,Out indefinitely
Matt Magill,RP,Sidelined,28-Feb-20,Shoulder,Ready for Opening Day?
A.J. Puk,RP,10-Day IL,3-Mar-20,Shoulder,Status uncertain
Tyler Beede,SP,60-Day IL,3-Mar-20,Elbow,2021
Jed Lowrie,2B,45-Day IL,4-Mar-20,Leg,Out indefinitely
Collin McHugh,RP,Bereavement,5-Mar-20,Elbow,2021
Domingo Leyba,2B,Suspended,6-Mar-20,,
Yordan Alvarez ,DH,10-Day IL,6-Mar-20,Undisclosed,Late August?
Trey Mancini,OF,45-Day IL,7-Mar-20,Cancer,Out indefinitely
Fernando Romero,RP,Suspended,9-Mar-20,,
Aramis Garcia,C,60-Day IL,10-Mar-20,Hip,2021?
Peter Lambert,SP,45-Day IL,10-Mar-20,Arm,2021?
Jesse Chavez,RP,Sidelined,11-Mar-20,Elbow,Out indefinitely
Rogelio Armenteros,RP,10-Day IL,14-Mar-20,Elbow,Out indefinitely
Yennsy Diaz,RP,60-Day IL,16-Mar-20,,
Andres Munoz,RP,Sidelined,20-Mar-20,Elbow,Mid-2021
Noah Syndergaard,SP,60-Day IL,24-Mar-20,Elbow,Mid-2021
James Jones,RP,NR/In Camp,2-Apr-20,Knee,2021
Kevin Kramer,OF,60-Day IL,20-May-20,Hip,2021?
Chris Archer,SP,60-Day IL,2-Jun-20,Shoulder,2021?
John Brebbia,RP,60-Day IL,3-Jun-20,Elbow,Late 2021
Jeremy Walker,RP,45-Day IL,26-Jun-20,Shoulder,Out indefinitely
Joe Ross,RP,Bereavement,29-Jun-20,Illness,2021
Ryan Zimmerman,1B,Bereavement,29-Jun-20,Illness,2021
Troy Stokes,OF,45-Day IL,29-Jun-20,Hand,Out indefinitely
Elvis Luciano,RP,10-Day IL,30-Jun-20,Illness,Out indefinitely
Héctor Pérez,RP,10-Day IL,30-Jun-20,Illness,Out indefinitely
Ranger Suarez ,RP,10-Day IL,1-Jul-20,Illness,Out indefinitely
Jose Quintana ,SP,10-Day IL,2-Jul-20,Thumb,Early August?
Matt Reynolds,3B,10-Day IL,3-Jul-20,Undisclosed,Status uncertain
Angel Perdomo,SP,10-Day IL,6-Jul-20,Illness,Out indefinitely
Jimmy Nelson,RP,45-Day IL,6-Jul-20,Back,2021?
Jose Castillo,RP,10-Day IL,7-Jul-20,Lat,September?
Jorge Mateo,SS,COVID-19 IL,8-Jul-20,Illness,Out indefinitely
Keone Kela ,RP,10-Day IL,8-Jul-20,Undisclosed,Mid-August
Alex Faedo,SP,10-Day IL,9-Jul-20,Undisclosed,Out indefinitely
Daz Cameron,OF,10-Day IL,9-Jul-20,Undisclosed,Out indefinitely
Dillon Tate,RP,10-Day IL,10-Jul-20,Elbow,Mid-August?
Richie Martin,SS,60-Day IL,10-Jul-20,Wrist,2021
Trey Wingenter,RP,10-Day IL,10-Jul-20,Elbow,Late 2021?
Ty Blach ,SP,Free Agent,10-Jul-20,Elbow,Late 2021?
Aroldis Chapman ,RP,10-Day IL,11-Jul-20,Illness,Early August?
Wilfredo Tovar,SS,10-Day IL,12-Jul-20,Illness,Out indefinitely
Cionel Perez,RP,10-Day IL,13-Jul-20,Undisclosed,Out indefinitely
Gerson Bautista,RP,60-Day IL,13-Jul-20,Elbow,2021
Jordan Hicks,RP,60-Day IL,13-Jul-20,Illness,2021
Jose Urquidy,SP,10-Day IL,13-Jul-20,Undisclosed,Out indefinitely
Ralph Garza Jr.,RP,10-Day IL,13-Jul-20,Undisclosed,Out indefinitely
Robinson Chirinos,C,Sidelined,13-Jul-20,Ankle,Status uncertain
Shawn Dubin,SP,10-Day IL,13-Jul-20,Undisclosed,Out indefinitely
Austin Pruitt,RP,60-Day IL,14-Jul-20,Elbow,Out indefinitely
Kelvin Gutierrez,3B,45-Day IL,14-Jul-20,Elbow,Out indefinitely
Yoshihisa Hirano,RP,10-Day IL,14-Jul-20,Undisclosed,Mid-August?
Darwinzon Hernandez,RP,10-Day IL,15-Jul-20,Illness,Out indefinitely
Joe Smith,RP,Sidelined,15-Jul-20,Undisclosed,2021
Josh Taylor,RP,10-Day IL,15-Jul-20,Illness,Mid-August?
Matt Bowman,RP,45-Day IL,15-Jul-20,Elbow,Out indefinitely
Parker Markel,RP,10-Day IL,15-Jul-20,Undisclosed,Out indefinitely
Tom Murphy,C,10-Day IL,15-Jul-20,Ankle,Out indefinitely
Jordan Zimmermann,SP,45-Day IL,17-Jul-20,Forearm,Out indefinitely
Nick Dini,C,10-Day IL,17-Jul-20,Illness,Out indefinitely
Johan Camargo,SS,Sidelined,18-Jul-20,Hamstring,Ready for Opening Day?
Brad Peacock,SP,10-Day IL,19-Jul-20,Shoulder,Out indefinitely
Ray Black,RP,10-Day IL,19-Jul-20,Shoulder,Out indefinitely
Hunter Harvey ,RP,10-Day IL,20-Jul-20,Elbow,Mid-August?
Colin Poche,RP,45-Day IL,21-Jul-20,Elbow,Late 2021?
Jacob Webb,RP,45-Day IL,21-Jul-20,Shoulder,Early September?
Philip Pfeifer,RP,45-Day IL,21-Jul-20,Elbow,Early September?
Yolmer Sanchez,2B,10-Day IL,21-Jul-20,Back,Early August?
Justin Anderson,RP,45-Day IL,22-Jul-20,Elbow,2022
Marcus Stroman ,SP,Opted Out,22-Jul-20,Calf,Mid-August?
Randy Rosario,RP,10-Day IL,22-Jul-20,Arm,Out indefinitely
