Name,Org,Pos,Current Level,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video,playerId
"Ronny Mauricio","NYM","SS","A",35,1,,"55",2023,,"19.2416666","6' 3""","166","S","R",2017,"J2","NYM",2100000,"Dominican Republic","Similar to the way Andres Gimenez skipped over short season ball (though, he also skipped over the GCL), the Mets pushed Mauricio to Low-A after he had spent just a year on the complex. He was three and a half years younger than the average Sally League player and was still hitting an impressive .283/.323/.381 before he had a lousy August. The exciting physical characteristics -- a lanky, projectable frame, the sort you typically see on the mound, the hands, actions, feet, and arm strength for short, precocious feel to hit -- shared by Mauricio's franchise-altering shortstop predecessors, the stuff that had us deliriously excited about him before he even signed, are still present. 
The explosiveness and physicality of cornerstone, power-hitting shortstops still percolates beneath the surface, which is fine because Mauricio will be 18 until April and it isn't reasonable to expect that he'd already have grown into impact power. When most players his age are either in the midst of their freshman season of college or getting ready to start Extended Spring Training, he might be in the Florida State League. Because he'll be so young and in a pitcher-friendly league, it's very likely that a year from now, we'll be ignoring a pretty lousy statline for contextual reasons. With another full year of data to consider, we now know Mauricio is a little swing-happy and that, even if that explosion arrives, he either needs to develop feel for lift or tweak the swing if all the power is to actualize. Hopefully we're not living in the timeline where Mauricio outgrows shortstop and those two things remain issues. Switch-hitting shortstops with power, uh, don't really exist. That Mauricio has a chance to be one means he may one day be the top overall prospect in baseball, and several outcomes short of that ideal are still very, very good.","NvOA8y_cZGI","sa3006887"
"Andres Gimenez","NYM","SS",,109,2,,"50",2020,,"21.825","5' 11""","165","L","R",2015,"J2","NYM",1200000,"Venezuela","We now have what you could say is a softer 50 on Gimenez. Defensively, at either short or second, Gimenez's wide array of skills, especially his range (it's less important than it used to be because of improved positioning, but Gimenez can really go get it) is going to make him a strong middle infield defender. 
On offense, even though Gimenez spent 2019 all the way up at Double-A Binghamton, things are less clear. He looked physically overmatched against Double-A pitching, which is fine because he was only 20, but he was also chasing a lot and seemed doomed if he fell behind in counts because of it. The all-fields spray (lots of oppo doubles) that comes when Gimenez targets more hittable pitches is very promising. We're not optimistic that any kind of impact power will ever come (he'll golf one out to his pull side once in a while), but the hit tool and doubles would be plenty to profile everyday on the middle infield if Gimenez learns to be more selective.","0daljrqAYUs","sa917114"
"Mark Vientos","NYM","3B","A",112,3,,"50",2022,,"20.5555555","6' 4""","185","R","R",2017,"Draft","NYM",1500000,"American Heritage HS (FL)","The way Vientos' strikeout/walk rates trended in 2019 combined with continued skepticism regarding his ability to stay at third base led some of our sources to express trepidation about where we had him on our 2019 summer top 100 update. But he also put up an above-average statline in full-season ball as a teenager and he has some of the most exciting, frame-based power projection in all the minors. He's tied for the highest average exit velo among hitters on this list and he has room for another 20 pounds on the frame, which is likely to come since Vientos was one of the younger prospects in his draft class and is younger than 2019 first rounder, Brett Baty. Because we're talking about a corner bat with strikeout/walk rate yellow flags, Vientos is a high-risk bat but the power gives him middle-of-the-order potential.","ax1yE3rIWCs","sa3004720"
"Brett Baty","NYM","3B","A-",,4,,"45+",2022,,"20.6333333","6' 3""","210","L","R",2019,"Draft","NYM",3900000,"Lake Travis HS (TX)","In an age when more and more teams are taking model-driven approaches to building a draft board, Baty's age was such a unique trait that precedent couldn't inform one much: he was 19.6 on draft day while some other Day One prospects were as young as 17.6. A player's age relative to his peers is a predictive variable for pro success (younger is better) and Baty is older than a lot of 2018's high school draftees, against whom we had pro performance to judge while Baty only had high school stats on draft day. 
Baty compares quite closely to Cardinals 2018 first rounder and top 100 prospect Nolan Gorman: he's big, strong, and has huge power and advanced feel to hit. He may not be an athletic fit at third base, especially long-term, and is at risk of moving to first, but his quicker-than-expected feet (he's a standout hoops player as well) could help delay that. Baty essentially held serve in his first taste of pro ball and his 2020 season will go a long way to dictating his value, as another half-season of pro performance will wipe out all the pre-draft considerations.","rXT1HH8Lgkw","sa3010869"
"Matthew Allan","NYM","RHP","A-",,5,,"45+",2023,,"19.2055555","6' 3""","210","R","R",2019,"Draft","NYM",2500000,"Seminole HS (FL)","Allan was one of the top pitchers in the 2019 prep class over the summer, then took a big step forward in the spring, touching the high-90s in every start after peaking in the mid-90s over the summer. His fastball and breaking ball were both anywhere from 60 to 70 grade pitches during the spring depending on the day and scout, while his changeup was a 55 at times over the summer, when he also sometimes flashed average command. If you put together the best elements from both versions of Allan, there's a potential ace, but the worry is that either one or the other will the the actual outcome, which is still a solid mid-rotation type. 
He's not projectable and is an average athlete, so there are some limits on his upside. He had a rumored $4 million price tag in the draft, which many thought would push him to college, but he ended up changing his asking price and signing for $2.5 million in the third round after throwing a much higher number out to clubs that almost took him at multiple spots in the first. Mets brass are thrilled with their first draft under the new regime and some specifically think Allan is already the best prospect of the group. He could be a top 100 prospect by midseason if he continues his current streak of good health and performance, as his TrackMan figures are very strong.",,"sa3011740"
"Francisco Alvarez","NYM","C","R",,6,,"45+",2023,,"18.6166666","5' 11""","220","R","R",2018,"J2","NYM",2700000,"Venezuela","Young catchers are notoriously slow to develop as they adjust to the physical and mental demands of the position, which often stymies their offensive production. But Alvarez's first pro season was statistically impressive. He only played in 42 games, but he hit .312/.407/.510 (mostly in the Appy League) while playing very good defense and appearing more svelte and conditioned than he had as an amateur. 
His swing (his front foot is down very early) could stand to be a little more athletic to take advantage of his movement skills, but he rotates hard anyway and his hitting posture enables him to lift pitches in various locations. The receiving, lateral mobility, and arm strength are all promising on the defensive side, too. Teen catchers are risky and often take forever to develop, but Alvarez's track record of hitting extends back to amateur play, so we're a little more comfortable here. We view him very similarly to the way we viewed Miguel Amaya a few years ago, except Amaya's frame was more obviously projectable.","TG-p0lUDzpM","sa3010862"
"J.T. Ginn","NYM","RHP",,,7,,"45",2024,,"21.1138888","6' 2""","200","R","R",2020,"Draft","NYM",,"Mississippi State","Ginn had some relief and age-related risk coming out of high school (the Dodgers picked him in the back of round one but couldn't get a deal done) but he began to quell the bullpen concerns during his freshman season at Mississippi State, and his age was not only to become irrelevant but arguably a point in his favor as a draft-eligible sophomore. His first year in Starkville, Ginn was up to 96, flashing the same plus slider he had in high school, but more imporanyl he walked just 19 hitters in 86 innings. He entered his draft-eligible sophomore year in the middle of a crowded group of first round college arms, but tore his UCL during his first start and needed Tommy John. He'll be back late in 2021 and projects as a no. 4 starter.","cqH8dHsLdMQ",
"Pete Crow-Armstrong","NYM","CF",,,8,,"45",2025,,"18.2666666","6' 1""","180","L","L",2020,"Draft","NYM",,"Harvard Westlake HS","Crow-Armstrong was one of the earliest 2020 high schoolers identified as a likely first round talent because of how well he performed against older showcase competition and SoCal varsity pitching. He had a rough pre-draft showcase summer, and while he rebounded later in 2019 with Team USA, he didn't have an extended opportunity to do so throughout a 2020 season. Crow-Armstrong did, however, come out having added substantial muscle and some teams think he'll hit for more power than the industry would have projected based solely on 2019 looks. The headline skill here, though, is PCA's defense in center field, which is the best in the draft class regardless of demographic.","OKVGzkQFc7A",
"Thomas Szapucki","NYM","LHP",,,9,,"45",2021,,"24.0527777","6' 2""","190","R","L",2015,"Draft","NYM",375000,"Dwyer HS (FL)","Working back from a year and a half of Tommy John rehab, both Szapucki's in-game pitch count and velocity climbed as the summer burned on. He worked in 20 to 30-pitch stints for the first several weeks of the year before rounding into more traditional starter form late. His sinker and changeup have similar movement, which will benefit the change (which is just fine in a vacuum). The curveball, though, the pitch that enabled Szapucki's earlier breakout, remains excellent. We're hoping more mechanical consistency in season two back from TJ will yield better command, but even if this iteration of Szapucki is where things settle, that'll still be a strong multi-inning relief piece if not a No. 4/5 starter.","aaIRseQiZNU","sa875054"
"David Peterson","NYM","LHP","AA",,10,,"45",2020,,"24.8277777","6' 6""","240","L","L",2017,"Draft","NYM",2994500,"Oregon","Peterson was a known prep prospect as an underclassman in Colorado due to his 6-foot-6 frame and ability to touch 90 mph from the left side at an early age. Then he had two decent years at Oregon before he dominated as a junior, striking out 140 hitters and walking just 15 in 100 innings. He has never had a plus pitch, nor does he project to have one, and instead works in the low-90s with tough angle and great extension, and several other pitches. He doesn't have high spin rates on his breaking stuff and pitches more to weak contact with a sinking, sometimes cutting changeup, looking like a steady, durable, No. 4/5 starter who we'll see in the big leagues this year.","CFTWy9cdytY","sa829588"
