Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,2024
Robinson Cano\canoro01,37,15,Traded,14.076,Roc Nation Sports,10 yrs/$228.26M (14-23),$24M,$24M,$24M,$24M,FA
Jacob deGrom\degroja01,32,6,Amateur Draft,5.139,CAA Sports,5 yrs/$137.5M (19-23) & 24 team option,$25M,$35.5M,$35.5M,$32.5M,$0 [FA-*]
Yoenis Céspedes\cespeyo01,34,7,Free Agency,8,Roc Nation Sports,4 yrs/$80.42M (17-20),$6M,FA,,,
Jeurys Familia\familje01,30,8,Free Agency,7.023,ACES (Sam & Seth ...,3 yrs/$30M (19-21),$11.67M,$11.67M,FA,,
Jed Lowrie\lowrije01,36,12,Free Agency,11.111,Excel Sports Mana...,2 yrs/$20M (19-20),$10M,FA,,,
Wilson Ramos\ramoswi01,32,10,Free Agency,9.047,SFX,2 yrs/$19M (19-20) & 21 team option,$10.25M,$1.5M [FA-*],FA,,
Marcus Stroman\stromma01,29,6,Traded,5.148,The Legacy Agency,1 yr/$12M (20),$12M,FA,,,
Dellin Betances\betande01,32,8,,6.078,Excel Sports Mana...,1 yr/$10.5M (20) & 21-22 player option,$7.5M,$3M [FA-*],$0 [FA-*],FA,
Justin Wilson\wilsoju10,32,8,Free Agency,7.035,ACES (Sam & Seth ...,2 yrs/$10M (19-20),$5M,FA,,,
Rick Porcello\porceri01,31,11,,10.17,Excel Sports Mana...,1 yr/$10M (20),$10M,FA,,,
Noah Syndergaard\syndeno01,27,5,Traded,4.149,CAA Sports,1 yr/$9.7M (20),$9.7M,Arb,FA,,
Michael Conforto\confomi01,27,5,Amateur Draft,4.043,Scott Boras,1 yr/$8M (20),$8M,Arb,FA,,
Edwin Diaz\diazed04,26,4,Traded,3.121,Wasserman,1 yr/$5.1M (20),$5.1M,Arb,Arb,FA,
Steven Matz\matzst01,29,5,Amateur Draft,4.099,Icon Sports Manag...,1 yr/$5M (20),$5M,Arb,FA,,
Jake Marisnick\marisja01,29,7,,5.132,Reynolds Sports M...,1 yr/$3.31M (20),$3.31M,FA,,,
Michael Wacha\wachami01,28,7,,6.062,CAA Sports,1 yr/$3M (20),$3M,FA,,,
Brandon Nimmo\nimmobr01,27,4,Amateur Draft,3.042,CAA Sports,1 yr/$2.18M (20),$2.17M,Arb,Arb,FA,
Seth Lugo\lugose01,30,4,Amateur Draft,3.082,Ballengee Group,1 yr/$2M (20),$2M,Arb,Arb,FA,
Robert Gsellman\gsellro01,26,4,Amateur Draft,3.042,CAA Sports,1 yr/$1.23M (20),$1.23M,Arb,Arb,FA,
Brad Brach\brachbr01,34,9,Free Agency,7.063,Big League Manage...,1 yr/$850k (20) & 21 player option,$850k,$0 [FA-*],FA,,
Eduardo Nunez\nunezed02,33,10,,8.033,ISE Baseball,1 yr/$100k (20),$100k,FA,,,
Matt Adams\adamsma01,31,8,,7.033,Wasserman,1 yr/$100k (20),$100k,FA,,,
Chasen Shreve\shrevch01,29,6,,4.012,,1 yr/$100k (20),$100k,Arb,FA,,
Rene Rivera\riverre01,36,11,Free Agency,7.107,MDR Sports Manage...,,FA,,,,
Erasmo Ramirez\ramirer02,30,8,,5.164,ISE Baseball,,Arb-3,FA,,,
