Name,Org,Pos,Current Level,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video,playerId
"Brandon Marsh","LAA","CF","AAA",14,1,,"60",2021,"Med","23.4638888","6' 2""","215","L","R",2016,"Draft","LAA",1073300,"Buford HS (GA)","After long-struggling to generate impact game power despite obvious raw juice, Marsh appeared to make a swing change that first became evident to me during the 2019 Fall League, though we've yet to have a sufficiently large sample of results to see if that's true and if so, exactly how meaningful it will be. In the AFL, Marsh's hands loaded a little farther out from his body and he had what some scouts called a ""wrap"" or ""power tip,"" where the bat head is angled toward the mound a bit, setting up more of a loop than a direct path to the ball. I thought he lifted the ball better during that six week stretch and did so without compromising his strong feel for contact. But the lost 2020 season (even if I sourced launch angle data from the alt site, guys were facing the same pitchers over and over again, so I just don't think it's meaningful) and Marsh's ongoing shoulder issues (he had a labrum injury in 2020 that barked at him again early this year) have prevented us from getting a clear idea of this change's impact because his contact quality has been poor this year. 
Marsh has a great first step in center and has fantastic gap-to-gap range. He has struggled to close the deal on fly balls approaching the wall this year, dropping several catchable though not routine balls (they're only catchable because his range is so good). All of this has occurred amid off-field adversity (Marsh's father recently passed away; Fabian Ardaya of <em>The Athletic</em> wrote about Marsh's dad, their relationship, and his father's several bouts with cancer late in 2019) and a nagging injury. I suppose one could argue that the persistence of the injury itself is value-altering but for now I'm not inclined to come off of Marsh at all. I worry that this year will be a struggle because of the chaotic nature of his world for the past couple of years, but ultimately I see a well-rounded player who's going to reach base and hit for power at above-average rates while also playing plus defense at a premium position. There are All-Star-level tools here and a contact/OBP performance foundation to fall back on even if I'm wrong about the swing finally being dialed in.","f6w57ie4WkA","sa917944"
"Jordyn Adams","LAA","CF","A+",90,2,,"50",2023,"High","21.6305555","6' 2""","180","R","R",2018,"Draft","LAA",4100000,"Green Hope HS (NC)","Adams was seen as a lock to matriculate to North Carolina and play wide receiver until late March of 2018, when he had a coming out party at the heavily-scouted NHSI tournament near his high school. Multiple scouts from all 30 teams watched him face a strong group of high school pitching and look much more comfortable than expected given his level of experience. A few months later, the Angels made him their first round pick. Adams didn't play much during that first pro summer, but the Angels surprisingly skipped him over the Pioneer League and sent him right to full-season ball the following season (2019), even though he'd only been solely focused on baseball for a year. Adams kept his head above water and posted a slightly above-average statline there, which is incredible for someone who only just picked up a bat. He is built like you'd probably expect a D-I wide receiver recruit to be, he's an 80 runner, and while the swing foundation isn't great, the Angels are one of the most proactive swing-changing orgs. He was overmatched during his big league spring at-bats but looked great during minor league spring play and during his first few regular season games before succumbing to a strained quad. It's his second career lower body injury (he had a left knee sprain in 2019). Adams' rare physical gifts make him a potential star. He has an enormous range of potential outcomes and his prospectdom was only made more volatile by the pandemic.","dsaEZPyd02Y","sa3008032"
"Reid Detmers","LAA","SP","AA",,3,,"45+",2021,"Low","21.9083333","6' 2""","210","L","L",2020,"Draft","LAA",4670000,"Louisville","There was some doubt about Detmers' stuff playing in pro ball the way it did in college -- 284 K's in 191 career innings -- both because Detmers wasn't throwing all that hard and because his best pitch's huge arc makes it easy to identify out of his hand. Still, Detmers' four pitches had well-defined shapes and he executed them consistently. Detmers works his heater in on the hands of righties and can run it off their hip and back into the zone for looking strikes. His curveball is hell's rainbow, especially for left-handed hitters who think it's headed for their lips, bail, and watch it bend into the zone. His changeup is typically located down and to his arm side. Plus, velocity has suddenly become the easiest thing to develop in pitchers, even ones well into their 20s. It’s not often that big conference college performers are divisive among drafting teams, but Detmers’ lack of fastball velocity (he sat 88-92 at Louisville) was concerning to some of them. Well, he's had a huge velo spike, and sat 93-95 and touched 97 in an outing not long before publication. It was the second start in a row where he’d averaged close to 94. The new velocity might be part of why Detmers was uncharacteristically wild early in 2021. If Detmers can hold this velo into the summer and start to wield it over the next several weeks with the same precision he did in college, he'll move into the Top 100. ","mk06YYkpDQk","sa3014425"
"Arol Vera","LAA","SS",,,4,,"45",2025,"High","18.7305555","6' 2""","170","S","R",2019,"J2","LAA",2000000,"Venezuela","Vera has added considerable mass over the last year or so and has transformed from a rail-thin project into a teenage shortstop with pretty impressive raw power for his age. Vera's lefty swing is short but still has loft, while his righty swing (he ditches his batting gloves from the right side) is a little more erratic but has verve and power potential. Vera doesn't track pitches very well from either side of the plate but that might be because of how hard he swings, which feels excessive at times. My notes from each of the last two instructs periods also indicate I saw high-effort swings, so this has been going on for a while. There's a chance for Vera to age into the Goldilocks Zone, where he stays lithe and athletic enough to remain at short but also grows into impact power. Because they have so many young infielders in Extended to start 2021, Vera has seen action all over the infield and it's been tough to get a feel for his exact defensive ability, but he and Denzer Guzman have the best chance to stay at short of all the system's young infielders. ","5rXyBVQAjmI","sa3014687"
"Adrian Placencia","LAA","2B",,,5,,"45",2024,"High","18.0083333","5' 11""","155","S","R",2018,"J2","LAA",1100000,"Dominican Republic","Placencia's left-handed swing is the sweetest-looking cut in this system, and his righty swing is the second. He has feel for lengthening his path to create good angle on pitches at the bottom of the zone, but he can also keep things short and direct to catch pitches near the top of the zone. This kind of bat control is rare for anyone, let alone a switch-hitter this age. He's a smaller-framed kid who may not grow into much power (though I'm cautiously optimistic about him developing enough pop to keep pitchers honest) and ends up painted into a bit of a corner at second base, where he might need to hit for more power than is likely given how small his frame is. This broad strokes profile -- a short-levered, switch-hitting, up-the-middle bat who has performed even though he's one of the youngest players on the field -- is very favorable. His bat needs to carry him but Placencia has a shot to be an everyday player.",,"sa3014688"
"Kyren Paris","LAA","2B","A",,6,,"45",2024,"High","19.5666666","6' 0""","170","R","R",2019,"Draft","LAA",1400000,"Freedom HS (CA)","It's been two years since Paris was drafted and he won't turn 20 until <em>after</em> the 2021 season. He has now lost much of two pro seasons: a broken hamate limited him to just three games in 2019, the pandemic knocked out his '20 campaign, and a hamstring strain has shelved him early in '21. Paris' pre-draft profile existed at the intersection of traits a lot of draft models seem to prioritize (chiefly, his age, then his position) and old school scouting (this was one of the 2019 draft's best athletes, a high-effort 70 runner with good baseball instincts). Paris can fly, and he's worked to add significant weight and strength since signing. The strength hasn't really brought more majestic raw power to the party yet, for now I just consider it an indication that he's working at it and am holding onto hope that there will be real strength here eventually. Remember, again, Paris is 19. Even though he's missed reps due to injury, his feel to hit is relatively intact. He has a hook and slash style of hitting, with most of his extra-base damage coming via liners he laces down either baseline; his wheels do the rest. Short-levered guys like Paris are tough to beat with velocity, so even though it's not pretty-looking contact right now, there's enough of it to support the profile. There's a Victor Robles vibe to the swing, and while Robles is obviously very good, he's a flawed offensive player. But this style of hitting suits Paris' skillset. A lack of arm strength is going to limit him to second base and I hope he eventually gets reps in center field. Defensive versatility would enable Paris to still play an integral role even if his bat falls short of penciling it into the leadoff spot everyday. ",,"sa3011768"
"Alexander Ramirez","LAA","RF","R",,7,,"40+",2023,"High","18.7666666","6' 2""","215","R","R",2018,"J2","LAA",1000000,"Dominican Republic","Ramirez's 95 mph average exit velo was the highest in the entire 2019 DSL, driven largely by his mature physicality. This guy looks like a power five conference wideout at a shredded 6-foot-3 or so. Swing efficacy issues bring about a lot of swing-and-miss but I've also seen Ramirez alter his bat path in order to hit pitches near the top of the zone, as well as toward the bottom, so there's some natural vertical plate coverage here -- the swing just needs refinement. There's a real chance the hit tool just bottoms out and Ramirez, even though he's likely to grow into elite power, may not hit enough to support a corner outfield profile. But he has 35-homer upside if he can develop even a 40-grade bat. Where the other up-the-middle players have several other ""outs"" -- i.e. outcomes of lesser but relevant utility -- Ramirez is either going to make enough contact to be an everyday player or emphatically will not. ",,"sa3008757"
"Jack Kochanowicz","LAA","SP","A",,8,,"40+",2024,"High","20.4527777","6' 6""","207","R","R",2019,"Draft","LAA",1250000,"Harriton HS (PA)","Kochanowicz is a physical beast from a cold weather locale, standing in at a broad-shouldered 6-foot-4 without a lot of room left on his frame. He has surprisingly advanced feel for locating his curveball, and for a changeup that I think has a chance to be his best pitch at maturity. He was 90-94 during his pre-draft spring, didn't pitch after he signed, then came out sitting in that range again to start 2021. His fastball has flatter angle than is typical for a pitcher this big and it pairs pretty well with the curveball, which is of the slower, old school variety. Refined command gives him a shot to be a No. 4 starter with a backend rotation role more likely. ",,"sa3014539"
"Chris Rodriguez","LAA","SIRP","MLB",,9,,"40+",2021,"High","22.875","6' 1""","185","R","R",2016,"Draft","LAA",850000,"Monsignor Pace HS (FL)","A stress reaction in his back cost Rodriguez all of 2018 and '19 (he made three starts in April '19 before he was shut down again and had surgery) but when healthy, he has late-inning relief stuff. Prior to Rodriguez's shutdown in 2018, he had experienced a velo spike (93-97, up from 91-94 the year before) and lowered his arm slot. Both of his breaking balls were excellent, but his changeup had regressed a bit compared to his first year (or at least, he lacked feel for it). Rodriguez once again showed that kind of heat coming back from the injury early in 2021 and had such a good spring that he all but won a big league bullpen job. He still throws four pitches but his fastball (96-98 mph) and curveball have moved to the forefront of his repertoire while sliders and changeups have been rare. After eight multi-inning relief outings during the first month of the regular season, Rodriguez was shut down with shoulder inflammation. His delivery is really violent and portends time on and off the IL, while Rodriguez has high-leverage stuff and on-field makeup when he's healthy. ","XVIkcyUC3as","22310"
"David Calabrese","LAA","CF",,,10,,"40+",2025,"High","18.6916666","5' 11""","160","L","R",2020,"Draft","LAA",744200,"St. Elizabeth Catholic HS","Calabrese is built like a compact little sports car and he's as fast as one, reaching first in about 4.1 seconds after contact. Along with the Lilliputian frame come very short levers that make Calabrese's swing very minimalistic; he's difficult to beat in the strike zone because of it. The contact and speed combination mean Calabrese has some leadoff man traits. He needs to get stronger, especially in the forearms, and could grow into doubles power if he does. He has a shot to profile as an everyday center fielder if his speed and contact skills hold water. A nagging hamstring injury kept him in Extended to start 2021.",,"sa3014507"
