Name,Org,Pos,Current Level,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video,playerId
"Jesus Luzardo","OAK","LHP","MLB",6,1,,"60",2020,,"22.7888888","5' 11""","209","L","L",2016,"Draft","WAS",1400000,"Stoneman Douglas HS (FL)","The summer before his senior year of high school, Luzardo looked like a relatively unprojectable pitchability lefty, albeit an advanced one. His fastball was only in the 88-92 range at Area Codes, though his changeup and curveball were each above-average. He did not throw during the fall and instead devoted more time to working out. The following spring, with a new physique, Luzardo's stuff was way up across the board, his fastball now sitting comfortably in the mid-90s, and touching 97. Four starts into his senior season, Luzardo tore his UCL and needed Tommy John. 
After most of the first three rounds of the 2016 draft had come and gone, it seemed as though Luzardo might end up at the University of Miami. Four outings (including the one during which he broke) wasn't enough for many teams to have high-level decision makers get in to see him and want to take him early, but the Nationals (who have a history of drafting pitchers who have fallen due to injury) called his name and signed him for $1.4 million, a bonus equivalent to an early second rounder. Luzardo rehabbed as a National and when he returned the following summer, his stuff had completely returned. He made just three starts for the GCL Nats before he was traded to Oakland as part of the Sean Doolittle/Ryan Madson deal. 
After a dominant first full year in Oakland's system, Luzardo appeared poised to seize a rotation spot early in 2019, when suddenly, the very contagious injury bug that has bedeviled Oakland pitching prospects for the last several years infected his shoulder and, later during rehab, his lat. He was confined to early-morning sim games on the Mesa backfields until June, when he was sent to rehab at Hi-A Stockton and then to Triple-A Nashville, where Luzardo's pitch count climbed back to typical starter norms. Oakland 'penned him for September, a multi-inning weapon for the stretch and playoff run. He was sitting 94-96 and touched 99 as a starter in the minors, the same as he was out of the big league bullpen. It's a sinker, but it has barrel-shattering tail and pairs nicely with both of Luzardo's secondaries, which live at the bottom of the zone and beneath it. He'll add and subtract from his breaking ball to give it a curveball shape that bends into the zone for strikes, or add power to it and coax hitters into waiving at pitches that finish well out of the zone. His changeup is firm but has late bottom and should also miss bats. The violence in Luzardo's delivery combined with his injury history is slightly worrisome, but he was clearly operating at full speed late last year and has top-of-the-rotation stuff and pitchability, so his 60 FV has that risk baked in.","XPMeIpPKW2k","19959"
"A.J. Puk","OAK","LHP","MLB",25,2,,"55",2020,,"25.2194444","6' 7""","230","L","L",2016,"Draft","OAK",4069200,"Florida","Puk looked like he had leveled up during 2018 Spring Training. His delivery was more balanced and repeatable, and he rebooted his old high school curveball, which he hadn't used in college, and quickly reclaimed the feel for locating it; his changeup was also plus at times, much better than it was when he was an amateur. Then he tore his UCL and needed Tommy John, which kept him out for all of 2018 and most of 2019. Throughout the spring of 2019, you could just show up to Fitch Park in Mesa and run into one of Luzardo, Puk, James Kaprielian, or any of several other high-profile A's rehabbers. Puk got into game action in April and May, throwing as many as four innings in an outing (that I'm aware of, anyway) before he was finally sent to an affiliate in June, but only in a two-inning start or bullpen capacity. He never threw more than 47 pitches in an outing and was limited to 20 or 30 bullets when the A's finally called him up in September. He threw fewer curveballs in that role than he theoretically will as a starter, making that pitch tough to evaluate when he returned, but all the other weapons are intact, and Puk should contribute to Oakland's rotation in 2020 assuming there's a season. He projects as an above-average big league starter.","dF78XZniyhY","19343"
"Sean Murphy","OAK","C","MLB",65,3,,"50",2020,,"25.7611111","6' 3""","232","R","R",2016,"Draft","OAK",,"Wright State","Murphy's surgeries are starting to pile up. He's had them for broken hamates in both hands, then was cut again in October because of his meniscus. Purely on tools, he's a 55 FV prospect and it's amazing that he's gone from a walk-on at Wright State to one of the more well-rounded catching prospects in the minors. But the injuries, Murphy's age (some of the sixish years I'm projecting here include his early 30s now), and the fact that some of his skills (he's become a good receiver) may soon be less important caused me to round down. 
Now if he starts hitting for more power in games, that's a horse of a different color. He has plus raw power, though he hasn't typically hit for it in games for various reasons. In college, his first broken hamate likely masked his thump and was part of the reason he fell to the 2016 draft's third round. He had the second hamate break in pro ball and his swing is also very compact, relying on Murphy's raw strength rather than efficient biomechanical movement to deliver extra-bases. He could be an above-average regular early on but I think there will be a little attrition over time, so I slid him back behind some players who I think have a higher long-term ceiling.","tVv3ORj53mQ","19352"
"Robert Puason","OAK","SS",,,4,,"45+",2025,,"17.8416666","6' 3""","185","S","R",2019,"J2","OAK",5100000,"Dominican Republic","A physically projectable switch-hitter with infield actions, Puason is very similar to Mets shortstop Ronny Mauricio when the latter was an amateur, but Puason has shown better feel for airborne contact during workouts than Mauricio did at the same age. He has a chance to have plus tools across the board, but there's some industry sentiment that in-game aptitude might cause those tools to play down. Specifically, there's worry about his approach at the plate, which will be more problematic if Puason outgrows shortstop. He had already arrived in Mesa before the shutdown and had clearly been in the weight room during the offseason, which was especially evident in his shoulders.","P07YG46Wi30",
"Logan Davidson","OAK","SS",,,5,,"45",2022,,"22.5777777","6' 3""","195","S","R",2019,"Draft","OAK",,"Clemson","Teams had seven-figure valuations on Davidson coming out of high school but he opted to go to Clemson, where he hit and hit for power for three consecutive years before getting $2.5 million as Oakland's first rounder in 2019. He's a big, switch-hitting 6-foot-3 shortstop (likely to stay there) with above-average power from both sides of the plate. He hasn't hit for that sort of power with wood bats (he slugged just .266 both years on the Cape, .332 last summer) but that may be a stamina issue rather than a wood vs. composite one. There's some hit tool risk here, and if Davidson ends up as a 30 or 35 bat in pro ball, he'll probably end up as a utility guy, but if he's making close to an even average amount of contact, he's probably playing every day.","CIxwpUggH0Y","sa918676"
"Tyler Soderstrom","OAK","C",,,6,,"45",2025,,"18.6388888","6' 2""","200","L","R",2020,"Draft","OAK",,"Turlock HS","He's not a lock to catch and some teams would like to run him out as a corner outfielder or third baseman (or some combination of the three, which I consider most interesting), but what's driving Soderstrom's stock is his bat. He made lots of quality contact during his showcase summer and is one of the more polished high school hitters in this draft. Juxtaposing his advanced offense is Soderstrom's defense. He split time behind the plate on his high school team, then was asked to catch premium stuff from pitchers with whom he had no experience during his showcase summer. I think we've only seen the tip of his defensive iceberg, but working to develop Soderstrom glove probably means slowing the development of his bat, and exposing him to the brutal grind of catching which often dilutes offensive production. The track record for high school catchers is pretty scary but it makes sense that the teams that like Soderstrom most think he can do it.",,
"Daulton Jefferies","OAK","RHP",,,7,,"45",2020,,"24.95","6' 0""","180","L","R",2016,"Draft","OAK",,"Cal","Jefferies walked off the mound with a trainer during his February 24 start and was later diagnosed with a biceps strain, the latest in a long line of injuries that limited him to just 20 pro innings before he finally had something resembling a full season in 2019. His injury history impacts his value pretty severely. Purely on talent, Jefferies is arguably a top 100 prospect (and was a 2019 Pick to Click before the latest hiccup) thanks largely to his plus, upper-80s changeup and plus command. Jefferies terse, upper-80s slider is effective because of his ability to locate it, and the rest of his repertoire, with precision. If healthy, he'll likely contribute to the big club this year, but that's a significant ""if.""","ij14-6H6bPU","sa738964"
"Nick Allen","OAK","SS",,,8,,"45",2022,,"21.7666666","5' 9""","166","R","R",2017,"Draft","OAK",,"Francis Parker HS (CA)","One of the best high school shortstop defenders many scouts have ever seen, Allen's size, or lack there of, is why he fell to the draft's third round, as there was concern he would not have the requisite physicality to hit big league pitching. After a few years of pro ball, Allen's wrists and forearms have become strong enough to put viable contact in play (and he makes plenty of it), though probably not with enough force to truly profile as an everyday shortstop. 
He's quite similar to fellow punchless leatherwizard José Iglesias, and could be a 1.5-ish WAR everyday player like Iglesias has been, but Allen started seeing time at second base and (in the Fall League) third base for the first time as a pro, and could also be an elite defensive utility infielder.","LdNKp8Xs1s0","sa3004723"
"Brayan Buelvas","OAK","CF",,,9,,"45",2024,,"18.1","5' 11""","155","R","R",2018,"J2","OAK",,"Colombia","Buelvas doesn't have monster tools right now. Instead, he's got an advanced, well-rounded game and hit .300/.392/.506 in the AZL last year despite being two and a half years younger than the average player in that league. Yes, <em>two and a half years</em> younger than the average AZL player. Buelvas turns 18 today. His skillset is going to be augmented by how he physically matures. This isn't a player with overt, striking physical projection like Kristian Robinson or any other 6-foot-3 prospect. Buelvas is an angular 5-foot-11, certainly likely to get bigger and stronger but probably not grow into huge power. He might hit 15 to 20 homers via consistent, quality contact, though. He's fast and instinctive enough to stay in center field, so that would be all the power he needs to develop to play every day. His report reads a lot like contact/instincts high schoolers available in the 2020 draft -- Pete Crow-Armstrong, Robert Hassell, Petey Halpin -- and I have him valued in that range.",,"sa3008868"
"Sheldon Neuse","OAK","3B",,,10,,"40+",2020,,"25.5944444","6' 0""","220","R","R",2016,"Draft","WAS",,"Oklahoma","Neuse was Washington's 2016 second rounder, then was traded the following summer as part of the Luzardo/Doolittle/Madson deal. He had a rough 2018, his first at Triple-A, then went bonkers in Vegas last year, slashing .317/.389/.550 with 60 extra-base hits in 126 games. He struggled during a brief big league stint (lion's share of the reps there came at second base after playing mostly third in Triple-A) but didn't get consistent at-bats outside of the first week of September. While I think the dramatic strikeout rate dip last year will probably regress to the mean, he's going to be a valuable, multi-positional player (2B/3B with maybe some left, and shortstop in a pinch) with power.","qqp5Daofb6w","19635"
