Name,Org,Pos,Current Level,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video,playerId
"Nate Pearson","TOR","SP","AAA",9,1,,"60",2021,"High","24.7916666","6' 6""","245","R","R",2017,"Draft","TOR",2450000,"Central Florida JC (FL)","After a healthy 2019, albeit one during which he was asked to work just four innings per start, Pearson once again had an injury hiccup in 2020. This time his malady, described as right elbow tightness, was actually arm-related after he had previously dealt with an intercostal strain and a fractured ulna caused by a comebacker. The Blue Jays shut him down for about a month, and when Pearson returned he did so as a reliever. Upon coming back, his fastball velocity was not only intact but he threw harder than he did as a starter before he was shut down (he averaged 99 mph after ""only"" throwing 96 as a starter). After just one post-injury regular season outing, Pearson came out of the bullpen in the final game of Toronto's Wild Card round loss to the Rays, and absolutely paved over Tampa Bay hitters who had just shelled Hyun Jin Ryu. The question the industry hoped Pearson would answer in 2020 was, ""Can this guy hold upper-90s cheese all year, every fifth day, as a starter?"" I think the answer to that is probably no, and I also think that based on how difficult it's been for him to build a starter's inning count in the minors, Pearson might spend his first couple of big league seasons in some kind of truncated starter's role or as a multi-inning relief weapon. 
But he does have front-end stuff in his fastball and mid-80s slider, which is often a 70 on the scale. Pearson also walked a bunch of hitters during his 2020 debut but his in-zone location rate was about the big league average, and he pretty consistently executes his fastball and slider where they should be located, so I think it's unlikely he moves to the 'pen for command-related reasons. He also has a curveball and changeup that round out the starter-worthy repertoire, though he's never really been able to throw that curveball for strikes and I'd speculate that the changeup ends up as the tertiary pitch here. His changeup flashes plus but his feel for locating it consistently isn't great, and I think that pitch needs to develop if he's going to max out as a starter. Because FV is a WAR-based prediction and Pearson's innings are likely to be somewhat limited early in his career, perhaps I should have kept his FV in the 55 tier even though he returned from the elbow injury with his usual velocity. But I'm 60'ing him here because of his high-end outcomes, which I think also include a truly elite relief possibility. There's a chance Toronto eventually does with him what the Reds did with Aroldis Chapman, where the team is competitive and Pearson is thriving in a relief role, so they just leave him there. <em>(Alternate site, MLB)</em>","t_D8-uewjYw","20160"
"Austin Martin","TOR","CF","AA",43,2,,"55",2022,"Med","22.2","6' 0""","185","R","R",2020,"Draft","TOR",7000000,"Vanderbilt","This is a good time to remind readers that present hit tool grades are standardized. Martin's performance, especially late during his 2019 sophomore season, put him at or near the top of the 2020 draft class. He slashed .392/.486/.604 that year and, similar to but perhaps not as emphatically as Adley Rutschman the year before, asserted himself as his draft class' top college hitter. Then Martin came out for the shortened 2020 campaign and though his numbers (against mostly non-conference pitching) were strong, he did not look elite from an eyeball scouting perspective. He wasn't running as well as he had the year before, and he had issues throwing the ball from third to first base, necessitating a move to center field. The industry didn't have much time to assess his routes and instincts there before the shutdown, and his average early-season speed created some skepticism. During his career at Vanderbilt, Martin mostly played third (61 games), but also saw time in center (25 games, half of those as a freshman), and at first (22) and both middle infield spots (14). He continued playing all over the field during his post-draft time at the Blue Jays' alternate site. The low-end pre-draft opinions of Martin feared he'd end up in left field and that he'd be without enough power to support an everyday profile there. I think he's likely to play a couple different positions at a passable level, at least one up the middle (either second or center), and the portion of his offense that drove his amateur stock, namely his elite plate discipline and feel for contact, will carry him to production on par with an above-average regular, à la Ben Zobrist. Martin's swing decisions are fantastic, and the combination of selectivity and his gorgeous, natural swing loft give him an excellent chance of hitting for some power despite middling raw juice. <em>(Alternate site)</em>","lj0PqRkUMCs","sa3014454"
"Simeon Woods Richardson","TOR","SP","AA",73,3,,"50",2023,"Med","20.6888888","6' 3""","210","R","R",2018,"Draft","NYM",1850000,"Kempner HS (TX)","Woods Richardson's velocity was down at the alternate site, though from talking with a source outside the org, his pitch data indicates it was trending back up as his time there went on. Regardless, he was sitting 90-92 as opposed to the 92-94, touch 97 from the year before, and I slid him back a spot on this list because of it, though I didn't change his FV in any way. In an alternate universe the thing I'd have hoped to glean from Woods Richardson's 2020 season was whether he had improved his ability to spin his four-seamer with better seam uniformity, something he struggled with the last time FanGraphs captured his pitches on Slowmie, our high speed camera. SWR works with both four- and two-seam variants, and also has the screwball action changeup that's now en vogue and a curveball that has good shape thanks to his arm slot but lacks power.  An athletic two-way high schooler, Woods Richardson was lauded a little extra because he's so competitive and works about as fast as any pitcher in the minors. There's still a viable three-pitch mix here but I'd like to see the velocity bounce back in 2021. <em>(Alternate site)</em>","AvmvGJtYR4c","sa3008423"
"Alejandro Kirk","TOR","C","MLB",75,4,,"50",2022,"High","22.5805555","5' 8""","265","R","R",2016,"J2","TOR",30000,"Mexico","Kirk has several elite statistical indicators, both in his surface-level on-field performance and in the background TrackMan data from his 2019 minor league campaign (in addition to what I have over on The Board, a source tells me his expected stats based on quality of contact are very similar to his 2019 Hi-A slash line of .288/.395/.446), and eyeball scouts acknowledge he's a terrific offensive player. 
But there is skepticism surrounding his long-term athletic viability because Kirk is a very husky guy (listed at 5-foot-8, 265) without a body comp precedent in baseball, or arguably across all of pro sports. Because Christian Vazquez is listed at 5-foot-9, 205 (which is either an embarrassing oversight or an intentional lie), the closest measurable comp to Kirk is José Molina at 5-foot-10, 250, but that's from when Molina was nearly 40-years-old, whereas Kirk is only 22. It's very difficult to anticipate what might happen to his frame as he enters his mid-20s, when many other players are thickening up as they reach maturity. All of this creates doubt surrounding whether or not Kirk can catch right now and/or long-term. But because he made his major league debut in 2020, we've gotten to see him do it a handful of times, and for a lot of different pitchers, at the big-league level. Kirk's receiving and framing are okay. He catches on one knee even with runners on base, which makes him especially good at framing balls toward the bottom of the zone. He sets his target then lets his glove hand go slack and works back to the ball as it heads home, which magnifies issues with visual presentation to umpires when his pitcher misses his spot. In general, Kirk just has a slow-moving glove and doesn't catch pitches at the top of the zone as cleanly as the softy sinkers at the bottom, and I wonder if he'll have more obvious issues catching power arms, though he did fine in two outings as Robbie Ray's backstop. Kirk's legs set up as wide as they can go when he's in his modified crouch so he can try to block balls without actually having to move his whole body laterally, and it actually works okay. He's not a great thrower despite an average arm because he's so slow out of his crouch, and sometimes he'll throw from one knee to circumvent this. 
My visual evaluation is that he's a passable defender, not a good one, and I think the Jays deep stable of catchers will dictate that he DHs sometimes and catches at others. The more 1B/DH Kirk has to play during his years of team control, the less valuable he'll be. He has an all-fields, doubles-oriented approach that prioritizes contact and walks, which I think is great for a catcher but won't be at first. He's an everyday big league catcher right now, but he may have an abnormally early decline phase. <em>(Alternate site, MLB)</em>",,"22581"
"Jordan Groshans","TOR","3B","AA",77,5,,"50",2023,"High","21.5694444","6' 4""","190","R","R",2018,"Draft","TOR",3400000,"Magnolia HS (TX)","Groshans hasn't played in an actual game since May of 2019 because plantar fasciitis ended his first full pro season prematurely and kept him from baseball activities until the start of 2020. Then he went to the alternate site, which was certainly a huge leap in pitcher quality compared to what he faced in Low-A, but he was also seeing the same group of arms over and over again, and there's no way of knowing how that impacted the performance reflected in data shared with other teams. The nearly two-year layoff hasn't caused me to downgrade Groshans so much as he has just been passed by hitters in whom I have a higher degree of confidence. The tools package here, arguably a Josh Donaldson starter kit with similar swing mechanics, still gives Groshans a pretty huge ceiling if he can actually hit like he did for the first month of 2019. He's a big-framed, well-made athlete with enough arm strength and mobility that some teams thought he could be tried at shortstop in pro ball. Part of that is because his arm strength might enable him to hide some of what he lacks in lateral range, and he did moonlight at shortstop at the alt site. I think he ends up as a power-hitting third baseman but the risk profile here has gone up due to the layoff. <em>(Alternate site)</em>","f-TuuK1yB5k","sa3006893"
"Orelvis Martinez","TOR","SS","A",89,6,,"50",2023,"High","19.5444444","6' 1""","190","R","R",2018,"J2","TOR",3500000,"Dominican Republic","Martinez was one of the most explosive talents in the 2018 July 2 class, getting the second highest bonus at $3.5 million, behind only 22-year-old Marlins center fielder Victor Victor Mesa. At the time, he ranked (at least here at FG) behind a number of players in his class because of concerns about his contact skills, and those concerns remain due to wild variation in the way Martinez's lower half works during his swing. His footwork is all over the place and he takes a lot of ugly hacks. But the bat speed, and Martinez's ability to rotate, is pretty special and rare for a potential middle infielder. He projects to have at least 60 raw power, and he should stick somewhere in the infield, but this is a kid with a high-variance hit tool who is therefore high-variance. <em>(Alternate site for a couple weeks, Fall Instructional League)</em>","yHLBXVb004Y","sa3010692"
"Gabriel Moreno","TOR","C","AA",93,7,,"50",2022,"Med","21.3083333","5' 11""","210","R","R",2016,"J2","TOR",25000,"Venezuela","Lansing is the most hitter-friendly park in the Midwest League and it aided Moreno's 2019 power output. You can't fake an 11% strikeout rate, though, which was especially impressive considering he made that much contact as a teenager in full-season ball. Even though he is young, I thought it was unlikely Moreno would develop much more raw power, both because catching takes such a physical toll on the body that it often dilutes offensive production, and because Moreno is a smaller-framed young man. But his max exit velos at the 2020 alt site were up above what they were in 2019, which appears to be the result of added mass rather than a swing alteration. It's an encouraging sign and part of a pretty impressive 2020 for Moreono during which he was seen on alt site video, during instructs, and then later in the Venezuelan Winter League, where he hit .373/.471/.508. I think the length of his year is as close as any catching prospect has come to being forced to replicate an actual full season behind the dish in 2020.  Defensively, he catches on one knee until there are runners on or there are two strikes, then sets up really wide in his crouch regardless of the pitch coming, which prevents runners from being able to signal pitch type to the hitter. He can sometimes be preoccupied with framing and whiff on a pitch he should be able to handle, but he's a capable if unspectacular defender and framer. Even with the little extra juice, Moreno's offensive profile is still all about hand-eye/bat-to-ball, punching airborne contact to all fields. He does enough of that to project as an everyday catcher. The Jays were compelled to add him to their 40-man this offseason, and he's one of five catchers they have rostered, making Moreno a potential trade chip if the competitive Blue Jays want to add to their roster. <em>(Alternate site, Fall Instructional league, Venezuelan Winter League)</em>","IZ-QYT1uaCQ","sa3003226"
"Alek Manoah","TOR","SP","MLB",,8,,"45+",2022,"Med","23.4055555","6' 6""","250","R","R",2019,"Draft","TOR",4540000,"West Virginia","Manoah is a big-bodied late bloomer from South Florida who wasn't a top notch recruit out of high school, but developed into an elite prospect throughout his sophomore year in Morgantown. Once softer and relatively unathletic, he's transformed himself from a high-effort relief type into a potential workhorse mid-rotation starter. 
Manoah still leads with his fastball/slider combo, and remains hulking and somewhat stiff-looking. That power fastball/slider approach to pitching and the Sal Romano body comp creates an air of bullpen risk, but that was the case with Nate Pearson once upon a time, and isn't anymore. Manoah can back foot his slider against lefties and his changeup flashed average in college, so he has a foundation of platoon-fighting weapons at his disposal, and changeup development was the focal point of his alternate site activity. He showed no ill effects from a big innings increase from 2018 to 2019 and was still 93-96 with his heater late in the summer after he signed; he continued to pitch in the mid-90s during the summer of 2020. Changeup and command consistency will reinforce the mid-rotation forecast, which is currently a right-tail outcome rather than the likeliest one, making those the things to look for when he pitches in 2021. <em>(Alternate site)</em>","xjl8MA97TKA","26410"
"Miguel Hiraldo","TOR","3B","A",,9,,"45",2022,"Med","20.75","5' 11""","170","R","R",2017,"J2","TOR",750000,"Dominican Republic","After his dominant 2018 in the DSL, the Blue Jays pushed the physically mature Hiraldo right past the GCL and sent him to the Appy League at age 18; there he hit .300/.348/.481 with 28 extra-base hits in 56 games. He has a short, high-effort swing, and his hands load high and take a curt, direct path to the ball with plus bat speed that Hiraldo generates with effort and violence. It's a swing-happy, pull-heavy approach to contact that would ideally become more polished, but there's rare bat speed and vertical plate coverage here, so Hiraldo has a talent-based shot to both hit and hit for power. Like Moreno, he also had a fairly relevant uptick in his high-end exit velocities in the Fall, on par with what Riley Adams was capable of in 2019, now tied for the highest in the system.
Hiraldo is stocky and strong in general, let alone for his age, and even though he's playing lots of shortstop right now, I think he'll end up as a shift-aided second or third baseman at physical maturity. He has physical ability to profile every day in that sort of role but the approach needs to develop. <em>(Fall Instructional League)</em>","lIpzLYf2EHg","sa3005486"
"CJ Van Eyk","TOR","SP","A+",,10,,"40+",2023,"High","22.7222222","6' 1""","200","R","R",2020,"Draft","TOR",1800000,"Florida State","I've added Van Eyk's pre-draft pitch data to The Board, but because Toronto's Fall rookie camp is more about org/pro assimilation and less about on-field development, there's nothing about his pre-draft report to update. Van Eyk flashes three plus pitches, but rarely all at the same time, and his control comes and goes. There's mid-rotation upside here if everything comes together consistently. What scouts think of Van Eyk has depended on when they've seen him. Late in 2019, he put on some clinics against Georgia and NC State and again in his first start of 2020, which put him in the Day 1 mix, but in other games he'll walk four or five guys and look like a reliever. You might attribute this to a lack of balance in the lower half that could improve with strength and flexibility. <em>(Fall Instructional League)</em>",,"sa3014713"
