Name,Org,Pos,Current Level,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video,playerId
"Cristian Pache","ATL","CF","AAA",7,1,,"60",2021,"Med","22.5444444","6' 2""","215","R","R",2015,"J2","ATL",1400000,"Dominican Republic","Pache played in two 2020 regular season games before he was thrust into the Braves' NLCS lineup due to Adam Duvall's oblique injury. Even though he hit .278/.340/.474 as a 20-year-old at Double-A Mississippi, there are still some level-headed, long-term questions about Pache's offensive ability. He had a 17% swinging strike rate in 2019 (if we 20-80'd swinging strike rates, that'd be a 30), and you might quibble with elements of the swing, most notably that the bat path only allows for power in certain parts of the zone, and that Pache's pitch recognition is just okay (it actually looks better this spring). But Pache can square velocity and he's a ferocious rotator with power. He's also athletic enough to make adjustments in order to get to that power (though selectivity might be an issue). Couple this power-hitting potential with some of the flashiest, most acrobatic defense in pro baseball and Pache has a cathedral's ceiling. 
Pache's reads in center, his contortionist's ability to slide and dive at odd angles to make tough catches and position himself to throw, as well as his arm strength, combine to make him an elite defensive center fielder. He's a likely perennial Gold Glover barring an unexpected, precipitous physical regression. Even if he's not posting All-Star offensive statlines, he'll provide All-Star all-around value. Expect him to hit about 20 annual pull shots, perhaps with a below average OBP. <em>(Alternate site, MLB)</em>","ALCsGpZ1oiA","19948"
"Ian Anderson","ATL","SP","MLB",12,2,,"60",2021,"Med","23.0916666","6' 3""","170","R","R",2016,"Draft","ATL",4000000,"Shenendowa HS (NY)","Anderson made a half-dozen regular season starts in 2020 and while he had some strike-throwing hiccups throughout, he struck out a ton of big league hitters and was nails when the lights were brightest in October. Everything he throws comes out of a very deceptive overhand slot that makes it difficult for hitters to parse his curveball from his fastball, and Anderson knows how to use each to set the other one up for a finishing blow. But Anderson's best weapon is his changeup, which has a lethal combination of tail and dive. He's no sniper, but Anderson can throw all three pitches for strikes and induce chases with all of them. He's a high-probability mid-rotation starter and is likely to graduate from rookie status just a few weeks into the 2021 season. <em>(Alternate site, MLB)</em>","tgygzB4auuw","19951"
"Drew Waters","ATL","CF","AAA",47,3,,"55",2022,"High","22.4305555","6' 2""","183","S","R",2017,"Draft","ATL",1500000,"Etowah HS (GA)","Waters' epicurean approach makes him a scary prospect. Eric watched him see a total of nine pitches in two games leading up to the 2019 Premier 12 tournament. It only became a problem during Waters' late-2019 jump to Triple-A, when he was still only 20 years old. He also has 55-to-60 grade tools across the board and, until that month of struggles, had performed since high school. 
His sweet lefty swing, bat speed, and underlying data indicate an elite ability to manipulate the bat as well as relevant power. One club told us his percentage of balls hit with a 95 mph-plus exit velo and a launch angle between 10 and 30 degrees (i.e. hard hit line drives and fly balls) was in the top 3% of the entire minor leagues. And, again, that came as a 20-year-old in the upper minors. The window dressing is plus speed and a plus arm. Some teams were and remain turned off by Waters' loud personality, while others just see him as a colorful guy. The broad strokes skills comp here is a version of Starling Marte. The return of Marcell Ozuna makes Waters a potential mid-summer trade candidate. <em>(Alternate site)</em>","lNnHDBf17DI","sa3004378"
"Michael Harris II","ATL","CF","A+",,4,,"45+",2024,"High","20.2444444","6' 0""","190","S","L",2019,"Draft","ATL",547500,"Stockbridge HS (GA)","Harris was a switch-hitting, two-way high school prospect who many teams preferred on the mound because of his mechanical grace and ease, his fastball's action and angle, and his curveball's depth. He stopped switch-hitting as a high school senior (he had good feel for contact as a righty hitter but was much less explosion than from the left side) and while many teams continued to prefer him on the mound, the Braves were one of the clubs that viewed him as a hitter, so blown away by his BP during a pre-draft workout that they didn't bother to ask him to pitch during it. 
After they picked him, Harris went to the GCL and raked. Not only was his on-paper performance fantastic (.349/.403/.514) but so was his underlying TrackMan data, as both Harris' average exit velo and hard-hit rates were well above the big league average. Remember that these numbers are still from 2019, our last minor league season, but Harris' average exits were top 10 among teenagers, and only one of those ahead of him (Liover Peguero) clearly has a better chance of staying at an up-the-middle defensive position long-term. 
Exposed to a fair bit of 2021 big league spring training, Harris has played well and produced some amazing individual highlights. He hit an oppo homer off of Peter Fairbanks and made a running catch in The Triangle at Fenway South. He may not be a long-term fit in center because we're talking about a compact young man with a very low center of gravity and a bottom-heavy frame who is rapidly approaching physical maturity. Conversely, this is a short-levered hitter with seemingly innate feel for making impact contact all over the zone, and while there may be a frame-related cap on his raw power projection, the hit tool might enable Harris to outperform his raw juice in games. 
The industry knows less about Harris because aside from PG National, he did not participate in the big showcases before his draft year, and his first full season was lost to COVID. There's a slice of the industry that thinks elite players just perform all the time, with any kind of extended failure or statistical hiccup evidence that a player won't be elite. If that's true then Harris is one of a handful of players who has a chance to be elite because he technically hasn't failed yet, in part because he's had fewer opportunities to. He's a fantastic athlete who has looked like a terrific all-around baseball player when he's been able to play, and he's gone from a third rounder to someone who we value on par with a mid-first rounder in the span of two years. <em>(Fall Instructional League)</em> ","2_32n4WPIJw","sa3010684"
"Shea Langeliers","ATL","C","AA",,5,,"45+",2022,"Med","23.5472222","6' 0""","205","R","R",2019,"Draft","ATL",3997500,"Baylor","Langeliers was the consensus best catcher in the 2019 draft not named Adley Rutschman, but it was still a surprise to see him go in the top 10. His game's maturity made Atlanta comfortable with a full-season assignment for his debut, and he impressed behind the plate while leaving scouts with mixed opinions about his future offensive potential. Langeliers has a decent understanding of the strike zone and can flash above-average raw power, but there are questions about how often he will get to it. He never put up big numbers at Baylor, and his swing can get mechanical and unconnected at times. 
His offensive development will dictate his ultimate value, as his defense is big league-ready right now. Langeliers simply has no weaknesses behind the dish. He’s athletic behind the plate, an agile blocker, and features a plus arm with an accurate, quick release. Beyond the physical ability, he earns high praise for his pitch calling, game management and attention to detail. The Braves will be tempted to challenge Langerliers in 2021 after the missed year, but they can also afford to be a bit patient with his offensive development due to William Contreras’ position ahead of him on the depth chart. <em>(Alternate site)</em>","SyejX3eoyUM","sa3010329"
"William Contreras","ATL","C","MLB",,6,,"45+",2021,"Med","23.4472222","6' 0""","180","R","R",2014,"J2","ATL",10000,"Venezuela","An exceptional athlete for a catcher, Contreras still has a fairly significant developmental path to traverse before he's a viable everyday backstop. Now a one-knee'd receiver, Contreras' framing is still visually suspect. We also have very little visual evidence of him throwing over the last two seasons, and what we do have is not great. He has an awful lot of energy, much like his brother did as a young player, and sometimes it can be a little frenetic. Contreras carries that spirit into the batter's box, where he really likes to swing. He has an uphill cut that works to right-center field even though it's best-suited for impacting pitches middle-in and down. The hope is that Contreras can narrow his approach and strike out less often so more of his plus bat speed can actually play. If he can do that, then he's got a very good chance of being an everyday catcher. If not, he'll be a toolsy, frustrating upper-minors one until something clicks. <em>(Alternate site, MLB)</em>","6knO4tYP-LM","20503"
"Kyle Muller","ATL","MIRP","AAA",,7,,"45",2021,"Med","23.6611111","6' 7""","250","R","L",2016,"Draft","ATL",2500000,"Jesuit Prep HS (TX)","Muller's stuff just keeps getting better. Though the developmental context of 2020 should lend some skepticism regarding to his retaining it, a three-year trend in his stuff runs from '18 all the way through this year's spring training. In 2019, Muller touched 98 but sat 91-95 during the bulk of his outings, and that fastball was complemented by a loopy, low-spin curveball and a changeup that had very little velocity separation from the heater. Then, while other pitchers lost about a tick and half of velo at the alt sites on average, Muller's was up. He sat 95-96 there, added spin and power to his curveball, saw his changeup movement beging to improve (which has continued through 2021 spring), and added a really hard slider in the 88-90 mph range. He was parked at 96 during 2021 spring training. On paper, Muller's ability to throw-strikes has regressed as he's climbed the minor league ladder and there's no way to know exactly how precisely he can wield this new stuff. While that may prevent him from being a starter, his stuff is so nasty that he projects to be a late-inning reliever if he moves to the 'pen. Even among big leaguers, Muller's Leviathan presence leaps out at you: this is a different type of athlete who has one of the sport's most impressive bodies, and he seems likely to overwhelm hitters with sheer stuff and physicality. <em>(Alternate site)</em>","GHdft_9H-90","sa917931"
"Alex Jackson","ATL","C","AAA",,8,,"45",2021,"Low","25.4444444","6' 2""","220","R","R",2014,"Draft","SEA",4200000,"Rancho Bernardo HS (CA)","Jackson has already had a circuitous career and he's still rookie eligible. In June it will have been seven years since he was drafted third overall as a bat-first catching prospect who it was thought at the time might have to move to third base or right field if, like Bryce Harper, his defensive development was slowing his bat's ascent through the minors. But Jackson got very heavy very quickly and instead fell down the defensive spectrum out of athletic necessity. Over-aggressive elements of his approach were exposed and, from the outside, it appeared his relationship with the org had soured. The Braves acquired him for Max Povse and Rob Whalen about two-and-a-half years after he was drafted and asked him to catch exclusively, which he has done since joining the org. 
During that time some things have changed. For one, Jackson showed up to 2021 camp looking as svelte and lithe as he has since high school. He's now catching on one knee (which he did last year) even with runners on base (which he did not) and has become much better at framing low pitches as a result. At times, his ball-blocking appears to suffer from this new style but he's still popping in the mid-1.90s on throws to second. Once someone we thought might only catch once an electronic strike zones is implemented and DH until then, Jackson now looks like a viable defender. While he remains a power-over-hit guy, he has rare pop for any player, let alone a catcher. His 2019 minor league HardHit% was one of the highest in the minors, with a whopping 51% of his balls in play that year scorched at 95 mph or more. His epicurean approach at the plate, and what it does to his peripherals, makes Jackson a hit-tool risk, and at most other positions that would be very scary, but at catcher that's going to be fine. While he'll likely begin his career as a backup, Jackson's pop should also get him into the lineup as a DH pretty frequently. <em>(Alternate site, MLB)</em>","HIPG1LxMnlQ","17276"
"Bryse Wilson","ATL","SP","AAA",,9,,"45",2021,"Low","23.4583333","6' 1""","224","R","R",2016,"Draft","ATL",1200000,"Orange HS (NC)","Wilson's performance has leveled off since his epic tear through the upper minors in 2018 and '19. Even as the Braves were clamoring for stable starters in 2020, Wilson only threw 15 innings and was reduced to making an emergency NLCS appearance, in which he competed admirably. As his secondary stuff has looked largely unimpactful against big league hitters, Wilson's saving grace will likely be his command. He'll work his low-90s sinker at the knees, then run his four-seamer up the ladder to finish hitters, and Wilson has great command of his two-plane, upper-70s curveball. He seemed to lose feel for his mid-80s cutter/slider last year, and while he can locate his changeup, it simply isn't that good. The depth of Wilson's repertoire and his command of it make him a high-probability rotation piece but what he can lean on to miss bats is pretty narrow. He has fifth starter stuff but the command will help it play up and hopefully enable WIlson to eat innings in a way more commensurate with a 1.5 WAR type of starter. <em>(Alternate site, MLB)</em>","-W1-8t94J3M","19990"
"Jared Shuster","ATL","SP","A+",,10,,"45",2023,"High","22.8388888","6' 3""","210","L","L",2020,"Draft","ATL",2197500,"Wake Forest","Shuster's stuff got better while his walk rates dipped, and even though his high-effort power pitching style has a relief vibe to it, he has the repertoire depth and (more recently) strike-throwing ability to be developed as a starter. Shuster went from sitting 88-92 as an underclassman to sitting 91-95 as a junior. He also went from a WHIP close to 1.60 as a freshman and sophomore to one under 1.00 during his pre-draft summer on Cape Cod and month-long, pre-pandemic tear as a junior, amassing 78 strikeouts and allowing just 50 baserunners in those 60 innings. Shuster's changeup is his best secondary offering, and he sells it to hitters by mimicking his fastball's intense arm speed. Again, Shuster doesn't look like a touch-and-feel guy at first blush but he has a real knack for locating his changeup down and to his glove side over and over again. If he can retain his riding fastball's new velocity, then he'll have two plus pitches and only need to refine the consistency of his slurvy breaking ball to project as a fourth starter type, or a multi-inning power reliever if this recent run of strike-throwing turns out to be a mirage. <em>(Fall Instructional League)</em>",,"sa3014483"
"Bryce Ball","ATL","1B","A+",,11,,"40+",2022,"Med","22.9083333","6' 6""","235","L","R",2019,"Draft","ATL",197500,"Dallas Baptist","Ball hasn't just hit, he’s mashed everywhere he’s gone. In two years at North Iowa Area Community College, he put up an 1.108 OPS. Transferring to Dallas Baptist for his junior year, he dipped to a 1.057 mark. Still, he wasn't heavily scouted and the Braves nabbed him in the 24th round of the 2019 draft. From there, he just kept crushing baseballs, putting up a 1.023 OPS in his 62-game pro debut. Ball is an exceptionally large human being who combines raw strength and long levers to produce easy, double-plus raw power. What separates him from most power goofs is some intrinsic hitting ability as well, as while he'll never be confused with Luis Arraez, he makes more contact than most players with his profile. His approach got a bit aggressive following a promotion to Low-A Rome in 2019, and he needs to begin focusing more on pitches he can drive as opposed to ones he can merely hit. 
Ball’s value is entirely wrapped up in his offensive prowess. While he moves well for his size, he’s still a below average runner and inconsistent defender. Bat-only prospects are exceptionally risky, and Ball adds to the variety of outcomes by turning 23 this year (his birthday is in July) and having yet to play a full season in the minors. He’s looked overmatched at times this spring, but Atlanta is no doubt excited to see if he can put up another quadruple-digit OPS line in 2021. <em>(Alternate site)</em>",,"sa1170451"
"Braden Shewmake","ATL","SS","AA",,12,,"40+",2022,"Low","23.5444444","6' 4""","180","L","R",2019,"Draft","ATL",3129800,"Texas A&M","While Shewmake never put up gaudy numbers at Texas A&M, he was a consistent plus performer at an up-the-middle position for a major program, which was enough for the Braves to select him with the 21st overall pick in 2019. He wasted little time adjusting to pro ball, and reached Double-A just two months after being selected. Shewmake’s calling card is his ability to make contact. With a quick trigger and impressive bat control, he can cover all four quadrants of the plate exceptionally well, as evidenced by his sub-10% strikeout rate in college. While he showed some early promise of power with 11 home runs as a freshman, he had just 11 over his next two years combined and rarely drove balls during his Braves debut, seemingly more content to push balls the other way or shoot for liners over the infielders head, which frustrates some evaluators considering his impressive 6-foot-4 frame. There’s potential for average and on-base skills here, but the lack of ISO could limit his future, and we have him behind Ball here because we think Shewmake's ceiling is close to a 45, whereas Ball's power gives him more than that. 
There are still questions about Shewmake’s ultimate defensive home as well. Scouts were mixed as to his ability to stay at shortstop heading into the draft, as he’s just an average runner who looks a bit stretched there at times, with some projecting him sliding over to second. The Braves love Shewmake’s maturity and baseball IQ, and while his upside is limited, he has a chance to move quickly. <em>(Alternate site)</em>","2MvPIsIO4PQ","sa3010332"
