Name,Org,Pos,Current Level,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video,playerId
"Brice Turang","MIL","SS",,110,1,,"50",2023,,"20.6472222","6' 1""","170","L","R",2018,"Draft","MIL",,"Santiago HS (CA)","Turang has two profile-carrying attributes in his ball/strike recognition and defense, while the rest of the profile struggles because he doesn't square balls up very well. He has a chance to be a plus defender who reaches base a lot, which is basically what J.P. Crawford's skill base was, even when he was struggling. It's possible that upper-level pitching challenges Turang with impunity and his walk rates tank, at which point I'll move off him. If his frame, which is broad-shouldered and quite projectable, fills out and suddenly there's relevant pop, he's an everday player.","ndJStZbwH1c","sa3008294"
"Mario Feliciano","MIL","C",,,2,,"45+",2022,,"21.65","6' 1""","200","R","R",2016,"Draft","MIL",,"Beltran Academy HS (PR)","Feliciano hit .273/.324/.477 with 19 homers as a 20-year-old in the Carolina League, a level he was semi-repeating, as he'd spent about a month there in 2018 but missed much of the rest of that year due to injury. He is one of the more talented offensive catching prospects in the minors thanks to a potent combination of power and barrel feel. When Feliciano puts balls in play, they're very often scorched -- just under 50% of the balls he hit last year entered play at 95 mph or above, which is a 65 on the 20-80 scale if you curve out big leaguers' hard hit rates. All of that seems likely to be hampered by Feliciano's hedonistic approach. The dude likes to swing, and has only walked at a 6% clip as a pro. 
Scouts also have tepid opinions about his defense, but let's remember that he's essentially a JUCO-aged player who missed a year of development due to injury. I anticipate some defensive improvement, and think we'll have a electronic strike zone a year or two after Feliciano hits the 40-man, which will help him stay back there. His approach is kind of scary and there's a chance his contact profile bottoms out against big league pitchers who prey on his swing-happy nature, but I have Feliciano evaluated as an everyday catcher based on how much power I think he'll hit for, even if he's running OBPs close to .310.","D6SDMu7h_Q","sa917954"
"Garrett Mitchell","MIL","CF",,,3,,"45+",2022,,"21.8611111","6' 3""","205","L","R",2020,"Draft","MIL",,"UCLA","Note the gap between Mitchell's projected game power output and his raw juice, one that probably needs a swing change to close. Curt, punchy, and geared for gap contact, Mitchell's current cut is more fluid and dynamic than it was in high school, when teams had million-dollar evals on him despite largely taking issue with his swing efficacy, but he still has limited power utility on pitches away from him. The swing changes Mitchell made at UCLA are perhaps evidence he can make more as a pro, but I think this gap approach works fine and is best depoyed by sprinters like Mitchell, who has retained his plus-plus speed despite bulking up quite a bit since high school. Without impact game power Mitchell is unlikely to be a star, but the offensive improvements he made in college combined with his defensive fit in center give him a good shot to be an everyday center fielder.",,
"Tristen Lutz","MIL","RF",,,4,,"45+",2022,,"21.8944444","6' 3""","210","R","R",2017,"Draft","MIL",,"Martin HS (TX)","For the second straight year, Lutz got off to a slow start before righting the ship and hitting .271/.354/.446 from May onward. His skillset remains the same: big power, some stiffness and limited bat control, and an ability to crush lefties. Lutz's overall performance in two full pro seasons has been just shy of what I'm comfortable with 50 FV'ing but he's been very young for his level and only took three at-bats off of pitchers who were younger than him last year. He has a good shot to be an everyday corner outfielder who hits 25 homers annually.","HD5Gdv4-45Q","sa3004968"
"Ethan Small","MIL","LHP",,,5,,"45",2021,,"23.4166666","6' 3""","214","L","L",2019,"Draft","MIL",,"Mississippi State","Small is a mechanical doppelgänger for Clayton Kershaw and, like late-career Kershaw, he's blowing fastballs with mediocre velocity past opposing hitters because he hides the ball well and creates pure backspin, helping it carry at the top of the strike zone. Small has a bat-missing changeup but needs to find a better breaking ball to really max out as a prospect. He could be a 50 FV, league-average starter if he does, but otherwise is likely to slot toward the back of a rotation.","dvl3MjEY7LY","sa3011621"
"Aaron Ashby","MIL","LHP","A+",,6,,"40+",2022,,"22.1388888","6' 1""","170","L","L",2018,"Draft","MIL",,"Crowder JC (MO)","Ashby has nasty, left-handed stuff and reliever's control. He was up to 94 during his first pro jaunt in 2018, then was up to 96 last year as a starter, velo I think will climb in the bullpen. His two breaking balls need better demarcation, but they each flash plus and Ashby will even show you an average changeup on occasion. Since he has viable starter's stuff, it's logical for the Brewers to continue developing him in that role just in case he develops starter's control later than is typical, and also to refine that secondary stuff with more reps than he'd get in the bullpen. Coming off his age-21 season, Ashby was on pace to reach Double-A during the back half of this year before the world turned upside down. He has a shot to debut in 2021, especially if Milwaukee 'pens him.","v72e75qt5lg","sa3007225"
"Freddy Zamora","MIL","SS",,,7,,"40+",2024,,"21.7027777","6' 1""","190","R","R",2020,"Draft","MIL",,"Miami","Zamora is unlikely to go as high as I have him ranked because he tore his ACL this spring and didn't play. He belongs here on talent, a pretty explosive and acrobatic runner who walked more than he struck out as an underclassman.",,
"Antoine Kelly","MIL","LHP",,,8,,"40+",2023,,"20.6083333","6' 5""","185","L","L",2019,"Draft","MIL",,"Wabash Valley JC (IL)","Unsigned by the Padres after the 2018 draft, Kelly's velocity spiked into the mid-90s in 2019. He'll bump 98 and has a big, athletic frame and fluid delivery, but Milwaukee will need to develop the rest. Fastball location seemed to be the developmental focus for Kelly after the draft. In both my look and those of several scouts, he featured something like 80% fastballs. Teams have disparate opinions of Kelly. Some are intrigued by the canvas he presents, while others think painting it will be a chore. He need only develop one pitch to be a power reliever, which I think is pretty realistic.",,"sa3011135"
"Max Lazar","MIL","RHP","A+",,9,,"40+",2022,,"21.1138888","6' 3""","185","R","R",2017,"Draft","MIL",,"Coral Springs HS (FL)","Lazar sits just 86-89 but his deceptive, funky, over-the-top delivery combined with the extreme length of his stride down the mound (nearly 7.4 feet of extension, among the top 50 in all the minors) make him an uncomfortable at-bat for opposing hitters. If there's an Oliver Drake delivery comp in the minors, it's Lazar (though he gets much lower to the ground), and like Drake, he can somehow turn over a changeup from this arm slot. We've seen fastballs thrive despite mediocre velocity before. Often it's from someone who has an extremely vertical arm slot, like Drake or Josh Collmenter, or huge extension and a flat approach angle, like Yusmeiro Petit, guys who can successfully remove the table cloth without disturbing the place settings. Lazar has both of these, and has a bat-missing changeup, too. I'm not as confident in the breaking stuff, which often finishes high in the zone -- it's that aspect of the skillset I'm scared will be exposed by upper-level hitting. Even if they don't develop further, Lazar has two legit weapons that would work fine in relief, and he throws strikes at such a high rate that he could be a multi-inning piece. Based on how Milwaukee deployed him last year -- 10 starts, nine relief outings, highly variable pitch counts -- it appears he's being groomed for a non-traditional role of some kind.",,"sa3005163"
"Eduardo Garcia","MIL","SS",,,10,,"40+",2024,,"18.0111111","6' 2""","160","R","R",2018,"J2","MIL",1100000,"Venezuela","Garcia broke his ankle and didn't play in games at all last year, so other than that, my report on him remains the same. Garcia had an eye-opening 2018 instructional league. His range, hands, actions and arm are all easy fits at shortstop, and he could be a plus glove there at peak. His entire offensive profile depends on his frame filling out. Garcia's lack of strength is evident with the bat in his hands, but you can go kind of nuts projecting on much of his skillset, including the speed and arm strength, because he so clearly has lots of physical growth on the horizon and is an above-average athlete. He's so young that he wasn't even eligible to sign immediately on July 2nd because he was still 15. Were he a domestic high schooler, he wouldn't have been draft eligible until 2020, and he's still just shy of 18. His development may initially be slow, but he has significant literal and figurative growth potential and a non-zero shot to be a well-rounded everyday shortstop at peak.","Oo8SzAr5cp4","sa3008751"
