Name,Org,Pos,Current Level,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video,playerId
"Dylan Carlson","STL","LF","MLB",15,1,,"60",2021,"Med","22.6166666","6' 3""","210","S","L",2016,"Draft","STL",1350000,"Elk Grove HS (CA)","Carlson is balanced and coordinated while hitting from both sides of the plate, his left-handed swing has gorgeous lift and finish, and he has advanced bat control and rare on-field poise for a switch-hitter his age. He's also athletic and moves well for his size. I still have some questions about his ultimate upside because I think he's much more likely to end up in left field than in center. His instincts in center are okay, but I don't think he has the long speed that is typical at the position. His 2019 minor league TrackMan data indicates his statline from that year was a bit of a caricature, but his Savant page indicates the opposite with regard to his 2020 debut struggles. I wonder if pro models have been overrating Carlson due to his age because even though he's only the age of a college bat, he doesn't have the physical projection you'd expect of a hitter that age. Of course, it's not like Juan Soto still has physical projection, either. The league-average offensive production in left field has been lower than you might expect (good for a 100 wRC+ over the last five years) and Carlson might also be able to play a situational center when the Cards are behind and need offense, as well as some first base. That versatility is valuable icing on a switch-hitting cake. Carlson projects as a well-rounded switch-hitter with excellent feel for the strike zone. <em>(Alternate site, MLB)</em>","5Qo_OiBtqnA","20126"
"Nolan Gorman","STL","3B","AA",38,2,,"55",2022,"High","21.0694444","6' 1""","215","L","R",2018,"Draft","STL",3231700,"O'Connor HS (AZ)","There's no change to Gorman's report, as he was at the alt site all year, but the Arenado trade complicates his defensive future, which I'll address toward the end: By torching the Appy League during his first pro summer, Gorman laid to rest any concerns that his whiff-prone pre-draft spring was anything more than a hiccup caused by the whiplash of going from facing elite, showcase high schoolers (who he crushed) to soft-tossing, Arizona varsity pitchers. He struck out a lot (again) during the 2018 stretch run, when St. Louis pushed him to Low-A Peoria because he wasn't being challenged in Johnson City. Sent back to Peoria for the first half of 2019, Gorman adjusted to full-season pitching and roasted the Midwest League to the tune of a .241/.344/.448 line, cutting his strikeout rate by eight percentage points. He was promoted to the Florida State League for the second half, and while his walk rate halved and his strikeout rate crept above 30% again, Gorman still managed to post an above-average line for that league as a 19-year-old. His strikeout issues will only become a real concern for me once Gorman stops showing an ability to adjust over a long period of time. 
His huge power, derived from his imposing physicality and explosive hand speed, is likely to play in games because of the lift in Gorman's swing and his feel for impacting the ball in the air. Because we're talking about a teenager of considerable size, there's a chance he has to move off of third base at some point, and now that Nolan Arenado is in town, St. Louis will see how Gorman looks at second and in left field. I bet he'll be able to make routine plays on balls hit to him at the keystone, but I have no idea what he'll look like operating around the bag. There are apt body comps to be made to either of the Seager brothers, while the offensive profile looks more like Miguel Sanó's. <em>(Alternate site)</em>","_2qk0vq7IEA","sa3007017"
"Ivan Herrera","STL","C","AA",66,3,,"50",2023,"Med","21.0111111","6' 0""","190","R","R",2016,"J2","STL",200000,"Panama","There's no change here as Herrera was only at the alt site: When I began sourcing data on the Cardinals system in 2019, I wasn't aware of a max exit velocity for a teenager in excess of 109 mph (Kristian Robinson, Marco Luciano, Luis Toribio) -- until I learned of Herrera's. It was surprising considering that Herrera is physically quite modest, and looked sluggish at times during that year's Fall League, but by that point he had played in three times as many games as he had the year before, and was likely exhausted. Regular season Herrera was a little leaner, twitchy, and athletic, and was an advanced defender with a mature approach at the plate. He also hit .286/.381/.423 as a 19-year-old catcher in the Midwest League. This guy checks all the proverbial boxes and looks like a well-rounded everyday catching prospect. <em>(Alternate site)</em>","Dj8kYAesv6M","sa3003191"
"Matthew Liberatore","STL","SP","AAA",110,4,,"50",2022,"Med","21.5805555","6' 5""","200","L","L",2018,"Draft","TBR",3497500,"Mountain Ridge HS (AZ)","Liberatore throws at a Phoenix-area facility called Fuel Factory and was cruising in the low-90s during offseason bullpens, then was 90-93 in a heavily-scouted live BP exhibition just about a week before the top 100 was published. Because Liberatore's fastball has sinker movement, the growth of his changeup is going to be the most important aspect of his development, since those two pitches have similar movement and will theoretically tunnel better. That pitch has indeed improved and will likely be his putaway offering in the big leagues. 
That may surprise readers aware of his curveball's reputation. Indeed, Liberatore's curveball has all-world depth, but I think its results may suffer because he doesn't have an up-in-the-zone four-seamer to pair with it. Instead it's the sort of pitch I think he'll use to get ahead of hitters late in outings, dumping that curveball into the zone for strike one. It's the type of pitch that's hard to hit even if you know it's coming, but might be easy to lay off of when Libby tries to bury it in the dirt, because its Loch Ness Monster hump is easy to identify out of the hand. All of the advanced pitchability stuff -- Libby started learning a slider during his senior year of high school, he varies his timing home, and he's likely to pitch backwards with his breaking balls -- is here, too, and that'll be important given the lack of a bat-missing fastball. The slider isn't there quite yet but, based on Liberatore's natural ability to spin the ball, I bet it will be eventually. He profiles as an innings-eating, 2-ish WAR starter. <em>(Alternate site)</em>","IayXSFEwcVU","sa3008163"
"Jordan Walker","STL","3B","A",,5,,"45+",2025,"High","19.0361111","6' 5""","220","R","R",2020,"Draft","STL",2900000,"Decatur HS (GA)","Walker's showcase summer look was among the most exciting in the entire 2020 draft class. He looked like a potential top 10 pick, then came out of the gate slow the following spring and never really had a chance to totally course correct because of the pandemic. Walker pitched and played shortstop during his pre-draft summer, and had among the best present raw power and pretty clearly the best raw power projection of any of the 2020 high schoolers because of his huge frame. With that frame came a perceived likelihood that he would eventually end up at third base and the possibility that he might need to move all the way over to first. Those seeming eventualities remain, but Walker also has really rare measureable power for someone his age and he's a remarkable athlete for how big he is. Physically, he might end up in Joey Gallo territory at maturity. The Cardinals sent him to the alt site after the draft and Walker began to separate himself from the other high-variance teenagers in the org there. He was an offseason ""Pick to Click"" and is a potential 35-plus homer force. <em>(Alternate site)</em>",,"sa3014464"
"Zack Thompson","STL","SP","AAA",,6,,"45",2022,"High","23.6027777","6' 2""","225","S","L",2019,"Draft","STL",3000000,"Kentucky","Arguably the most talented college arm in the 2019 draft, Thompson fell (at least in part) because of injury issues speckled throughout his amateur career. He was used pretty conservatively in a bullpen role after he signed for workload/health reasons, then spent 2020 at the alt site rather than race to the upper levels like most Cardinals college draftees tend to. The headline pitch here is the curveball, a deadly, mid-70s parabola much like Liberatore's. Like Libby, Thompson's fastball traits don't fit perfectly with it, which limits his curveball utility, but it's a great in-zone offering he can use to get ahead of hitters. His velocity actually ticked down throughout 2021 spring training -- he was 90-94 early, then 88-92 late -- but a source told me he was back up to 95 the week before this list published. There's a new-ish cutter/slider here, too, and it's interesting that even though Thompson has elite curveball spin rates, that hasn't translated to the spin on the cutter/slider at all; that pitch's rates were close to 2,000 rpm during the spring. It looks below-average to the eye. He threw few if any changeups this spring. So health and pro development hasn't enabled Thompson to make a rapid, instant leap in stuff quality. Rather than a No. 4/5 starter foundation with a chance to really pop, he looks more like a low-variance No. 4/5 guy. <em>(Alternate Site)</em>",,"sa3011128"
"Masyn Winn","STL","SIRP/SS","A",,7,,"45",2025,"High","19.2055555","5' 10""","180","R","R",2020,"Draft","STL",2100000,"Kingwood HS (TX)","The Cardinals are going to try developing Winn as a two-way player. From a pure athleticism standpoint, I think he has a chance, though whether his diminutive frame can withstand the physical toll that would come with it is harder to say. Winn is an elite on-mound athlete and also has plus-plus bat speed, rotating with explosion on par with lots of Top 100 prospects. His straight line speed and arm strength make him a developmental fit at shortstop and if he can tone down some of the noise in his swing without compromising its explosiveness, he could end up hitting for power, too. The potential for power and viable defense at short would give him a pretty low contact bar to clear; he could only develop a 40 bat and still be a slam dunk everyday player. 
He didn't pitch the summer before his draft year and has a pretty violent head whack, so there's relief risk on the pitching side of the ledger here. But Winn will bump 98 and has an absolute hammer breaking ball, as well as the arm speed to occasionally sell a good changeup. It makes sense to develop Winn as both a hitter and pitcher for a while if only to make sure the position you pick is the correct one. He's going to be on an innings limit during his first year or two of pro ball, so there's little cost to his development to do so. He's one of the more exciting and fascinating prospects in all the minors. <em>(Alternate site)</em>",,"sa3014506"
"Johan Oviedo","STL","MIRP","MLB",,8,,"45",2022,"High","23.2583333","6' 6""","245","R","R",2016,"J2","STL",1900000,"Cuba","Oviedo was one of the not-quite-ready-for-primetime players pressed into major league duty last year because of the Cardinals' COVID outbreak, and he struggled in a limited big league look. A hulking 6-foot-6, Oviedo has a workhorse starter's build that comps to a young Josh Beckett, he throws really hard, and he flashes above-average breaking stuff. All of these components are present intermittently, but Oviedo just hasn't leveled up as a strike-thrower yet, and his slider and curveball aren't nasty enough to override his loose command; they need to be located. The same is true of Oviedo's fastball. Even though it's in the mid-90s and has something close to a backspinning axis, his size creates more downhill plane on the pitch than a fastball with these other traits wants to have. I'm pretty confident Oviedo's going to be an integral part of a pitching staff eventually. At 23, it's looking more like that will be in relief further down the line, though right now it makes more sense to have him stretched out as starter depth. His repertoire depth and starter pedigree make him a strong candidate to work in a four-to-six out role. <em>(Alternate site, MLB)</em>"," ","22487"
"Jhon Torres","STL","RF","A+",,9,,"40+",2023,"High","21.1833333","6' 4""","200","R","R",2016,"J2","CLE",150000,"Colombia","There's no change to Torres' blurb as he was not at the alternate site: After Torres, who was acquired from Cleveland for Oscar Mercado during the summer of 2018, paved over rookie ball, the Cardinals skipped him over two levels, sending him right from 2019 extended spring training to Low-A in early-May. He struggled, striking out nearly 40% of the time, and after a couple of weeks the Cards hit the breaks and sent him down to Johnson City for the remainder of the summer. Torres bounced back in a huge way, hitting .286/.391/.527 in the Tennessee humidity. 
This is a traditional corner outfield projection prospect. Torres is an immense teenager built much like Franmil Reyes was at the same age. Torres has a chance to grow into similar power as he fills out, though hopefully he stays a little more agile than Reyes has and is able to play better outfield defense. Some of the swing elements (how long the barrel is in the zone, the stride length) may need to change to max out the game power, but there's middle-of-the-order thump here. <em>(At-home dev)</em>","3I-QOd9oNcA","sa3003233"
"Luken Baker","STL","1B","AA",,10,,"40+",2021,"High","24.2361111","6' 4""","265","R","R",2018,"Draft","STL",800000,"TCU","Baker's amateur career was bedeviled by freak injuries -- a left arm fracture and ligament and muscle tear, a few missed games after taking a bad hop to the face, a fractured fibula and torn ankle ligament suffered while sliding into second base -- which likely snuffed out our chances of watching him play two ways at TCU. Because Baker is the size of one of the Easter Island Moai statues, there's some fear about his athletic longevity. But he has monstrous raw power and has performed when healthy (I'm not sweating a .390 SLG in the Florida State League), so he has a fair chance to hit at least enough to be a CJ Cron/Jesús Aguilar sort of performer. He seems to carry more weight in trade talks than a run of the mill 40 FV and could have a Luke Voit career arc that Cardinals fans will actually get to enjoy. If not, he's going to hit a ton of homers overseas. <em>(Alternate site)</em>","-JDVKOVihsY","sa3008267"
