Name,Org,Pos,Current Level,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video,playerId
"Nico Hoerner","CHC","2B","MLB",47,1,,"50",2020,,"23.1694444","5' 11""","200","R","R",2018,"Draft","CHC",2724000,"Stanford","When Hoerner was at Stanford, it seemed reasonable to hope that he could pass as a shortstop by simply making all the routine plays, plus a few based on his level of effort. It also seemed reasonable to project him in center field because of his plus-plus speed. The Cubs have decided to have it both ways; beginning in July of last year, after he returned from a wrist fracture, they began playing him at all three up-the-middle positions. Barring a rep-based leap in center field, he projects to be a 45 defender at all three spots, but the versatility is valuable on its own. 
This wasn't the first developmental alteration the Cubs made. Hoerner's swing changed not long after he was drafted. He was making lots of hard, low-lying contact at Stanford, but since signing he has added a subtle little bat wrap that has made a substantial difference in how he impacts the ball. He hit for much more power than was anticipated after he signed and may not have repeated the SLG in 2019 because of the wrist injury. He's a lock regular for me and has some hidden value because of the defensive flexibility he provides, assuming he proves capable of handling both short and center.","W6oDgCR-O3c","21479"
"Brennen Davis","CHC","CF",,53,2,,"50",2023,,"20.7","6' 4""","175","R","R",2018,"Draft","CHC",1100000,"Basha HS (AZ)","Davis made an incredible leap throughout his first year in pro ball. Some area scouts thought he was so raw as a hitter, and that his stock had fallen enough due to a pre-draft hamstring issue, that he might be better off going to school. The Cubs took him in the second round, tweaked his swing, and skipped him over a level; he responded by hitting .305/.381/.525 at South Bend, and he may just be scratching the surface. 
Davis was his conference's Defensive POY on a 2016 state championship basketball team and didn't fully commit to baseball until his senior year of high school. He has a big, projectable frame that he's already added a lot of muscle to over the last year and a half, and amateur scouts raved about Davis' maturity as a student and a worker (often citing the odd hours he keeps taking care of a goat and the llamas at his family home), and all thought he'd be able to cope with likely early-career contact struggles and would work to improve his ability to hit. Watch out for the injuries here. In addition to the hamstring issue in high school, Davis was on the IL twice last year for hand ailments. We only have a 50-game sample of stats, but it's just evidence supporting the athletic/makeup foundation and reinforcing that the swing change worked. This is a risk/reward power/speed outfield prospect.","6gBtKoXW5Gc","sa3007876"
"Miguel Amaya","CHC","C",,68,3,,"50",2021,,"21.3472222","6' 1""","185","R","R",2015,"J2","CHC",1000000,"Panama","Amaya continues to track as a good everyday catcher. He remains a polished defender with leadership qualities befitting an everyday backstop, and his body is built to withstand the rigors of the dog days. Like most catchers, Amaya's offensive tools play down a bit in games because the position wreaks havoc on the body. For two years now he's caught about 90 games, reached base at a .350 clip, and hit a dozen dingers. He's now on the 40-man and was on pace to play at Double-A this year before the shutdown, though his big league timeline might accelerate if Willson Contreras is traded.","ALRAn-JhLgA","sa917354"
"Brailyn Marquez","CHC","LHP",,121,4,,"50",2021,,"21.4555555","6' 4""","185","L","L",2015,"J2","CHC",600000,"Dominican Republic","Marquez is tied with Blake Snell for the title of Hardest-Throwing Lefty Starter on the Planet right now, as both averaged 95.6 mph on their heaters last year. He walked 13% of Low-A hitters over 17 starts but was promoted to Hi-A anyway because he was just bullying hitters with heat and not really refining anything. Marquez does unleash the occasionally nasty slider, his changeup sometimes has bat-missing tail and location, and, though it's unclear if it's purposeful or not, his throws what looks like a cutter. The consistency of his command, the quality of his secondary stuff, and the way his body developed before he has even turned 21 are all signs pointing toward a high-leverage relief role.","XeLTg0oFKog","sa918004"
"Ed Howard","CHC","SS",,,5,,"45+",2024,,"18.4611111","6' 2""","185","R","R",2020,"Draft","CHC",,"Mount Carmel HS","Perhaps he would have come out of the 2020 blocks having already filled out and showing more raw power, but Howard answered most relevant questions the previous summer when he performed against the best high school pitching all summer on the showcase circuit. That pitching is much better than what Howard would have seen in Illinois this spring. Howard best squares up pitches at the bottom of the strike zone, and although he hasn't been tested regularly at the letters, he's shown flashes of being able to either lay off those pitches, or pull his hands in and find a way to get the barrel there, and even to catch that high pitch way out in front of the plate and hit it in the air to his pull side. Whether Howard is able to do that against big league velocity is tough to predict, but he has promising feel to hit and an advance approach for a cold weather hitter, as well as perhaps the best defensive footwork in the entire class. He projects as an everday big league shortstop.",,
"Adbert Alzolay","CHC","RHP",,,6,,"45+",2020,,"25.3694444","6' 0""","180","R","R",2012,"J2","CHC",10000,"Venezuela","Alzolay has had health and durability issues for three consecutive years. He was given extended rest and had his pitch counts limited late in the summer of 2017 before he was shut down in August, then he had a PRP injection in 2018 after he was diagnosed with a lat strain, and had biceps inflammation in 2019. It's the lone reason he's not on the top 100. He has this system's best two-pitch mix, a fastball/power curveball combo that would pretty cleanly profile in the back of the bullpen if the Cubs want to move him there for health reasons. He threw his changeup much more during his 2019 big league time than I would have guessed. He has feel for creating movement on it but not for locating it competitively. He has mid-rotation upside assuming good health and a little more changeup refinement, which is reasonable to hope for because he's lost reps to all these injuries.","hnS3Oz08Xc4","17859"
"Cole Roederer","CHC","LF","A",,7,,"45",2022,,"20.8055555","6' 0""","175","L","L",2018,"Draft","CHC",1200000,"Hart HS (CA)","As a high school underclassman, Roederer looked like a hit-first tweener outfielder. He added a bunch of good weight and strength and had significantly more raw power when he arrived in the AZL after signing, and had already begun trading a little bit of contact for significantly more game power. He skipped the Northwest League, went right to full season ball, and didn't perform statistically, but I'm not moving off of him at all. Roederer creates a lot of power in a short amount of space and I'm still bullish about him hitting for a mix of contact and power. If he can stay in center field, he'll be an everyday player, but I think he's more likely to end up in left. Even if that's the case, I think he'll be the larger half of a platoon pretty easily, and I also think he has a shot to outhit my projection and just profile everyday in left, too.","ohp5N8Ys_Ik","sa3008184"
"Chase Strumpf","CHC","2B","A",,8,,"40+",2021,,"22.35","6' 1""","191","R","R",2019,"Draft","CHC",1050300,"UCLA","Strumpf has pretty average tools, but he had several years of strong statistical performance in a big conference and plays a premium position. The compact nature of his swing increases the likelihood that he's going to hit, and he also has sneaky strength in his hands that should help him produce at least doubles power. His median outcome is probably that of a second division regular or utility man; if he's better than that it'll be because he hit more than anticipated.","DLf_mW0oZQs","sa3010845"
"Ryan Jensen","CHC","RHP","A-",,9,,"40+",2022,,"22.6416666","6' 0""","180","R","R",2019,"Draft","CHC",2000000,"Fresno State","Jensen had one of the best arms in the 2019 Draft. Strong and athletic despite being quite small, he holds 94-97 deep into games and has touched 100. He can make his fastball ride or tail, and he uses it very frequently. His secondaries are not as nasty, but they're workable and flash average right now. There's a lot pointing to a relief role here because of the size, delivery (Jensen's arm action is very long), and the reality that two pitches need to develop for him to start, but the fastball gives him a chance to be a high-leverage or multi-inning reliever.","oQKQsrt6oL0","sa3011496"
"Kohl Franklin","CHC","RHP","A",,10,,"40+",2023,,"20.8472222","6' 4""","190","R","R",2018,"Draft","CHC",540000,"Broken Arrow HS (OK)","Franklin was only throwing in the low-80s as a high school junior, but his velocity spiked later in the year and he threw much harder the following season. He now sits in the low-90s and was up to 95 last year while working with an above-average changeup. His breaking ball has good raw spin but, visually, is average. He's a bulldog who goes right at hitters, has good on-mound makeup, and is among the likelier rotation pieces in this system.",,"sa3008335"
"Burl Carraway","CHC","LHP",,,11,,"40+",2020,,"21.1305555","6' 0""","173","L","L",2020,"Draft","CHC",,"Dallas Baptist","Power mid-90's heater and plus-plus curveball out of the bullpen, both plus. This is the next power arm off the Dallas Baptist assembly line. High slot, big effort (Jose Alvarado delivery comp), smaller frame, kind if wild, so more of a one-inning leverage reliever.",,
"Cory Abbott","CHC","RHP",,,12,,"40+",2020,,"24.8166666","6' 2""","210","R","R",2017,"Draft","CHC",901900,"Loyola Marymount","Abbott was a draft spring popup guy. He struck out 100 more hitters as a junior than he did as a sophomore in just 28 more innings. His scouting reports still lead with affection for his command rather than his improved stuff, but there was thought that the stuff might continue to blossom in pro ball. Instead it has plateaued, and Abbott now projects as a low-variance fifth starter. His fastball plays best when it's moving most, which for him is when he's locating it just off the plate to his arm side; it is hittable everywhere else, including up above the zone. He can locate there, but Abbott is limited in where he can attack with the heater, which also makes it harder for him to set up his breaking balls, the best of which is an above-average curveball. I have him in as a fifth starter but he might work efficiently enough and accrue enough innings volume to outpace the 1-1.5 annual WAR I associate with that role.",,"sa3005305"
"Christopher Morel","CHC","3B",,,13,,"40+",2022,,"21.0555555","6' 0""","140","R","R",2015,"J2","CHC",800000,"Dominican Republic","Morel has visible on-field leadership qualities and is one of the better athletes in this system. He's wiry and projectable but already strong, and he has present pull power that projects to plus. He also has plenty of arm for the left side of the infield and has already moved from shortstop to third as he's filled out, but there's a non-zero chance he ends up in the outfield, where he's taken some flies in practice and looked rather comfortable. Morel has some pitch recognition issues that lead to strikeouts. Those create uncertainty about his profile, but they'll be more acceptable if he can stay on the dirt. He could be an athletic, power-hitting corner bat in the big leagues so long as he hits a little bit.",,"sa3003171"
"Ronnier Quintero","CHC","C",,,14,,"40",2025,,"17.6694444","6' 0""","175","L","R",2019,"J2","CHC",2900000,"Venezuela","There's been a seven-figure Venezuelan catcher near the top of every international class dating back through 2016, and Quintero was last year's model. He's a little less polished on defense than most of his predecessors but has a plus arm and mature, strength-driven power. He has everyday offensive ability if he can remain lithe and mobile enough to catch.","iXDTfB6Q7vc",
"Kevin Made","CHC","SS",,,15,,"40",2025,,"17.8444444","6' 1""","160","R","R",2019,"J2","CHC",1500000,"Dominican Republic","Made is a familiar type, the pure projection shortstop with actions and contact skills that you can dream on. During workouts in Arizona he showed average bat speed and his swing was geared for line drives, and he has a very lean, angular build with underlying musculature that suggests he's going to get much stronger into his mid-20s. He also showed a very rotational, whippy swing with natural, pull-side loft, so he might hit for power without any sort of swing alteration. At this point, though, we just have no idea how he'll look against live, pro-quality pitching because the Cubs didn't do a traditional instructs that would have enabled him to show us.",,
"Riley Thompson","CHC","RHP","A",,16,,"40",2022,,"24.0138888","6' 3""","205","R","R",2018,"Draft","CHC",200000,"Louisville","Thompson had great stuff while at Louisville but only threw about 50 career innings and he struggled to throw strikes during that time. He not only made control/command strides in 2019, but also developed a better changeup. His fastball/curveball combination (both have vertically-oriented shape) make him a likely bullpen piece even if there's a strike-throwing regression. If not, he'll be a 45 FV on next year's list.",,"sa876287"
"Ethan Hearn","CHC","C","R",,17,,"40",2024,,"19.8722222","5' 11""","200","L","R",2019,"Draft","CHC",950000,"Mobile Christian HS (AL)","Hearn is a strong, athletic catcher who has a chance to be an above-average defender with a plus arm (he needs to be more accurate, though) and above average raw power, but he needs a reworked swing and may never be more than a 40 bat.",,"sa3011502"
"Michael McAvene","CHC","RHP","A-",,18,,"40",2022,,"22.8888888","6' 3""","210","R","R",2019,"Draft","CHC",500000,"Louisville","McAvene's velo popped late during his draft year and was up to 100 during Louisville's regionals, and he flashed a tight, mid-80s slider. If that holds, he could be a set-up type. If not, it's more middle relief.",,"sa3011727"
"Hunter Bigge","CHC","RHP","A-",,19,,"40",2022,,"22.0888888","6' 0""","205","R","R",2019,"Draft","CHC",,"Harvard","Bigge looks like a 2019 12th round steal. He was sitting in the upper-80s and low-90s at Harvard, then spiked into the 92-95 range out of the bullpen after the draft. By the fall, he was touching at least 97 and I have one source who had him up to 99. He now looks like a quick-moving bullpen weapon, but obviously it'd be better to see him do it for a whole season.",,"sa3011341"
"Fabian Pertuz","CHC","3B","R",,20,,"40",2023,,"19.8694444","6' 0""","156","R","R",2017,"J2","CHC",300000,"Colombia","A small-ish infielder with above-average bat speed, Pertuz has good pull-side pop for his age. His swing is geared for contact at the top of the strike zone, which is where more and more pitchers are starting to work. He's a bit over-aggressive and needs to get stronger as he ages, but there are power-hitting components here if he can, as well as a good shot to stay on the infield at either second or third base.",,"sa3005500"
"Yohendrick Pinango","CHC","CF","R",,21,,"40",2024,,"18.1861111","5' 11""","185","L","L",2018,"J2","CHC",400000,"Venezuela","Pinango has pretty electric bat speed and runs well enough to stay in center field. He made a high-end rate of contact and walked more than he struck out in the DSL last year but hit for almost no power despite his bat speed. Pinango takes some pretty erratic swings and often loses his balance through contact because of how hard he's rotating, but it didn't hurt his ability to make contact last year and lots of guys, Cody Belligner most notably, have successfully dialed down their swings without compromising their power output. Pinango isn't that kind of athlete (who is?) nor is his frame all that projectable. He's pretty curvaceous for an 18-year-old, so I'm a little bearish on his ultimate power projection and think there's some risk he moves to a corner despite his present speed. If you feel better about him staying in center then he belongs up between Made and Hearn.",,"sa3009539"
"Zack Short","CHC","SS",,,22,,"40",2020,,"25.125","5' 10""","175","R","R",2016,"Draft","CHC",80000,"Sacred Heart","Short struck out at an alarming rate last year, much more than he ever has before (32% last year, 21% career). Some of that may have been due to a smaller sample of at-bats, as he missed much of 2019 with a hand injury. He has good ball/strike recognition, hits the ball in the air consistently, and is a capable defender all over the infield, including at short. He's now on the Cubs 40-man and I think he's a big league ready utility man.",,"sa873287"
"Trent Giambrone","CHC","2B","AAA",,23,,"40",2020,,"26.5666666","5' 8""","175","R","R",2016,"Draft","CHC",,"Delta State","Much like Short, I have Giambrone projected as a versatile bench bat (I don't like him at shortstop, but 2B/3B/OF is a fit) who strikes out a lot but hits for power when he makes contact. His athletic, contemporary, full-body swing makes efficient use of his little frame, and he's able to tap into in-game pull power because of it.",,"sa658813"
"Pedro Martinez","CHC","2B","A-",,24,,"40",2023,,"19.4611111","5' 11""","165","S","R",2017,"J2","CHC",,"Venezuela","Of all the 18-, 19- and 20-year-old hitters in this system, Martinez is the one in whose bat-to-ball skills scouts have the most confidence. Where he fits on defense is far less certain. He's already physically maxed out and has fairly limited range at second base, and his lateral agility might be a problem if he keeps getting bigger and slows down. For now, I think his hands and actions are good enough to continue projecting him as a shift-aided second baseman. If so, then he at least projects as a role player similar to Short and Giambrone, albeit one with a little less defensive versatility. Martinez can contact pitches at the top of the zone and go down and lift balls at the bottom. His righty swing is a little more linear and line drive-y than the left. He needs to be a little more selective and target pitches he can drive, but he has promising offensive ability for a teenager.",,"sa3005795"
"Luis Verdugo","CHC","SS","R",,25,,"40",2023,,"19.7555555","6' 0""","172","R","R",2017,"J2","CHC",1200000,"Mexico","Verdugo signed for $1 million out of Mexico in 2017. He can really pick it at shortstop and could be plus there at maturity. His hands, range, actions, footwork, and athleticism are all superlative, especially considering his age. He added a lot of muscle during his first 18 months in pro ball and now has average pull power, but I think his swing's length will make him whiff-prone at the upper levels. He only struck out 17% of the time last year, but he was repeating the AZL. The glove and suddenly relevant power are real carrying tools, and even if Verdugo maxes out as a 4 bat, he probably plays some kind of big league role.","ZPyMtGwBmk4","sa3006888"
"Keegan Thompson","CHC","RHP",,,26,,"40",2020,,"25.3361111","6' 0""","193","R","R",2017,"Draft","CHC",511900,"Auburn","Thompson is a very stable fifth starter/swingman piece. He throws a lot of strikes with an average four-pitch mix, and misses in places where he can't get hurt when he's not locating exactly. He's going to have to pitch off of his two breaking balls very heavily because of his lack of velocity, but Thompson makes diverse use of his slider and curveball, both of which he can spot for strikes early in counts or use as a chase pitch. His ceiling is limited, but he is arguably ready to take a big league mound right now if the Cubs need a competent starter.",,"sa918851"
"Aramis Ademan","CHC","SS","A+",,27,,"40",2022,,"21.8361111","5' 11""","160","L","R",2015,"J2","CHC",2000000,"Dominican Republic","I struggled to decide what to do with Ademan. I, like many others, was smitten with his defensive acumen and precocious doubles power during his early days on the complex, but over the last couple seasons, he's gotten heavier and slower without adding any power. He was still young for Hi-A, but he didn't improve in his second year there, and he's in danger of just falling off the radar entirely if he doesn't start performing soon.","O6qGFx-xdpQ","sa917352"
"Benjamin Rodriguez","CHC","RHP","R",,28,,"40",2023,,"20.9638888","6' 1""","165","R","R",2016,"J2","CHC",,"Dominican Republic","Still a very young, lanky, good-framed prospect whose velocity has slowly climbed as he's physically matured, Rodriguez has gone from sitting 88-92 to living in the 90-94 range over the last two seasons. His breaking ball, which had promising shape early on, has added more power and become more slider-y during that time. He's athletic enough to project on his command and changeup to the point that he has a realistic chance of fitting in a rotation eventually.","2H8uOJ3-xes","sa3004962"
"Richard Gallardo","CHC","RHP","A-",,29,,"40",2023,,"18.8555555","6' 1""","187","R","R",2018,"J2","CHC",1000000,"Venezuela","Gallardo signed for an even $1 million in July and was, in our opinion, the most well-rounded pitcher in his IFA class. He's really loose, flexible, and athletic, and has some physical projection. He sat 89-93 at the time and he's plateaued there. Scouts consider him a better bet to start than a lot of the other arms in this system, but don't think he has much of a ceiling.","j7EwIoPixuw","sa3009990"
"Yovanny Cruz","CHC","RHP","A+",,30,,"40",2022,,"20.8916666","6' 1""","190","R","R",2016,"J2","CHC",,"Dominican Republic","Cruz is a sinker/changeup prospect in a world where four seam/breaking ball prospects are increasingly desired, but he's already sitting 92-96 and the change projects to plus. He lacks any modicum of physical projection and his control backed up badly last year amid some injury issues, but I think his stuff will play in relief even if that stuff doesn't improve.","Rb4MHQ3uMCk","sa3002951"
"Rafael Morel","CHC","SS","R",,31,,"40",2024,,"18.6444444","5' 11""","165","R","R",2018,"J2","CHC",850000,"Dominican Republic","He's not quite as explosive as his brother, but this Morel is faster and his slightly smaller frame gives him a better chance of staying at shortstop long-term. It also means he has limited, frame-based power projection and that a path toward regular playing time runs solely through the hit tool, but Morel's feel for contact is pretty advanced and he has a non-zero chance to profile. I think it's more likely he ends up in a utility role.",,"sa3009534"
