Name,Org,Pos,Current Level,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video,playerId
"Corbin Carroll","ARI","CF","A+",20,1,,"60",2023,"Med","20.7888888","5' 10""","165","L","L",2019,"Draft","ARI",3745500,"Lakeside HS (WA)","Carroll's 2020 Instructional League performance continued to fortify the notion that he is among the most skilled and advanced 20-year-olds in all of the minor leagues. His at-bats have a big league veteran quality, and this, combined with his constant energy and verve, make him a very dangerous leadoff hitter prospect. Though not likely to hit for significant over-the-fence power, mostly due to his approach rather than a lack of strength, Carroll whistles balls into the gaps and down both baselines, then kicks it into top gear very quickly and punishes outfielders slow to corral the ball by turning their lackadaisical fielding into extra bases. So exceptional are Carroll's hand-eye coordination and barrel accuracy, especially for his age, that he now has among the best hit tool projections in the minors. It's a skillset very similar to Brett Gardner's, except Carroll can play center field. There are players this age with a higher ceiling because of their potential power production, but Carroll is a very high-floor prospect who I expect will produce at an All-Star level for much of his career. <em>(Alternate site, Fall Instructional League)</em>","sUghxoNDJ4g","sa3010593"
"Kristian Robinson","ARI","RF","A",42,2,,"55",2022,"High","20.4833333","6' 3""","210","R","R",2017,"J2","ARI",2550000,"Bahamas","The pandemic threw a monkey wrench into the cogs of the entire planet, let alone the developmental trajectory of baseball prospects. Kristian Robinson is among the most talented and prominent of those affected. After parts of three years in the warmth and security of the complex, it was time for Robinson to go to full-season ball and perform, and start to reinforce the tools- and frame-based excitement he had generated as a teenager. Instead Robinson spent another year sequestered in Scottsdale, too green to be part of the D-backs official alternate site group until he was added later in the summer. By the time Fall Instructional League rolled around and scouts were able to see him, Robinson looked rusty. He took poor at-bats and struck out a lot while missing hittable pitches in the zone.  But if any player, at any level were to struggle for a couple weeks, it'd easily be dismissed as a brief slump or tough-luck dry spell rather than a true regression, and that's even before considering the individual player's context. Robinson's 2020 was supposed to be about making adjustments to full-season pitching and getting his swing to a place that would allow for more in-game power. Instead it meant an entire year away from competitive baseball, a whole year away from home, an unspoken indication from the org that he had been passed by Corbin Carroll (who was invited to the alt site group immediately), and more monotonous developmental ball during instructs. 
Let's not lose sight of the foundation here: Robinson is built like a young Larry Fitzgerald, and he entered pro ball without the same kind of performance track record as most of his Dominican peers but still received the fourth-largest bonus in his signing class because his tools are so huge. In 2019, he hit 50% of his balls in play with an exit velo of 95 mph or more, which is up in Joey Gallo/Nelson Cruz territory. It is not normal to see a person like this on a baseball field, and Robinson has uncommon potential because of it. The questions that need answering here are the same as last year: Can Kristian turn a suitable swing foundation into one with impact, and can he perform against more advanced pitching? He'll hit 35-plus bombs every year if he can. For now, he fits in the Top 100 continuum near the 55/50 FV line, along with several other prospects of extreme variance and ceiling. <em>(Alternate site, Fall Instructional League)</em>","U24cWc3kkog","sa3006884"
"Alek Thomas","ARI","LF","AA",44,3,,"55",2022,"Med","21.1027777","5' 11""","175","L","L",2018,"Draft","ARI",1200000,"Mount Carmel HS (IL)","There is a difference between a prospect being short and a prospect being small. Alek Thomas' frame reads as Lilliputian on paper, but in reality, he's quite strong and has one of the more athletic swings in all of the minors. Since he was drafted, Thomas' swing has evolved to mirror the intensity of prospect-era Cody Bellinger's, and sometimes Thomas swings so hard that he looks like he's going to corkscrew himself into the ground. His leg kick is a little bigger and slower now than it was when he was an amateur and first-year pro, and his stride is longer, which might help him avoid cutting down at the ball so much. The change to his swing and his approach -- Thomas was once an all-fields spray sort of hitter but was trying to pull the ball constantly during my instructs look, though maybe he was just bored -- could allow for more in-game power. 
The foundation of Thomas' prospectdom was his advanced baseball acumen and feel for contact, both of which were surprising for a cold weather prospect. But he was good enough to play in several upper-class events as an underclassman during his amateur career, and he performed in those consistently. He tracks pitches well and moves the bat head around the zone, and those underlying skills as well as Thomas' athleticism and (unlike Bellinger) shorter levers help enable him to take these new, huge hacks without striking out a ton. Some underlying 2019 metrics indicate Thomas indeed needed a swing tweak to unlock some in-game pop. He averaged just shy of 90 mph off the bat in 2019 and about 48% of his balls in play came off at 95 mph or above, but he ran a groundball rate of nearly 55% and some proprietary, Statcast-y expected stats I've sourced indicate he overperformed on paper in 2019. But, as I tend to do, I'm betting on a) athleticism and b) feel to hit, both of which Thomas has shown for nearly a half-decade now. <em>(Alternate site, Fall Instructional League)</em>","Bo9Wh47-Wm4","sa3006892"
"Geraldo Perdomo","ARI","SS","AA",69,4,,"50",2021,"Med","21.6194444","6' 3""","184","S","R",2016,"J2","ARI",70000,"Dominican Republic","The 50 FV tier is littered with rock solid, up-the-middle defenders who have enough offensive ability to play every day, even if they're not impact hitters. A big part of how they're layered throughout the tier is based on which ones I think are more likely to grow into some pop, which is why the 21-year-old Perdomo is near the top. Suitable range bolstered by his instincts, and plus feet, actions, and arm utility make him a potential plus defender at short. His feel for the strike zone and bat-to-ball ability from the left side of the plate (his right-handed swing is bad) will be sufficient for low-end everyday duty, but relevant power might be coming. Perdomo's exit velos climbed throughout 2019. He averaged about 80 mph off the bat at Low-A, then about 82 mph after his promotion to Hi-A, and finally averaged 87 mph during a limited Fall League sample. His body has become more mature, and his left-handed swing has become more explosive and now features an overhead, helicopter finish similar to Miguel Andújar's even though Perdomo's physicality really hasn't changed at all. There's still some room for improvement as it relates to his lower half usage in the swing, and it's possible Perdomo scraps hitting right-handed altogether at some point. The skills/instincts foundation here is solid enough to project Perdomo as a low-end regular, and the burgeoning physical ability means he's begun to look like more than that. <em>(Alternate site)</em>","wS1NAke5r2E","22799"
"Slade Cecconi","ARI","SP","A+",109,5,,"50",2024,"Med","21.9472222","6' 4""","220","R","R",2020,"Draft","ARI",2384900,"Miami","Cecconi was sitting 94-97 in the summer before his senior year of high school, then missed most of the following spring with an oblique issue. He came back just before the draft, sat in the low-90s, and his stock couldn't recover, so he went to school. Over two years at Miami (he was a draft-eligible sophomore), his arm strength returned, and Cecconi was once again living in the mid-90s while incorporating a slider with variable shape (it has very nasty two-plane break when it's well-located), and a lesser (but viable) change and cutter during the very brief 2020 college season. Either time or pro development unlocked yet nastier stuff during Cecconi's summer and Fall instructs outings. Sources from both inside and outside Arizona's org saw Cecconi sitting 94-96 and touching 98 with two breaking balls that were more-consistent looking than they were when he was in college; he had feel for both of them. A prospect who looked like that likely would have gone somewhere between picks 10 and 15 rather than in the sandwich round. <em>(Alternate site, Fall Instructional League)</em>",,"sa3014739"
"Corbin Martin","ARI","SP","AAA",114,6,,"50",2021,"Med","25.4361111","6' 2""","200","R","R",2017,"Draft","HOU",1000000,"Texas A&M","TrackMan-focused teams were all on Martin the summer after his sophomore year, as he showed three data-friendly plus pitches and starter traits while he closed games on Cape Cod. Due to a deep veteran staff at Texas A&M and his own inconsistency, Martin only really pitched for part of one season as a starter while he was in college. A lot of teams thought he was just going to be a reliever. The Astros popped him in the second round of the 2017 draft, hoping to tease out the traits they saw on the Cape, and in the two years he was in the org, they did it. Martin was a top 100 prospect before his elbow blew out in June of 2019, and he was included as part of the trade for Zack Greinke during his rehab.
Healthy Martin sits in the mid-90s, mixes in a hard, upper-80s slider, has an above-average power changeup, a more vertically-oriented curveball, and has at least average command. The timing of his surgery made it hard for him to return during the 2020 regular season, and instead he pitched toward the end of the alt site run and during instructs, sitting 92-95 in those outings. That's a shade beneath where he was pre-injury, when Martin sat 93-96 and was touching 98, and even at that velocity it was only playing like an average pitch. Folks in baseball consider Martin the sort of cat who's going to get the most out of himself, and with a return to his normal velocity, I think that will be a 2 WAR starter. <em>(Alternate site, Fall Instructional League)</em>","BAl3Ndom_Es","19884"
"Blake Walston","ARI","SP","A",,7,,"45+",2024,"High","19.9361111","6' 4""","175","L","L",2019,"Draft","ARI",2450000,"New Hanover HS (NC)","Walston was a young for his draft class pop-up arm who made a rapid ascent up team boards during his senior spring. He was ultra projectable, an above average athlete, and already had a plus curveball. He also had feel for a changeup and command, and his fastball has life that enables it to compete for swings and misses in the zone even though it isn't all that hard yet. He was up to 94 in the 2019 AZL after he signed and was the same at the 2020 alternate site, sitting 90-92. Then Walston came out of the gate throwing harder during instructs before his velocity backed off into the low-90s again. Had he held that kind of velo throughout the Fall, Waltson would be on the Top 100 list. 
How Walston develops physically, and how those gains counterbalance the coming full-season workload, will dictate when he rises and how much. But he's really just consistent, impact velocity away from being a very good pitching prospect, and velocity is the thing the industry is becoming the best at developing. Walston's secondary/command foundation gives him a chance to end up with three plus pitches and command. He's as risky as any teenage pitching prospect, perhaps riskier when you consider the velocity fluctuations he has now shown since high school. One scout's upward trajectory is another's recency bias. <em>(Alternate site, Fall Instructional League)</em>","en2HeqBMVS4","sa3011814"
"Drey Jameson","ARI","SP","A+",,8,,"45",2022,"High","23.8","6' 0""","165","R","R",2019,"Draft","ARI",1400000,"Ball State","Jameson carved up Stanford in his first start of the 2019 season in front of a huge contingent of scouts and was immediately on the Day One map as a draft-eligible sophomore. His high-maintenance delivery is hard to repeat, but it also makes things awkward for hitters, who don't typically see this kind of arm slot/release point. Even though it has changed a little bit in pro ball (Jameson's weight sits on his rear leg for longer, his knee bend is deeper now than before, and he lands more open than he did in college), it's still a tough look for hitters, especially righties, who are often frozen by his breaking stuff. Jameson was consistently into the upper-90s during 2020 instructs, and he manipulates the shape of two good breaking balls and flashes an occasional plus changeup. The delivery may make it hard for him to start, and Jameson has a skinny, atypical frame. Some teams think he'll end up in relief, but it may be in a multi-inning or high-leverage role, and he's held velo deep into games as a starter, so he has a shot to stick. <em>(Fall Instructional League)</em>","Npwp2kmfTQI","sa3011652"
"Bryce Jarvis","ARI","SP","A+",,9,,"45",2024,"Low","23.4416666","6' 2""","195","L","R",2020,"Draft","ARI",2650000,"Duke","In 2019, Jarvis was 88-92 with an average breaker, an above-average changeup, and good feel to pitch. In 2020, his velo climbed into the 93-94 area without sacrificing any command and his changeup was consistently plus. From a pitch movement demarcation standpoint, Jarvis does things a lot of progressive teams really like, and his slider is likely to perform above its raw grade because of how well it's located. His changeup will need to be located as consistently to be an impact pitch. He profiles as a fourth starter based on 2020 looks, but the industry can't be sure he'll hold this new velo over an entire campaign. He held it through D-backs alt site work, though, averaging 93-94 there and touching 97, though his command was not as good and his arm action looked longer. <em>(Alternate site, Fall Instructional League)</em>",,"sa3014437"
"Pavin Smith","ARI","1B","MLB",,10,,"45",2021,"Low","25.3305555","6' 2""","210","L","L",2017,"Draft","ARI",5016300,"Virginia","Smith has had elite strikeout-to-walk ratios dating back to college, but lacks the raw power and lift necessary to profile as an everyday first baseman. Starting in 2019, his body and mobility improved, which made him more playable in both outfield corners, and Smith had a strong offensive season in the Southern League, which is tough on hitters. He now projects as the larger half of a first base/corner outfield platoon. <em>(Alternate site, MLB)</em>","Jn6TUsdpXpc","19892"
