Name,Org,Pos,Current Level,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video,playerId
"Nolan Jones","CLE","LF","AAA",51,1,,"50",2021,"Med","23.0777777","6' 4""","220","L","R",2016,"Draft","CLE",2250000,"Holy Ghost Prep HS (PA)","A high school shortstop who has almost exclusively been a third baseman in pro ball, Jones played first base and both outfield corners during Fall instructs. Defensive versatility is valuable on its own, and this was also a logical trial given Cleveland's situation at the corner spots. Carlos Santana has departed, the club's outfield was below replacement level in 2020, and one of the better hitters on the planet is already the club's third sacker. But regardless of the circumstance, there is a contingent of scouts who think Jones has already outgrown third base. He's stretched two additional (listed) inches since high school and now stands in at a long-legged 6-foot-4. Though his ridiculous arm enables him to make some tough plays, Jones' size has an impact on his defensive footwork and mobility. 
But ultimately, it doesn't really matter where Jones plays, because he has a special offensive skill set that will likely profile anywhere. Not only does he have big raw power, but Jones has perhaps the best strike zone discipline in the entire minor leagues. He ran a 20% walk rate across a 100-game sample as a 21-year-old at Hi-A, then posted a 14.7% rate at Double-A (he had turned 22 by then) to wrap up 2019. Jones has the highest walk rate (17.9%) the last two years among minor leaguers who have reached at least Double-A, and there are only five other hitters his age or younger who are within three percentage points of him. That patience combined with high-end raw power (he has the fourth-highest max exit velo among prospects on The Board) that Jones hasn't yet totally tapped into should enable him to be a cleanup-hitting force. 
There's some platoon-y, strikeout risk here. Jones struck out a lot his short Double-A trial and then in the 2019 Arizona Fall League. He's not good against left-handed pitching and will need to be dropped in the lineup against lefties, and sometimes come off the bench. But again, Jones has elite feel for the zone and huge power. His skillset is a scaled down version of Adam Dunn's or Joey Gallo's, and quite similar to Pat Burrell's (other than the handedness). <em>(Alternate site, Fall Instructional League)</em>","S1tP3qEVSW8","sa917941"
"Triston McKenzie","CLE","SP","AAA",58,2,,"50",2021,"Med","23.8416666","6' 5""","165","R","R",2015,"Draft","CLE",2300000,"Royal Palm Beach HS (FL)","McKenzie's big league debut was his first competitive game since 2018 due to multiple injuries (he missed the spring of 2018 with upper back issues, then did not pitch in 2019 due to lat and pec strains) and the global pandemic. Not only was he healthy, but he was throwing harder, at least for a little while. His fastball sat in the 90-93 range in 2018 and was 90-94 this spring as he prepared for the season. Then McKenzie was living in the 93-96 range in his first start and leaned on the fastball in big spots, often shaking off Roberto Pérez to get to it. Over the next few weeks, McKenzie's velocity dropped in each subsequent start before it spiked again in a long relief role at the very end of the season. You could argue the injuries and fluctuating velocity are indications that the long-held industry apprehension regarding McKenzie's durability has turned out to be correct. But it also would have been unreasonable to expect any pitcher to hold their velocity as they got deeper into their first extended action in quite a while. The action on McKenzie's fastball also gives it some margin for error, velo-wise. And both his slider and changeup have evolved to complement the fastball/curveball combo that had headlined his arsenal as a younger prospect. Even though it's still unclear exactly where his fastball velocity band will sit during the course of a whole season, I think McKenzie has the necessary other components to pitch in the middle of a rotation. <em>(Alternate site, MLB)</em>","SaiUEE5AOzQ","18000"
"George Valera","CLE","RF","A+",64,3,,"50",2022,"High","20.5611111","6' 0""","190","L","L",2017,"J2","CLE",1300000,"Dominican Republic","A broken hamate and the pandemic have limited the performance sample by which to evaluate Valera. Since signing in 2017, he's only played a total of 58 affiliated games and punched out in nearly 30% of his plate appearances. But let's remember that he was one of the youngest players in the 2018 New York-Penn League (typically a league for college players -- Valera was 18) season during which most of the strikeouts were accrued, and instead shift our focus to those who have seen Valera on the Arizona backfields, where he has easily spent the most time since signing. 
There, including in the Fall of 2020, Valera has the best combination of feel for contact and power among his peers in this system. Among the other teenagers, Valera looks like a jazz bassist jamming with a group of teenagers who taught themselves the guitar using Blink-182 tabs. He has great in-the-box rhythm and timing, unloading on pitches with veteran anticipation. When Valera's curt, all-fields uppercut swing connects just right, you'd swear you were watching a young Robinson Canó, and like Canó, Valera is going to hit some emphatic, picturesque dingers. While his swinging style will likely always cause him to whiff more than average, he has the most potent hit/power combination in this system and there are scouts who think he should be ranked first in the org. Because he has so little actual pro experience, he is likely to play a corner outfield spot -- I liked Valera's defensive instincts enough to keep him alive in center field on last year's list, but folks who saw him this Fall only watched him in right, so center seems to less likely to me now --and due to his track record of swinging and missing, other scouts think he should slide behind the hit-first middle infielders ranked a few spots behind him here. It's very important for Valera to have a full, healthy 2021 since he's part of huge contingent of prospects who need to be added to the 40-man next offseason. <em>(Alternate site, Fall Instructional League)</em>","kGbEJq13Uzw","sa3006872"
"Brayan Rocchio","CLE","SS","A+",79,4,,"50",2022,"Med","20.3944444","5' 10""","160","S","R",2017,"J2","CLE",125000,"Venezuela","There's been no change to Rocchio's evaluation since he neither played at the alternate site nor at instructs due to travel limitations going to and from Venezuela. I did update some of his tool grades based on continued discussion with scouts, including those who saw a bit of him before the March 2020 shutdown. Even though he's only 20, I consider Rocchio a high-probability everyday big leaguer by virtue of his advanced feel for contact and exceptional shortstop defense. So fundamentally sound is Rocchio that Cleveland was willing to give him some big league spring training reps each of the last two years, when he was still just a teenager with mostly backfield experience. He looked comfortable, both in the field and at the plate, in that handful of games. He has great range, hands, footwork, and just enough arm strength for the left side of the infield, since it's enabled by the quickness of his actions. Rocchio’s 2019 triple slash line at Mahoning Valley (.250/.310/.373) is not all that impressive at first glance, but it was enough for a 107 wRC+ at the level, and he was just 18. The physical development that might lead to a real breakout (and his ascension up the top 100) has not yet materialized, and because Rocchio is a smaller-framed young man, it may never come. But even if it doesn't, switch-hitting shortstops with bat-to-ball chops like this tend to play every day. <em>(At-home development)</em>","8RU-rUDZ2zw","sa3005898"
"Tyler Freeman","CLE","2B","AA",88,5,,"50",2022,"Low","22.0388888","6' 0""","170","R","R",2017,"Draft","CLE",816500,"Etiwanda HS (CA)","I slid Freeman behind Rocchio (he ranked ahead of him last year) based on scouts' looks at him this year, which indicated to them that he's likely to play second base long-term, rather than shortstop. Ultimately, the carrying tool here is Freeman's bat. He tracks pitches like a hawk tracks prey from a half mile in the sky and guides the bat head to them with rare consistency. For such a short-levered hitter, Freeman has great plate coverage. He's able to dive and get the bat head to pitches out away from him, and he's typically willing to hit the ball where it's pitched in a refreshing, 20th-century way. He had the 16th-lowest swinging strike rate in the minors in 2019, one of four Cleveland hitters hovering around the 4% mark. Though unlikely to hit for power (based both on his lack of present power and limited physical projection), a potential plus-plus hitter who plays the middle of the diamond is an everyday player. They may need a one-year stopgap, but Freeman is likely to get the first shot to replace Cesar Hernandez at second. <em>(Alternate site, Fall Instructional League)</em>","eOEmTzaPck0","sa3004755"
"Daniel Espino","CLE","SP","A",92,6,,"50",2022,"High","20.4166666","6' 2""","205","R","R",2019,"Draft","CLE",2500000,"Premier Academy HS (GA)","We still don't know whether Espino can hold his prodigious velocity for an entire season's worth of starter innings because the pandemic put a premature end to what would have been his first full slate. Instead he pitched manicured innings at the alternate site, then did some remote development before instructs, where Espino did not throw in games due to a minor shoulder injury. This comes after he was only allowed to throw one or two frames per outing for his first several pro appearances, then three to four for his final few -- Espino sat 94-97 and touched 99 with two plus breaking balls and starter's command during those. Whether he retains that level of heat over an entire season's worth of innings on regular rest (he was 92-97 in longer starts before the draft) we simply don't know, but there's no reason to think he is any more of an injury risk than other teenage pitchers unless you twist your brain into knots and conclude that his velocity is somehow a negative, or that he strength trains excessively. 
His arm action is atypical and quite long, similar to Madison Bumgarner's, but it works for Espino. If, like Bumgarner, Espino loses some velocity even before he reaches the majors, be it due to a pro workload or injury, I think he has a command-centric, four-pitch strike-thrower outcome. His changeup is much better than I gave it credit for last year, and realizing that during calls with scouts to prep for this list is why Espino is moving up a FV tier even tough he was kept at the alt site all year. He's an All-Star talent with a risky profile. <em>(Alternate site, at-home dev)</em>","zAx9kazFtDc","sa3011495"
"Bo Naylor","CLE","C","AA",113,7,,"50",2023,"High","21.2888888","6' 0""","205","L","R",2018,"Draft","CLE",2578138,"St. Joan of Arc HS (CAN)","Naylor is tracking like a power-hitting everyday catcher. Still just the age of a junior college player, he has thus far kept what scouts thought might be a high-maintenance body in check. In fact, Naylor looked as lean and twitchy as ever in the Fall. While remaining agile, he also showed he could produce on offense while dealing with the physical grind of catching, slashing .243/.313/.421 (good for a 110 wRC+) in the 2019 Midwest League while catching 80 games. 
His swing's a little grooved, but it is electric and produces big power for anyone, let alone a catcher. If he gets to most of it in games, and he has so far (he had strong amateur statistical performance, as well), there's plenty of room for him to profile even if he ends up as a 40 bat, which I think is possible considering the lack of barrel variability. If he performs against Hi-A pitching early in 2021 and reinforces confidence in his ability to hit, he'll move onto the Top 100. <em>(Alternate site, Fall Instructional League)</em>","4SxNI1qCt10","sa3008247"
"Aaron Bracho","CLE","2B","A+",,8,,"45+",2024,"Med","20.1138888","5' 11""","175","S","R",2017,"J2","CLE",1500000,"Venezuela","Like Valera, it's been tough to scout Bracho at an affiliate due to a combination of injuries and COVID. Except for a little bit of extended spring action, he missed all of 2018 with a broken arm and then lost a month of 2019 to an oblique injury. That has made it hard to evaluate his defense at length. I had him projected in left field last offseason but scouts who I spoke to regarding his Fall performance unanimously think I should keep him alive at second base, albeit as a below-average fielder there. I should note that several of those scouts came from orgs whose philosophy regarding infield defense is more inclusive than average. Regardless, it's fair to project on Bracho's defense because he hasn't had many pro reps at second base yet. 
What's important is that Bracho can really hit. He's stout and strong and hits balls much harder than is typical for someone with a frame this compact. He's patient and poised at the dish and clearly has an approach. He'll take giant hacks in hitter's counts and more measured ones when he's adjusting to a breaking ball or just trying to put a ball in play, though his swing looks a little long at times. His bat head can take a deeper path to the bottom of the zone but it's still usually on time because Bracho's levers are so short. He's quite polished for a hitter who won't turn 20 until near the start of the 2021 season. There's not a lot of body projection here despite Bracho's age. He's got a square, 5-foot-11-ish frame and is already physically mature. The lack of affiliated data here probably means the max exit velo listed for Bracho on The Board is less than he's capable of producing, and someone from outside the org told me they saw him hit a ball 450 feet over the batter's eye at the Reds place during a Fall game. I'd like to see him perform in more than 35 games to stick him in the Top 100, so for now consider Bracho a likely mid- or post-season addition with a profile similar to that of Shed Long and Nick Solak, both recent top 100 types. <em>(Alternate site, Fall Instructional League)</em>","KgDmgu7Ljlg","sa3010018"
"Gabriel Arias","CLE","SS","AAA",,9,,"45+",2021,"High","21.2722222","6' 1""","201","R","R",2016,"J2","SDP",1900000,"Venezuela","The splashiest name in the Mike Clevinger trade was Arias because a) he’s been known and hyped for longer and b) he has a closer proximity to the big leagues than the others who were acquired. Arias was part of San Diego’s huge 2016 international signing class, inking a deal worth just shy of $2 million. He quickly became the most promising of the young infielders the club signed that year and was pushed to full season ball late during his age-17 season, well out ahead of the others in his class. After a rough statistical 2018 as a very young player at Low-A Fort Wayne, Arias had a great 2019 on paper, hitting .302/.339/.470 as a 19-year-old at Hi-A Lake Elsinore. 
Arias looks like a stud at five o'clock when he's taking batting practice and infield, but his in-game swing decisions have been a problem, and were even during that statistically impressive 2019. The Padres threw every developmental trick in the book at him during the 2019-20 offseason, including virtual reality training, to try to get him to better identify balls from strikes, and chase less often. In a small spring sample, it appeared to be working -- Arias played some spring games in the place of Fernando Tatis Jr., who was one of several Padres to miss time with flu-like symptoms during the spring before baseball shut down. The importance of Arias' approach extends beyond his on base ability to his power production. His swing is grooved, making the parts of the zone where he can do real damage limited, so for him to get to his power in games he's not only going to have to recognize balls and strikes, but also learn what he can actually hit. It's possible this will occur, and Arias will be a star if it does, but I think an Orlando Arcia trajectory -- where there are growing pains and frustration amid flashes of spectacle -- is more likely. <em>(Alternate site, Fall Instructional League)</em>","bzG6c8ZDi_g","sa3004047"
"Lenny Torres","CLE","SP","A",,10,,"45",2023,"High","20.6388888","6' 2""","190","R","R",2018,"Draft","CLE",1350000,"Beacon HS (NY)","Torres threw just one in-game inning early during Instructional League, then did the rest of his Autumn work in bullpens on the side, which scouts did not have access to. So while I'd love to have found someone who saw his lone outing, I can't, meaning his report is the same as last year's. Torres checked a lot of amateur scouting boxes -- the body, athleticism, stuff, and makeup were all lauded -- and he was a model-friendly prospect due to his age, so while issues with fastball command caused some clubs to project him in relief, he was still a clear top two round talent. Perhaps Torres' fastball command is behind because as a cold-weather amateur prospect, he hasn't pitched all that much. He only threw around 40 innings during his senior spring, and bad suburban high school hitters in New York couldn't catch his fastball. As a result, Torres had little cause to use his changeup during varsity play -- some national evaluators would go whole starts without seeing it -- but it flashed 55 or 60 during his showcase summer and was easy to dream on. 
Perhaps the most striking aspect of Torres' post-draft performance was how regularly he located his slider down and to his glove side. He has mid-rotation components if you're willing to dream based on his athleticism, age, and geographic background, even coming off of a 2019 surgery that, combined with COVID, caused Torres to miss nearly two seasons. <em>(Fall Instructional League...sort of)</em>","oQt2oGijG8Q","sa3008329"
