Name,Org,Pos,Current Level,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video,playerId
"Francisco Alvarez","NYM","C","A+",29,1,,"55",2023,"High","19.5444444","5' 11""","220","R","R",2018,"J2","NYM",2700000,"Venezuela","Throughout the last year, there is no prospect about whom I have received more ""Hey, move that guy up your list"" feedback than Alvarez. Young catchers are notoriously slow to develop as they adjust to the physical and mental demands of the position, which often stymies their offensive production. But Alvarez's first pro season was statistically impressive. He only played in 42 games, but he hit .312/.407/.510 (mostly in the Appy League) while playing very good defense and appearing more svelte and conditioned than he had as an amateur. 
His swing (his front foot is down very early) could stand to be a little more athletic to take advantage of his movement skills, but he rotates hard anyway and his hitting posture enables him to lift pitches in various locations. The receiving, lateral mobility, and arm strength are all promising on the defensive side, too. Teen catchers are risky and often take forever to develop, but Alvarez's track record of hitting extends back to amateur play. I was low on Alvarez last year, and he and Luis Campusano are in a talent tier of their own beneath Rutschman among catchers on the top 100. <em>(Alternate site, Fall Instructional League)</em>","TG-p0lUDzpM","sa3010862"
"Ronny Mauricio","NYM","SS","A+",41,2,,"55",2023,"High","20.1694444","6' 3""","215","S","R",2017,"J2","NYM",2100000,"Dominican Republic","As an 18-year-old in 2019 full-season ball, Mauricio hit .283/.323/.381 before fading in August. He's begun to pack noticeable mass onto the frame that had made him such an exciting amateur, the kind of prospect who could carry 30 more pounds and add power without losing the agility to play shortstop. Even though he's clearly gotten stronger (he's still listed at a comical 166; I felt I had to manually adjusted a bunch of listed weights in this system), Mauricio simply doesn't have the pure explosiveness of someone like Marco Luciano or Bobby Witt Jr., and while he might continue to get bigger and stronger, and add power that way, I don't think he'll end up having thunderous raw. There's still a pathway to stardom here; Mauricio is a switch-hitting shortstop with pretty good feel for contact after all. He'll need to refine either his swing or approach to be an everyday player, and probably both to be an impact one. Because he's so young, there's time for that to happen. Even if he <em>only</em> ends up with an average hit/power combination, that's a really valuable everyday shortstop. <em>(Alternate site, Fall Instructional League)</em>","NvOA8y_cZGI","sa3006887"
"Matt Allan","NYM","SP","A+",96,3,,"50",2023,"High","20.1333333","6' 3""","210","R","R",2019,"Draft","NYM",2500000,"Seminole HS (FL)","The Mets put a lot of their 2019 draft eggs into a few high-upside baskets, and one of them was Matthew Allan, who had huge stuff in high school -- plus velocity, a plus breaking ball, and a plus changeup now and then -- but was often pretty wild. The Mets made a $2.5 million bet on him in the third round, one of several multi-million dollar bonuses they gave to high schoolers that year. It meant the Mets had to target signable seniors earlier than other teams, but that also meant they got the best ones. Allan signed, went to the GCL, and was 92-95 in his early work there. He cleaned up his frame (which I think gives him a better chance to repeat his delivery more consistently) and was parked well into the mid-90s at both the alt site and instructs. I've grown a little more skeptical of pitchers with rainbow breakers like Allan's, but if it turns out to be a problem, I think he has the feel for spin to quickly add a slider. His physical transformation is an indicator to me that he'll work to make that adjustment when asked. <em>(Alternate site, Fall Instructional League)</em> ",,"sa3011740"
"Mark Vientos","NYM","3B","AA",127,4,,"50",2022,"High","21.4833333","6' 4""","185","R","R",2017,"Draft","NYM",1500000,"American Heritage HS (FL)","Vientos arrived at the Mets' alternate site in September, then played during Fall Instructional League, before being signed by Escogido in the Dominican Winter League (which also rostered Wander Franco, Vlad Jr., and Julio Rodríguez); he did some pre-season training with the team but didn't play. He's undergone a few minor swing changes since entering pro ball, and the latest iteration features a wider stance and toned-down leg kick, and is a close bedfellow to Spencer Torkelson's swing. 
Long-levered, corner-only prospects like Vientos are extremely risky, and the way his strikeout and walk rates trended in 2019 -- combined with the possibility that he might outgrow third base -- has led to some industry trepidation regarding his inclusion on the Top 100. But I like that he's been able to make swing adjustments, and Vientos also put up an above-average statline in full-season ball as a teenager and has some of the most exciting, frame-based power projection in all the minors. He torched balls in 2019, averaging just over 91 mph off the bat and putting 47% of them in play at 95 mph or above, which, for context, is a 65 on the scale. And he still has room for another 20 pounds on the frame. Proprietary metrics sourced for this list indicate that even though he only slugged .411 in 2019, his expected SLG based on the quality of his contact was closer to .480. I've seen Vientos get on top of elevated fastballs and drive stuff the other way with authority in a way that's uncommon for a hitter with levers this long. He's quite risky, but is also a potential middle-of-the-order anchor. <em>(Alternate site, Fall Instructional League)</em>","ax1yE3rIWCs","sa3004720"
"Brett Baty","NYM","3B","A+",,5,,"45+",2023,"High","21.5611111","6' 3""","210","L","R",2019,"Draft","NYM",3900000,"Lake Travis HS (TX)","The gap created by the lack of a 2020 season makes it somewhat more difficult to evaluate a prospect like Baty, who was a full two years older than other, younger high schoolers picked in his draft. Because of his age and size, which portends an eventual move to first base in the eyes of many scouts on both the amateur and pro side, this is the type of prospect for whom statistical performance is rather important. In this case, we have very little of that. Baty showed advanced feel to hit as a prepster, then struck out a ton against age-appropriate Appy League pitching in 2019. He spent 2020 at the alternate site and instructs, then got some run during 2021 spring training. 
Not only has Baty kept his body in check but it's actually better now than it was in high school. It gives him a better chance of staying at third base for a while but he's just so huge that I still think he'll ultimately end up playing first base. Video analysis of Baty at the alt site and in 2021 spring training, as well as a scout source's in-person look during the fall, indicate this is a guy with limited barrel precision, and that most of his offensive output is going to come from his advanced feel for the strike zone and light tower power. It's hard to say someone is tracking like a three true outcomes type of hitter when there's almost no statistical evidence to support that, but that's indeed what the visual reports on Baty suggest we're about to see. <em>(Alternate site, Fall Instructional League)</em>","rXT1HH8Lgkw","sa3010869"
"Pete Crow-Armstrong","NYM","CF","A",,6,,"45",2025,"Med","19.1944444","6' 1""","180","L","L",2020,"Draft","NYM",3359000,"Harvard Westlake HS (CA)","Crow-Armstrong was one of the earliest 2020 high schoolers identified as a likely first round talent because of how well he performed against older showcase competition and SoCal varsity pitching. He had a rough pre-draft showcase summer, and while he rebounded later in 2019 with Team USA, he didn't have an extended opportunity to do so in 2020 because of the pandemic. Crow-Armstrong did, however, come out having added substantial muscle and some teams think he'll hit for more power than the industry would have projected based solely on 2019 looks. 
The headline skill here, though, is PCA's defense in center field, which was the best in the draft class regardless of demographic. It's fun just watching him shag balls during BP. Like Blake Rutherford before him, Crow-Armstrong has a pretty swing geared for low-ball contact. He's especially adept at lifting breaking balls in the air but may struggle against velocity at the letters. His potential Gold Glove-caliber center field defense makes him a likely big leaguer, but issues with top-of-zone velocity may prevent him from being a complete offensive player. <em>(Alternate site, Fall Instructional League)</em>","OKVGzkQFc7A","sa3014458"
"J.T. Ginn","NYM","SP","A",,7,,"45",2024,"High","22.0416666","6' 2""","200","R","R",2020,"Draft","NYM",2900000,"Mississippi State","Even though Ginn had some relief and age-related risk coming out of high school, he had an extra bit of negotiating leverage knowing he'd be an eligible sophomore just two years later. Though the Dodgers picked him in the back of round one, they couldn't get a deal done. His first year in Starkville, Ginn was up to 96, flashing the same plus slider he had in high school, and (more importantly) walked just 19 hitters in 86 innings. He entered his draft-eligible sophomore year (2020) in the middle of a crowded group of first-round college arms, but tore his UCL during his first start and needed Tommy John. He'll be back late in 2021 and projects as a No. 4 starter. <em>(TJ Rehab)</em>","cqH8dHsLdMQ","sa3014428"
"Khalil Lee","NYM","RF","AAA",,8,,"45",2021,"High","22.9416666","5' 10""","200","L","L",2016,"Draft","KCR",750000,"Flint Hill HS (VA)","Lee was a two-way high schooler with more of a leadoff skillset until he got yoked as a senior and showed up to the AZL with surprising power. He had four years of statistical success while with Kansas City but his in-game power output has come down as he's climbed. During Lee's 2019 season at Double-A, he hit .264/.363/.372 with a 12% walk rate and a whopping 53 steals. Then Lee spent 2020 at the Royals' alternate site and went to play winter ball in Puerto Rico for the second consecutive offseason. He didn't hit well there but did look pretty good in center field. In February, Lee was part of the Andrew Benintendi three-team deal and ended up with the Mets. 
He wasn't as good during his few defensive opportunities this spring and, as he always has, Lee continues to strike out a lot. He is a power-over-hit type of prospect who takes giant hacks, often falling to one knee as he finishes. His big, long, uppercut swing and huge bat speed generate considerable raw power but also lead to lots of strikeouts, and he can really only lift pitches in the bottom of the strike zone. He has the tools of a three true outcomes right fielder, one who potentially plays above-average corner outfield defense. Maybe some of this is due to how intense his swings are, but I get 40-grade run times on Lee from home to first, and I don't see him stealing a ton of bases or playing center field in the big leagues. The quality of his at-bats against elite competition has been mixed, at best. It's likely going to take a swing adjustment to get Lee hitting for relevant power in games. I think he could be the larger half of a corner platoon if either more of that pop shows up in games or Lee's approach eventually enables him to make more contact. <em>(Alternate site, Puerto Rican Winter League)</em>","55IWf1Fbris","19952"
"Alex Ramirez","NYM","CF","A",,9,,"40+",2025,"High","18.3944444","6' 3""","175","R","R",2019,"J2","NYM",2050000,"Dominican Republic","If there's a prospect in this system with a chance to absolutely explode over the next year, it's probably Ramirez, who readers should be cautious not to conflate with the Angels' Alexander Ramirez, who has a similar profile and <em>also</em> has a chance to blow up. Scouts' looks at the Mets' fall camp were variable because the last two weeks of the team's camp were cancelled due to positive COVID tests in the group and also played a lot of intrasquads. In Ramirez's case, he was seen a lot taking swings off high speed pitching machines. The combination of body projection, bat speed/rotation, and present pull-side power here is really exciting. This is a young man who might grow into huge raw power. He's a little narrow in the waist but has the room to add at least 30 pounds as he enters his mid-20s. With that could come 30-plus homer power. We still know next to nothing about the hit tool, which is the only thing keeping Ramirez out of the 45 FV tier right now. <em>(Fall Instructional League)</em>","8u-cBOEpR_M","sa3014695"
"Thomas Szapucki","NYM","MIRP","AAA",,10,,"40+",2021,"Med","24.9805555","6' 2""","220","R","L",2015,"Draft","NYM",375000,"Dwyer HS (FL)","Szapucki's velocity was down pretty considerably at the 2020 alternate site, more in the upper-80s and peaking in the 91-92 area. In his sole 2021 spring training inning, he sat 92-94, which is in line with his early-game velocities from 2019. We're talking about a 24-year-old who has never thrown more than 62 innings in a season and has had several bouts with injury, so it's increasingly likely Szapucki ends up pitching in relief. 
But we're also talking about a lefty with a plus curveball who has struck out more than a batter per inning when healthy, so there's still potential impact here. Even at its typical velocities, which are just below the big league average, Szapucki's fastball has garnered above-average rates of swing-and-miss in the minors (a 13% swinging strike rate on his fastball based on the 2019 minor league data I sourced) thanks in part to its flat angle. If he can continue to live in the 92-94 range like he has this spring, then Szapucki will end up with at least two above-average pitches and be a fine relief fit. If his changeup can actually develop, which still feels possible considering how many reps he has missed, then perhaps he can work in a multi-inning role or one of more significant leverage. That Szapucki is on the 40-man and yet was given just one in-game look before being optioned is perhaps not a great sign here, but it still feels like there's a middle relief floor with a chance for more impact than that at peak. <em>(Alternate site)</em>","aaIRseQiZNU","sa875054"
