Name,Org,Pos,Current Level,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video,playerId
"Adley Rutschman","BAL","C","AA",2,1,,"65",2021,"Med","23.3305555","6' 2""","220","S","R",2019,"Draft","BAL",8100000,"Oregon State","Rutschman is the total package, a physical monster who also has superlative baseball acumen and leadership qualities. From his sophomore season onward (and arguably starting in the Fall before that), he went wire-to-wire as the top prospect in his class, a complete player and the best draft prospect in half a decade. His entire profile is ideal. It's rare for ambidextrous swingers to have polished swings from both sides of the plate, and even more so to have two nearly identical, rhythmic swings that produce power. 
It's more atypical still for that type of hitter to be a great defender at a premium position. Rutschman has a pickpocket's sleight of hand and absolutely cons umpires into calling strikes on the edge of the zone, and resolute umpires end up hearing it from biased fans who are easier marks. Aside from two instances, all of my Rutschman pop times over three years of looks are between 1.86 and 1.95 seconds, comfortably plus times on throws often right on the bag. Rutschman has the physical tools to become the best catcher in baseball, provided he stays healthy (he had some shoulder/back stuff in college). He's also an ultra-competitive, attentive, and vocal team leader who shepherds pitchers with measured but intense encouragement. It fires up his teammates and feels like it comes from a real place, rather than something he's forcing. Aside from the questions that arose as teams scrutinized Rutschman's medicals with a magnifying glass before the draft (it was described to me as ""stuff consistent with catching and playing football""), he's a perfect prospect subject only to the risk and attrition that all catchers face. 
Because the 2020 minor league season was cancelled, we have no full-season looks nor data to alter or buttress this foundation, and Adley looked the same as ever in the Fall. I realize readers will have Matt Wieters flashbacks because Rutchsman's frame and switch-hitting, upright stance are dead ringers for Wieters', but this guy's blood courses through his veins at a much different temperature. <em>(Alternate site, Fall Instructional League)</em>","riXzQCIbfPw","sa3011643"
"Grayson Rodriguez","BAL","SP","AA",28,2,,"55",2023,"High","21.5527777","6' 5""","230","L","R",2018,"Draft","BAL",4300000,"Central Heights HS (TX)","After sitting 90-95 and touching 97 in 2019, Rodriguez's fastball averaged 95 at the alternate site. He has now been steadily improving since high school, when he was a big-framed, maxed-out, pitchability sort with average stuff. A physical transformation coincided with a senior spring breakthrough, which was then bettered by cogent repertoire work in pro ball. Rodriguez's changeup, which was an afterthought back in high school, has screwball action and has become very good, very quickly; it's now the main event. He's now tracking to have a four-pitch mix full of above-average pitches: a mid-90s fastball; a lateral, mid-80s slider; a two-plane, upper-70s curveball; and the low-80s change. His delivery isn't great -- there's a little bit of a head whack, and Rodriguez has a tightly-wound lower half -- but he's never been injured and has thrown an acceptable rate of strikes to this point. <em>(Alternate site, Fall Instructional League)</em>","XVnKhGydp9Y","sa3008130"
"DL Hall","BAL","MIRP","AA",83,3,,"50",2022,"High","22.7111111","6' 0""","195","L","L",2017,"Draft","BAL",3000000,"Valdosta HS (GA)","Ultra-competitive, athletic southpaws with this kind of stuff are very rare. Here's the list of lefty big league starters who throw harder than Hall, who averaged 94.9 mph on his fastball in 2019: Jesús Luzardo, Blake Snell. That's it. 
Because Hall's release is inconsistent, not only did his walk rate regress in 2019, but the quality of his secondary stuff was also less consistent than it was during his very dominant mid-summer stretch in 2018, when his changeup clearly took a leap. Both of his secondaries are often plus; Hall simply has a higher misfire rate than most big league starters. He's still just 21 and has All-Star upside if he starts locating better, which may not come until after he has a couple big league seasons under his belt. I have him projected as a multi-inning reliever. It's a role I think he'd thrive in immediately, one that can impact the ballclub (Hall's on-mound demeanor fits nicely in leveraged situations), provide him with enough in-game reps to try to hone starter's control, and give him a foundation of innings to make a starter leap if he does. <em>(Alternate site, Fall Instructional League)</em>
","uN2TRUVwjs4","sa3005282"
"Ryan Mountcastle","BAL","LF","MLB",94,4,,"50",2021,"Low","24.2972222","6' 3""","210","R","R",2015,"Draft","BAL",1300000,"Hagerty HS (FL)","Now that he's coming off about a month of hitting .333/.386/.492 in the big leagues, I feel a little more safe projecting Mountcastle as a 50 even though he's a free-swinging corner bat. He has great plate coverage and hits with power to all fields. His swing is gorgeous. He has a 4.5% career walk rate (it was about 7% in his small big league sample) and it's rare for DH/LF sorts to walk that little and be star-level performers. DH types with OBPs in the .310-.320 range typically max out in the 2-3 WAR range, which is where I expect Mountcastle to peak. But his contact quality is quite good, and the visual evaluation of the hit tool and the on-paper performance have been strong for several years, so the degree of confidence that Mountcastle will hit is relatively high for a prospect with plate discipline issues. There are Nick Castellanos similarities in Mountcastle's profile, frame, and swing aesthetic, and Castellanos was a back loaded 50. <em>(Alternate site, MLB)</em>","Mf-E2t1dIxo","18373"
"Heston Kjerstad","BAL","RF",,103,5,,"50",2024,"Med","22.3138888","6' 3""","215","S","R",2020,"Draft","BAL",5200000,"Arkansas","Kjerstad performed against the best pitching in the country since the moment he set foot in Fayetteville, and in 150 career games with Arkansas hit .343/.421/.590, including a white hot .448/.513/.791 in 2020, during which Kjerstad hit in all 16 games he played. He's kept his big, 6-foot-3 frame lean and speedy during that time, relevant for the corner-only prospect because Kjerstad puts a lot of balls in play down both baselines and runs well enough to turn them all into extra bases. He can drop the bat head and lift balls at his knees, and also get on top of pitches at the top of the zone. It's plus bat control on a somewhat odd-looking swing. If there are concerns about Kjerstad's cut, I'm not hearing them, as they've been drowned out by how well he's performed. I considered him part of a deep 50 FV tier in the lead up to draft day and the Orioles were able to cut a below-slot deal with him since he didn't have any likely suitors until closer to the back of the top 10. He was absent from the alternate site and instructs due to an extended bout of myocarditis, a heart condition that's often a side effect of viral infection (though Kjerstad isn't known to have tested positive for COVID-19), and can impact long-term heart health. <em>(At-home dev, injury)</em>","m8q8iZiuC60","sa3014439"
"Gunnar Henderson","BAL","3B","A",,6,,"45+",2024,"Med","19.9333333","6' 3""","195","L","R",2019,"Draft","BAL",2300000,"Morgan Academy HS (AL)","Henderson has a very promising hit/power combination and is not only very likely to stay on the dirt, but might also be an above-average third base defender (he has an amateur shortstop pedigree). Henderson can drop the bat head to impact pitches down and in, or he can flatten it out to barrel pitches up and away from him, and he often laces the latter to left field. He does all of this with quiet control of his swing; he's not selling out to generate the power or swinging conservatively just to make a ton of contact. Henderson raked as a high schooler, both against varsity pitching in the southeast and on the showcase circuit, and was advanced enough that he could have moved more quickly than most other 2019 high school draftees, but 2020 didn't allow for that. Though he played shortstop during his initial pro trial, Henderson has a very tall (but narrow-shouldered) frame and is very likely to kick over to third base, and there's even a chance he outgrows it, though I don't think that will be until much later in his career. One of only a couple Picks to Click, we expect Henderson will hit enough to be on next year's Top 100 list. <em>(Alternate site, Fall Instructional League)</em>
",,"sa3011484"
"Ryan McKenna","BAL","CF","MLB",,7,,"45",2021,"Low","24.3083333","5' 11""","185","R","R",2015,"Draft","BAL",414700,"St. Thomas Aquinas HS (NH)","There's no change to this report since McKenna was at the alt site all year: McKenna can fly and he has all-fields, doubles power, peppering the right-center gap with inside-out swings. Some of the power production is speed-driven, but McKenna has enough strength to deal with big league velo. His walk rates may come down as pitchers attack him in parts of the zone where they don't think he can hurt them (mostly on the outer half), but he has a shot to be a league average hitter who also plays a good center field. That's an everyday player, just probably one without the pop to be a 50 or better on the scale. <em>(Alternate site)</em>","u90vH-3V-x0","19928"
"Jordan Westburg","BAL","2B","A+",,8,,"45",2024,"Low","22.2972222","6' 3""","191","R","R",2020,"Draft","BAL",2365500,"Mississippi State","Westburg was one of several quintessential, up-the-middle college performers slated to go toward the back of the 2020 draft's first round. He's a physical middle infielder with the feet and actions to stay there, and a short, compact swing that is geared for contact at the top of the zone, while Westburg's physicality brings the power. He may need a swing tweak so his barrel better mirrors the flight path of the baseball (if not, we might be looking at more raw power than in-game output), but he has the hand-eye/power combo to profile as an everyday middle infielder, more cleanly at second base because of his modest arm strength. <em>(Fall Instructional League)</em>",,"sa3014499"
"Terrin Vavra","BAL","2B","AA",,9,,"45",2022,"Med","24.0638888","6' 0""","190","L","R",2018,"Draft","COL",550000,"Minnesota","Vavra isn't very physical and likely won't have the kind of power necessary to be an impact everyday player, but I love how athletic his swing is and how well he tracks pitches deep into the hitting zone, and I think he'll make enough contact to be a valuable multi-positional role player in the Eric Sogard mold. Vavra had a statistical breakout during his junior year at Minnesota -- .386/.455/.614 with 10 homers, and everything way up from his sophomore year -- and has walked at an impressive 13% clip in pro ball while hitting a bunch of doubles and swiping nearly 30 bags in just about a full season's worth of plate appearances. He is adept at picking out pitches he can drive until he has to expand with two strikes, peppering the middle of the diamond with liners. Plus-hitting, lefty infield sticks play forever. <em>(Alternate site, Fall Instructional League)</em>",,"sa3007643"
"Dean Kremer","BAL","SP","AAA",,10,,"45",2021,"Low","25.4111111","6' 3""","185","R","R",2016,"Draft","LAD",147500,"UNLV","Kremer showed a little bit of a velo bump in 2020, averaging 93 mph with his fastball (a mix of four- and two-seamers) after he sat 90-93 in the minors in 2019. I think Kremer’s curveball is going to be an early-count weapon rather than a put-away pitch, but I still consider it above-average because of its depth and bite. His little mid-80s cutter/slider is command-dependent, but I think he'll have above-average command. Yes, he had walk issues over a small 2020 big league sample, which were largely due to a single, meltdown outing. Remember that Kremer threw 60% of his fastballs in the strike zone in 2019, and I think his issues last year were just small sample noise. He executes his slider location enough that it’ll be effective. I think he'll eat a ton of innings thanks to his command and end up a 1.5 WAR-ish starter. <em>(Alternate site, MLB)</em>","C-CdJvKu9Lo","19350"
"Mike Baumann","BAL","SP","AA",,11,,"45",2021,"Med","25.7361111","6' 4""","225","R","R",2017,"Draft","BAL",500000,"Jacksonville","Baumann had an ascendant 2019, moving from what I considered to be a two-pitch relief prospect to a nearly ready, four-pitch rotation piece. His 2020 was cut short by injury (other alt site pitchers typically threw 500 to 600 pitches there, while Baumann only threw close to 200). Not long after a horrendous late-August outing during which Baumann struggled to find the strike zone, he was shut down with a flexor strain. Because his arm action is so long, both command consistency and injury risk might be ever present here, at least as far as outsider perception is concerned. There's No. 4/5 starter stuff, though. While compromised, Baumann was still up to 95 at the alt site (he sat 92-95 and was touching 97 in 2019). His heater's angle and carry are its headlining attributes, as he generates plus-plus vertical movement that will miss bats at the letters. The rest of the repertoire is only okay, but it's deep, and part of what I think is a viable north/south style of pitching. Baumann's upper-80s slider is terse and cuttery, the type of pitch that induces weak contact rather than whiffs, while his more shapely curveball at times has some arm-side action that is helpful against lefties. He has enough changeup feel to mix that pitch in once in a while; it's more likely to get groundballs than whiffs. If healthy, he'll likely debut in 2021. <em>(Alternate site)</em>",,"sa829681"
"Kyle Stowers","BAL","RF","A+",,12,,"45",2023,"High","23.425","6' 3""","205","L","L",2019,"Draft","BAL",884200,"Stanford","Stowers swings so hard that he looks like he's going to corkscrew himself into the ground, but he stilled performed at Stanford, slashing .280/.360/.490 despite a terrible freshman year. The Bellingerian cut makes Stowers' whiffs seem worse than they are, and also makes his dingers very aesthetically pleasing. He can be beaten at the letters and by back foot breaking balls, but otherwise is capable of doing damage all over the zone. I liked him as a sandwich/early second round prospect and he ended up falling all the way to the top of round three. That prompted a reevaluation, as did Stowers' rough post-draft summer, but ultimately there's rare ability to rotate here and a chance for big, in-game power production, enough to at least be the larger half of a corner platoon in the Seth Smith/Matt Joyce mold if not as a regular. <em>(Fall Instructional League)</em>","YIIkMwSpAIw","sa1115829"
"Coby Mayo","BAL","RF",,,13,,"40+",2025,"High","19.4861111","6' 4""","215","R","R",2020,"Draft","BAL",1750000,"Stoneman Douglas HS (FL)","Mayo is a huge-framed third base prospect who I think is a better long-term athletic fit in right field, for which he has plenty of arm. If he does outgrow the infield, then Mayo will likely have added significant raw power to a profile that already has a lot of it. He also has surprising bat control for his size and can catch velo up in zone, but it doesn't always look pretty and smooth. Mayo had among the most robust raw power projection in the 2020 draft class. He's a talent to anchor the middle of an order, it's just going to take time and maybe a mechanical overhaul for him to get there. <em>(Fall Instructional League)</em>","VSpXK_tYQAQ","sa3014479"
"Jahmai Jones","BAL","2B","A+",,14,,"40+",2021,"High","23.8361111","5' 11""","205","R","R",2015,"Draft","LAA",1100000,"Wesleyan HS (GA)","The Orioles acquired Jones for Alex Cobb in February. Jones had the worst offensive season of his career in 2019 and arrived in the Arizona Fall League having made yet another swing change, one that simplified his cut and leaned into Jones' natural feel for contact. He ran an unusually low BABIP in 2019, his underlying TrackMan data was still favorable (39% of balls in play hit 95 mph or above), and he was still just a college-aged player who spent the whole season at Double-A. Then Jones spent 2020 at the alt site and had a three-game sip of coffee with the big league club. He's made some progress as a defender (especially around the bag) and makes his share of impressive, effort-based plays, though he sometimes boots hard-hit grounders. I'm still betting on Jones' makeup and athleticism, and think he'll find a way to be a 1.5 to 2 WAR second baseman by making a ton of contact, hitting lots of doubles, and making an impact with his speed. <em>(Alternate site, MLB)</em>","J40IH-lAmOs","18872"
"Anthony Servideo","BAL","SS","A",,15,,"40+",2024,"High","22.2333333","5' 10""","175","L","R",2020,"Draft","BAL",950000,"Ole Miss","A defensive nomad early in his career at Mississippi, Servideo moved back to shortstop in 2020 (Grae Kessinger was an early Houston pick in 2019) and added a leg kick that unlocked new power. He is twitchy, athletic, and extremely cocky. His stock had a chance to continue rising as his defensive abilities at short became more clear, and as his bat was stress-tested against SEC pitching, but Servideo never got that chance because of COVID. I think the mechanical changes are evidence that he's made substantive changes, that his 2020 in-game power improvements are real, and that Baltimore got in on the ground floor of a potential everyday player. He struggled to catch fastballs toward the top of the zone during 2020 instructs, and if that's a continuous issue, then Servideo projects as a utility type, and could move quickly since he already has experience at several positions. <em>(Fall Instructional League)</em>","eEuyL3Zv9Oc","sa3014472"
"Adam Hall","BAL","SS","A+",,16,,"40+",2022,"High","22.0361111","6' 0""","185","R","R",2017,"Draft","BAL",1300000,"Lucas HS (ON)","Hall's speed has put several atmospheres of pressure on low-level minor league defenses. He puts lots of balls in play on the ground and hauls ass to first, to this point running a nearly .400 BABIP as a pro. He has advanced feel for contact for a 20-year-old with an odd developmental path (he left Bermuda as an adolescent to pursue baseball in Canada) and several catalytic qualities that fit in a traditional, perhaps regressive, top-of-the-lineup role. He's stolen 56 bases in 70 career attempts (an 80% success rate) and is fast enough for that skill to keep playing as he climbs the ladder, though he showed up to 2021 spring training having added 15 pounds of muscle during the offseason, which may impact his speed. Hall didn't lack big league physicality and his exit velos were close to big league average in 2019 when he was a little smaller, and he did lift the ball more that year, but power is unlikely to impact the profile. He's tracking like an Everth Cabrera sort of player. <em>(Fall Instructional League)</em>
","b7BJaxtFhpc","sa3005077"
"Tyler Nevin","BAL","1B","AAA",,17,,"40",2021,"Med","24.0166666","6' 4""","225","R","R",2015,"Draft","COL",2000000,"Poway HS (CA)","It's possible the change of scenery will do Nevin some good because while he has fantastic feel to hit, the list of current first baseman with premium contact skills but middling game power is full of players hovering around replacement level. He tracks pitches beautifully and can make quality contact with pitches all over the zone, but most of the damage I saw Nevin do in person while he was with Colorado (and via his spray charts) was to the opposite field. And while it's impressive that he can threaten the right field foul pole, he probably needs to pull the ball with power to profile as either a below-average defensive third or first baseman. If not, then I like his chances to be some kind of four corners role player. His reps at third base dwindled while he was with Colorado and he mostly worked at first base at both the Rockies' and Orioles' alt sites, and played a few games in left field in 2019. <em>(Alternate site)</em>",,"17893"
