Name,Org,Pos,Current Level,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video,playerId
"MacKenzie Gore","SDP","LHP",,3,1,,"70",2021,,"21.3888888","6' 3""","195","L","L",2017,"Draft","SDP",6700000,"Whiteville HS (NC)","The blisters that disrupted Gore's first full season in pro ball were not an issue in 2019, and he reached Double-A after 15 dominant starts in the hitter-friendly Cal League, during which he surrendered just nine measly runs. Gore pitches the same way a great horror movie villain lurks and ambushes from the shadows. The strange, balletic way he hoists his leading leg and hands as high as he can before he peddles home builds fear of the unknown, and dread anticipation the same way eerie music portends someone's cinematic demise. Then Gore lunges home with a huge stride, one that takes him slightly down the first base line, and gets right on top of hitters, creating more discomfort. Then, suddenly, the jump scare. The ball explodes out from behind Gore's head and blows past flailing hitters at the letters, banishing them to the dugout until their sequel at-bat a few innings later. 
Gore generated a 16% swinging strike rate overall last year and a 15% swinging strike rate on his fastball, which is amazing for a heater that only averaged 93 mph. Several other traits -- Gore generates nearly perfect backspin and seam uniformity on his fastballs, which you can see in the video that corresponds to this player capsule, and the flat approach angle of his stuff contributes, too -- help the fastball play up, including Gore's command which projects, at least, to plus. Spin efficiency also enables his curveball to be good even though it lacks big raw spin, he has glove-side command of his slider, and his changeups, though they're of mixed quality, are typically well-located. You can go wild projecting on Gore's secondary stuff, especially the changeup, and his command because he is such an exceptional athlete, and the fact that he can repeat and maintain such an odd and explosive delivery is clear evidence of that. 
The 2018 blister problems created some short-term workload issues that San Diego's dev group tried to solve by shutting Gore down for most of August. He threw side sessions for most of the month before returning for one last in-game outing before the Texas League playoffs, which he didn't pitch in. He had a 40-inning increase from 2018 to 2019, when he threw 100 frames. It puts him on pace to throw 120-140 innings this year, though it only makes sense for San Diego to push him if they're contending for the playoffs. Based on how they handled Paddack and Tatis last year, such an approach seems possible.","7bZP4Vs1QhA","sa3005068"
"Luis Patino","SDP","RHP",,18,2,,"60",2020,,"20.7166666","6' 0""","192","R","R",2016,"J2","SDP",120000,"Colombia","If not for Sam Huff's game-tying two-run shot in the bottom of the seventh inning, we would not have gotten to see Patiño chuck heaters past Royce Lewis and Jo Adell at the 2019 Futures Game. It was a coronation of sorts, an indication that the then-teenager would be ready for the bright lights of Petco Park when the Padres call on him, which might happen in 2020, even if it's out of the bullpen at first. (There are some executives who think that will be Patiño's ultimate role.) He's smaller, and his changeup and command are not very good yet. But this is one of the best on-mound athletes in the minors, one who hasn't been pitching all that long, and has had premium velocity for an even shorter span of time. It'd be unreasonable to expect a 20-year-old to be fully realized when he's only been pitching for about four years. Patiño's velocity came on in a huge way as he got on a pro strength program and he's added 40 pounds of good weight and about 10 ticks of velo since he signed. He's a charismatic autodidact who has taken a similarly proactive approach to learning a new language (he became fluent in English very quickly, totally of his own volition) as he has to incorporating little tricks and twists into his delivery (he's borrowed from Mac Gore) to mess with hitters. 
Were this a college prospect, he'd be in the conversation for the draft's top pick, and I'm very comfortable projecting on the command and changeup because of the athleticism/makeup combination. I expect Patiño will reach the big leagues this year in a bullpen capacity and compete for a rotation spot in 2021.","k11tj7Ee2qs","sa3002792"
"CJ Abrams","SDP","CF",,22,3,,"55",2023,,"19.7805555","6' 2""","182","L","R",2019,"Draft","SDP",5200000,"Blessed Trinity HS (GA)","The .401/.442/.662 line Abrams posted after signing isn't sustainable, buoyed as it was by the interaction that players as fast as he is have with defenses at the lowest levels of the minors (he had a .425 BABIP), but Abrams can absolutely rake. He had no trouble with the leap from amateur to pro velocity, though some of the top high school pitching he saw the summer before his draft year was probably better than what he faced in the 2019 AZL. He has a knack for impacting the baseball in a way that creates hard contact even though his swing is currently pretty flat, and he can do this all over the strike zone. Of the trio of elite AZL prospects (Abrams, Bobby Witt, and Marco Luciano), Abrams has the most polished hit tool and the most room left on his frame. Even without a swing change, he's going to grow into more power just through maturity, which is pretty scary considering his exit velos are already above big league average (though, again, AZL pitching wasn't good last year). 
I don't think he's a shortstop. When he has time to step and throw, Abrams has enough arm for the left side of the infield, but ask him to contort his body and make tough throws on balls he has to go get and the results are mixed. Most players with this issue end up in center field, where Abrams could be a plus defender because of his speed, assuming his instincts there aren't terrible. He has top-of-the-order traits right now and is a virtual lock to play somewhere up the middle, even if it isn't at short.","UhCOxi0kL08","sa3010152"
"Luis Campusano","SDP","C",,41,4,,"55",2022,,"21.7916666","6' 0""","195","R","R",2017,"Draft","SDP",,"Cross Creek HS (GA)","Campusano was a bad-bodied catcher on the summer showcase circuit, but then he completely remade his body for his senior spring. He showed above-average power, some bat control, and improved agility behind the plate, boosting his stock to the late first/early second round of the draft. He didn't catch much velocity in high school and struggled receiving pro arms at first, but that has improved to a place of acceptability. More importantly, he's continued to hit. Though his Hi-A statline was aided by the Cal League's hitting environment, Campusano's 11% strikeout rate was the second best rate among qualified, full-season backstops in 2019 (Yohel Pozo was first) and his exit velos (89 mph on average) are great for a 20-year-old. He is rumored to have been the centerpiece of San Digeo's Mookie Betts negotiations with Boston and while young catching has a tendency to take a beating and fall short of expectations on offense because of it, right now Campusano looks like a potential star offensive catcher.","7iiD2O17Woo","sa3004041"
"Taylor Trammell","SDP","LF",,72,5,,"50",2021,,"22.8361111","6' 2""","215","L","L",2016,"Draft","CIN",3200000,"Mount Paran HS (GA)","Trammell sees a lot of pitches, he has gap power, and he can really run, which helps him run down more balls than a lot of left fielders. He's very competitive, and is similar in many ways to Brett Gardner. He was utilizing a narrower stance during the spring, which forced him to take more of a stride than he had been during his days with the Reds. This was probably done to see if Trammell would end up hitting for more power but there's no way of knowing if it worked yet.","Xeh5cE_M4ew","sa917943"
"Adrian Morejon","SDP","LHP",,,6,,"45+",2020,,"21.3805555","5' 11""","175","R","R",2016,"J2","SDP",11000000,"Cuba","You can frame arguments such that Morejon compares favorably to most of the college pitchers available in the 2020 draft. He's parked at 94-97, his changeup is heavy enough to get groundballs when it's not missing bats, and Morejon has a shapely, low-80s breaking ball that he can throw for strikes. 21-year-olds rarely have this sort of stuff or such a good idea of how to deploy it, let alone both, but for me, Morejon still exists in the Jonathan Loaisiga FV bucket. 
He's been shut down an awful lot. Last year, after just three starts, a shoulder issue sent him to the 60-day IL. It was Morejon's fourth IL stint in the last two years, and he was later scratched from a Fall League start for back tightness. He pitched in relief upon return, which changes the context for the velo. A few other nits. Morejon babies his breaking ball into the zone, and his arm speed changes in a way I think is noticeable. From a spin axis/efficiency standpoint, his fastball is the sinking type that tends not to miss bats, which is part of why I think he's been hittable in a small big league sample, including a nuclear spring outing in Peoria that he followed (and rectified) with a bat-breaking clinic in Tempe against the Angels' varsity squad. Some of this seems imminently correctable, especially considering Morejon's age, but the way the injury history interacts with his relief risk and the fastball traits put him in the 45+ FV bucket with a bunch of other guys with mid-rotation ceilings who I'm scared to really bet on.","yM_8rrMBHNU","20039"
"Robert Hassell","SDP","CF",,,7,,"45",2023,,"18.9138888","6' 2""","195","L","L",2020,"Draft","SDP",,"Independence HS","Hassell wields the most advanced bat of all the high school hitters, spraying contact to all fields against upper-echeleon high school pitching during his pre-draft summer. It's particularly inpressive considering he was a two-way varsity player. Somewhat stiff in the lower half, Hassell is more of a long-striding glider in center field and lacks the pure speed to be an impact defender there. Some teams have him projected in a corner spot but think, even though he doesn't necessarily project to have big power at maturity, that he'll hit enough to profile there. For context, he's a half grade beneath where I had Corbin Carroll evaluated last year (45+ FV)",,
"Hudson Head","SDP","CF",,,8,,"45",2023,,"19.2666666","6' 1""","175","L","L",2019,"Draft","SDP",3000000,"Churchill HS (TX)","The Padres have been unafraid to stick their necks out and use high picks on high school players who weren't fixtures on the summer showcase circuit for one reason or another (injury, participation in football, etc.), players who may be underscouted (and perhaps undervalued) by clubs who are more comfortable with prep hitters who've performed against curated competition. The results have been mixed. Mason House and Sam Keating are not on this prospect list, while Blake Hunt has climbed it, and Mason Thompson has yo-yo'd. Now 2019 draftees Hudson Head and Josh Mears enter the fray, with Head doing so after receiving a $3 million bonus, a record for a third-rounder. 
The pitching he saw in the AZL was the best he's seen in his entire life, and Head not only allayed concerns about that competition-quality chasm by hitting .283/.383/.417, he also occasionally did some freaky, elite stuff that got me very excited about his prospectdom. Head is ambidextrous, and swings and throws a baseball with his left hand but quarterbacked primarily with his right, occasionally using his left when he rolled out that way. For someone with so little high-level experience, his bat control is remarkable. A pronounced arm bar caused him to be late on some of the good velo I've seen him face but Head's feel for opposite field contact enabled him to strike those pitches with authority anyway. I think he needs polish from a mechanical standpoint, but there's rare natural bat-to-ball proclivity happening here. There's also much more measurable power than I would have guessed -- Head's exit velos last summer were more akin to those of heavy-hitting corner guys his age than someone who looks like a wiry leadoff sort. Still a high-variance prospect because of his short track record of hitting, Head has a shot to be a leadoff-hitting center fielder, an above-average regular.",,"sa3010889"
"Yeison Santana","SDP","SS","R",,9,,"45",2022,,"19.6027777","5' 11""","170","R","R",2017,"J2","SDP",300000,"Dominican Republic","Aside from Gabriel Arias, Santana is the cleanest defensive fit at shortstop in this org and projects to be an above-average defender there at peak. He also has good feel for contact and rarely swings through pitches in the zone. Couple that with a frame that really looked like it was starting to fill out last summer and fall (especially in the shoulders), and Santana's ability to rotate with uncommon looseness and explosion, and we have a potential above-average regular here. Because the feel for contact is already seemingly in place, Santana stands a good chance to hit for whatever power he grows into, while also staying at short.",,"sa3005730"
"Cole Wilcox","SDP","RHP",,,10,,"45",2023,,"21","6' 5""","230","R","R",2020,"Draft","SDP",,"Georgia","Wilcox pitched out of the bullpen throughout much of his freshman year and was routinely sitting 97-99 in that role, often touching 100. As a starter in 2020 Wilcox was sitting 93-96 with more consistent command (he walked no hitters in his final three starts and walked just two in 23 total innings) than he had as a freshman, and more effective slider shape. When it's right, Wilcox has a biting, two-plane out pitch in the slide piece, which sits in the 85-89 range and often has more length than any pitch that hard has a right to be. Those two pitches and his current command would be enough to project Wilcox in a late-inning bullpen role, but a better change or split (the development of which was slowed by his freshman role) would enable him to be a mid-rotation piece so long as he retains his velo in pro ball, since the shape of the heater makes it velo-dependent.","mUKE04zP5UU",
