Name,Org,Pos,Current Level,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video,playerId
"Spencer Howard","PHI","SP","MLB",31,1,,"55",2021,"Med","24.8527777","6' 3""","210","R","R",2017,"Draft","PHI",1150000,"Cal Poly","Howard's stuff was just not as crisp in 2020 as it was at the end of 2019 as he dealt with rotator cuff inflammation. He and Casey Mize are back to back on the Top 100: guys with front end stuff, but recent injuries. Howard's fastball was sitting 93-97 deep into his best 2019 Fall League outings but only averaged 94 in 2020, and his command backed up, too. I'm taking a longview here. Remember that we're talking about a small school pop-up reliever who, due to a past shoulder injury and the pandemic, has just one full pro season as a starter. Howard has impact stuff. His changeup is plus, he can blow his fastball past lefties near their hands, his slider has big time action to his glove side, and his low-70s curveball is a nice look to present hitters the second and third time through the lineup. His breaking ball lacked backfoot angle in 2020 but, based on how Howard has described his shoulder issues impacting how he pitched, that may come if he and the Phillies staff can find a way to put the shoulder problems in the rearview. There are three or four bat-missing pitches in Howard's bag when he's and loose. <em>(Alternate site, MLB)</em>","hEr3iNdRJmg","23252"
"Mick Abel","PHI","SP","A",95,2,,"50",2024,"High","19.7972222","6' 6""","190","R","R",2020,"Draft","PHI",4075000,"Jesuit HS (OR)","Abel has been the best pitching prospect his age since his sophomore year of high school and he's the youngest pitching prospect in the 50 FV tier across baseball. He has the prototypical starter's frame at a broad-shouldered 6-foot-4, already throws hard and should be able to hold that kind of velocity for a whole season as his frame fills out, has a strong natural proclivity for spinning his breaking stuff, and will also flash a really good changeup once in a while. While Abel's sitting fastball velocity slipped throughout his showcase summer, he was still reaching back for 97 early in outings and the rest of his profile was more complete than other prep arms, so even though his senior season was cancelled because of COVID-19, he was the first high school pitcher selected in the 2020 Draft. Then, aside from some remote live BP work during the summer, he rested until Instructional League where he once again showed big, mid-90s gas. He's got star-level ceiling if he can execute his secondary stuff consistently. <em>(Fall Instructional League)</em>","Eqc625r-XdY","sa3014534"
"Francisco Morales","PHI","SIRP","AA",,3,,"45+",2022,"High","21.6055555","6' 4""","185","R","R",2016,"J2","PHI",720000,"Venezuela","There's no change to Morales' report, as what I sourced from 2020 instructs (93-96, plus slider, no difference between his '19 and '20 changeups) is the same as in '19, though i will note he's now on the 40-man roster of a team that last year badly needed someone with late-inning stuff: Morales remains on the starter/reliever fringe, and I think the latter is more likely. He has a traditional power pitcher's fastball/slider combination, while the upper-80s changeup (it was 87-89 during 2020 instructs) remains firm and unrefined, as does his control. Morales is a good athlete -- he's sinewy and strong -- while his delivery is violent and difficult to repeat. One of those will usurp the other and dictate what happens to Morales' role. I think he'll be a ninth inning bully. From a size and athleticism standpoint, I think Morales is very similar to prospect-era Dylan Bundy and Daniel Espino, who were better executing a deeper rertoire at the same age. <em>(Fall Instructional League)</em>",,"sa3004581"
"Johan Rojas","PHI","CF","A",,4,,"45+",2023,"High","20.8083333","6' 1""","170","R","R",2017,"J2","PHI",10000,"Dominican Republic","He's rough around the edges, but Rojas is a scintillating talent with the best raw power/speed combination in the system. He swings with twitch, and strength, and ugly (but effective) bat control. He'll show you plus-plus bat speed on a max-effort swing and he'll also make mid-flight adjustments to offspeed stuff. It's not often pretty, but he hits balls hard consistently. The offensive ingredient we don't know about yet is the plate discipline. Right now we're talking about a 6% walk rate across 550 career plate appearances. Some may have some more data from stuff collected at extended or instructs during that time. It's kind of scary, but not as scary as Rojas' abilities are exciting. His speed gives him a chance to be an impact center field defender, and if that happens, he'll profile even if he's a low OBP slugging CF. <em>(Fall Instructional League)</em>",,"sa3005784"
"Bryson Stott","PHI","SS","AA",,5,,"45",2023,"High","23.6638888","6' 3""","200","L","R",2019,"Draft","PHI",3900000,"UNLV","College performers aren't typically divisive, but Stott's swing and defensive actions are atypical, and not all scouts think they work. I've seen a bunch of him since his sophomore year at UNLV and still don't know. He can move the bat head all over the zone but doesn't do damage everywhere. I've seen him homer on pitches at the top of the zone, and go down and golf them out off his shoe tops, he  is great at adjusting to breaking balls mid-flight, and more and more of those are being thrown at the big league level. I've also seen him be late on a lot of fastballs, and end up topping them into the ground. Sometimes he'll flare pitches he's late on over the head of the opposing shortstop, but there is a way to pitch to him to limit damage if you execute, which was evident at the alt site as well. I've dialed down Stott's game power projection because of this, making it imperative he stays at short. He's a big guy with an atypical throwing stroke. I had him projected to stay at short last year and there's basically no new info on this end, but not all the four corners scouts, who saw him play defense most of all, thought he could. The snapshot of the profile -- a lefty-hitting shortstop with power -- is still a prospectdom rarity, but I'm growing skeptical about the in-game power matching the raw based on the alt site look. <em>(Alternate site)</em>","qccYljFGcVc","sa3011443"
"Rafael Marchan","PHI","C","AAA",,6,,"45",2022,"Low","22.2777777","5' 9""","170","S","R",2015,"J2","PHI",200000,"Venezuela","Marchan has rare feel for contact for a catcher and held his head above water during a brief major-league trial at age 21. Even though he didn't hit his first pro home run until he was in the big leagues, Marchan's left-handed swing might enable him to hit for a little bit of pull pop, and opposing pitchers should be wary of his ability to turn on velocity under his hands. He has less ability to do damage out and away from him, and his right-handed swing is far inferior to his left. There's still feel for the barrel from the right side, but a less-connected lower half; Marchan just sort of throws the bat head at the ball as a right-handed hitter and can't hit for power from that side. He's also a suitable, but unspectacular defensive catcher. He'll catch on one knee for certain pitchers but not for others, and his lateral mobility is noticeably hampered when he does. Marchan's ball-blocking has improved but is still not great, like a hockey goalie who gives up longer rebounds. From a skills standpoint, he's not all that different from Adrian Del Castillo (a likely first round catcher in this year's draft) or even Keibert Ruiz, but the mediocre defense and ability to turn him around and neuter his offense prevented Marchan from entering the top 100. He projects as a low-end regular or even timeshare catcher sort, which teams badly need, and he's big league ready. He's a high-profile trade candidate now that J.T. Realmuto has signed long-term. <em>(Alternate site, MLB)</em>",,"21646"
"Erik Miller","PHI","SP","AA",,7,,"45",2023,"Med","23.3111111","6' 5""","220","L","L",2019,"Draft","PHI",428300,"Stanford","Scouts saw different versions of Miller at different times. He was into the mid-90s on the Cape but sat in the low-90s during his pre-draft spring, reaching back for more when he wanted, but appearing to dial things down to throw strikes most of the time. He was living toward the higher end of that range during 2020 instructs, sitting 92-95. Miller's secondary stuff is also very promising. His changeup was his best weapon in college but his two breaking balls each have big spin. They're already quite good even thought they're maybe not totally spin efficient, according to a front office source citing a gap between Miller's breaking balls' raw traits and observed movement. He has No. 4 starter stuff if he can hold this type of velo over the course of a season without sacrificing control, as appeared to happen to him while he was throwing his hardest in college. <em>(Fall Instructional League)</em>","h2OKxijUEkg","sa3011336"
"Mickey Moniak","PHI","CF","AAA",,8,,"45",2021,"Med","23.0611111","6' 2""","195","L","R",2016,"Draft","PHI",6100000,"La Costa Canyon HS (CA)","There's a chance Moniak makes a swing change that unlocks more in-game power, and I do think his feel for contact gives him a chance to max out whatever game power his swing allows for, but until we start seeing that in games, I just have him projected as an oft-used fourth outfielder or low-end center field regular. He has great plate coverage and can poke well-located fastballs on the outside corner to left field, while staying back on breaking balls and hooking those into the right field corner or right-center gap. The high-end feel for contact enabled Moniak to be a little swing-happy as an amateur but it's made him a lower OBP hitter in pro ball, and his expected stats in 2019 were closer to a .310 OBP and .410 SLG rather than the .440 mark he posted in Reading (ah, Reading). He's filled out and the raw power looks like it's going to settle close to average based on sourced exit velos and my 2019 Fall League looks (which weren't good until the last week or two). The Phillies 2021 roster could perhaps use a lefty-hitting outfielder to compliment Kingery/Segura/McCutchen and provide late-game run prevention help, but Roman Quinn has the defensive edge over Moniak and Adam Haseley.  <em>(Alternate site, MLB)</em>","HFfelseQ8mo","19956"
"Luis Garcia","PHI","SS","A",,9,,"45",2023,"High","20.6222222","5' 11""","170","S","R",2017,"J2","PHI",2500000,"Dominican Republic","Garcia went from 2018 stat-stuffer to 2019 full-season flop, albeit as an 18-year-old who the org just pushed too fast (though guys like Andres Gimenez and Washington's Luis Garcia recently handled their aggressive promotions). Then we had no 2020 Low-A sequel season by which to evaluate Garcia's progress; instead, all we have is his Instructional League look, which was very glove-centric. Indeed, Garcia is an excellent young defensive shortstop but doesn't have clear everyday offensive ability. He may still grow into requisite strength but we're not talking about a traditionally projectable 6-foot-2 frame here, as Garcia's a shorter, stockier guy. He's starting to track more like a high-probability utility infielder. If he ends up a regular, it'll be because his feel for contact drives his offensive profile, and as a young switch-hitter with some barrel variability, I think that's possible. We'll just need to see some on-field production to project that sort of outcome. <em>(Fall Instructional League)</em> ","cVHO9Fx0oYc","sa3007295"
"Simon Muzziotti","PHI","CF","A+",,10,,"45",2022,"High","22.4388888","6' 1""","175","L","L",2016,"J2","PHI",750000,"Venezuela","There's no change to Muzziotti's report, though he needs to start punishing the ball soon; otherwise, we're looking at another contact-only center field type à la Carlos Tocci: This is the most talented set of hitting hands in this system. Some of Muzziotti's cuts have an immaculate, electric beauty; others gasp to make contact with a pitch he should not have swung at. He can rip his hands through and get the barrel on pitches inside, and he can spoil tough pitches on the edge of the zone. There's rare bat-to-ball feel here, which enables a swing-happy approach that could use refining. Muzziotti's exit velo data is not great, he lacks much frame-based projection, and he's been hurt a bit. But he has a special knack for finding the barrel and it's what I care most about. <em>(Fall Instructional League)</em>",,"sa917376"
"Casey Martin","PHI","SS","A",,11,,"40+",2024,"High","22.1611111","5' 11""","180","R","R",2020,"Draft","PHI",1300000,"Arkansas","Martin was one of the more physically gifted college players in the 2020 draft but he also had one of the worst approaches. Especially toward the end of his college carrer, Martin's approach was less discerning than Mike Richards in an Old City bar at 1:45 AM, and Martin often swung at pitches at his eyes or in the other batter's box. His physical tools are scintillating, though, and Martin is not only an elite runner and athlete but has plus pull power, too. Even if he ends up with a 35 or 40 bat because his approach remains poor, Martin will still do enough damage to be some kind of role player, like Ian Happ (though Martin's statistical track record in college was not as strong as Happ's), or a more athletic Yairo Muñoz. The other most significant part of his development will then be finding as many defensive positions for him to play as possible. Martin makes lots of effort- and athleticism-based plays but is pretty crude from a hands/actions standpoint on defense, which is where the Happ comp is most true. I think he'll end up  playing one of second or third base and all over the outfield in a high-impact, low OBP role. <em>(Fall Instructional League)</em>",,"sa3014524"
"Bailey Falter","PHI","SP","AAA",,12,,"40+",2021,"High","24.1138888","6' 4""","180","L","L",2015,"Draft","PHI",420000,"Chino Hills HS (CA)","Falter had interesting underlying traits in 2018 and '19, as he filled the zone with fringe stuff in the lower levels of the minor leagues, averaging fewer than two walks per nine innings from '17-'19. He missed the back half of 2019 because of an elbow strain but teams still kicked the tires on him in that year's Rule 5 Draft; Falter sat 89-92 that season. During 2020 instructs, he was not only healthy but throwing harder, sitting 90-94 throughout camp and 93-95 at his best. That extra velo is made tougher to hit because Falter is pretty funky and deceptive. His glove raise is like a magician's misdirection and he takes a gargantuan stride home, generating seven feet, three inches of extension. The secondaries are not dominant -- you'll see some plus changeups, but both breaking balls closer to average -- but I don't know how they'll play now that they're paired with a harder fastball. There's a breakout opportunity here, and if not, it's nice to know Falter is healthy and will be a viable backend option soon because of his ability to throw strikes. <em>(Fall Instructional League)</em>",,"20070"
