Name,Org,Pos,Current Level,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video,playerId
"Ke'Bryan Hayes","PIT","3B",,30,1,,"55",2020,,"23.4611111","6' 1""","210","R","R",2015,"Draft","PIT",1800000,"Concordia Lutheran HS (TX)","Hayes is perhaps still a swing change away from really breaking out, as he continued to hit the ball hard at Triple-A last year, but often into the ground. He remains a very intriguing prospect not just because the quality of the contact is good but because he's a plus-plus third base defender with rare speed for the position. It's possible to attribute what appear to be some plateauing traits to the previous Pirates regime's issues with player development and perhaps what is in essence a fresh start will unlock something that's currently lying dormant. At age 23, it's looking a little less likely now than at this time last year when we 60'd Hayes, with the currently sky-high offensive bar at third base contributing to that sentiment.","o76lKnW1nX0","sa874730"
"Oneil Cruz","PIT","SS",,32,2,,"55",2021,,"21.7777777","6' 7""","175","L","R",2015,"J2","LAD",950000,"Dominican Republic","Somehow, over the past year, the ratio of scouts who believe the 6-foot-7 Cruz might actually stay at shortstop has grown. It's more within the realm of possibility for those who think a lot of issues with lateral agility can be masked through some combination of arm strength (Cruz has a freaking hose) and good defensive positioning. What if this guy, who I'll once again body-comp to Harold Carmichael and Brandon Ingram before I search for a less instructive baseball avatar, actually stays there and grows into 80-grade raw power? How bad would the contact issues need to be for him not to be a great player if that's the case? 
Indeed there are folks in baseball who are skeptical of Cruz's hit tool because of his lever length, and those concerns are exacerbated by how often he likes to swing. There are several vastly different ideas as to how his body and game will develop as he fills out, and scouts who think Cruz is destined to slow down and move to right field or first base, and who also have concerns about the contact, don't even think he belongs on this list. But consider this: At this age Aaron Judge, who is as close as we're going to get to a physical peer for Cruz, was striking out 21% of the time at Fresno State. Split between Hi- and Double-A, against competition way better than Mountain West Conference pitching, Cruz whiffed 25% of the time. That's not bad for someone this age and this size. I will concede that the approach is bad and that the swing needs polish if Cruz is going to get to his power in games. I'll also concede that the Fall League look was bad (he missed several weeks with a foot fracture), and his LIDOM performance was, too. This is one of the -- if not <em>the</em> -- highest-variance players in the minors, but there aren't many who have a chance to be what this guy might. Even the outcomes more toward the middle of what is likely -- a center fielder with a hit tool in the 35-40 range with huge power, a right fielder or third baseman with the same, a gigantic target at first -- are still fine. I'm way, way in on Cruz even though he has clear issues that make him one of baseball's riskier players.","GzwLKufiG4A","sa917318"
"Mitch Keller","PIT","RHP","MLB",34,3,,"55",2020,,"24.2777777","6' 3""","210","R","R",2014,"Draft","PIT",1000000,"Xavier HS (IA)","We've all been waiting around for Keller and the Pirates to figure things out, and it seems they've gotten much closer with the addition of a slider, which has become Keller's primary out-pitch. (His fastball still has a little less life than would best pair with his curveball, but I don't have him on the high speed camera yet to see if he's pronating behind the baseball.) Keller quickly got comfortable locating that slider, which has an awful lot of sweep for a pitch in the upper-80s, to his glove side. He can throw competitively-located changeups against left-handed hitters, but in big spots a well-placed slider is just a nastier option. Aside from the little bit of carry that might be added to his heater, Keller is now a four-pitch strike-thrower with a state-of-the-art repertoire.","BbF8a3acDUU","17594"
"Travis Swaggerty","PIT","CF",,64,4,,"50",2022,,"22.9027777","5' 11""","180","L","L",2018,"Draft","PIT",4400000,"South Alabama","Swaggerty is a good defensive player whose offensive performance, specifically his power output, continues to fall a little short of what someone with his physical talent could be doing. Are you noticing a common theme surrounding Pirates hitters on this list? Even if Swaggerty never dials in his swing and actualizes his power, his secondary skills (mostly the defense) should help lift the profile to that of a regular anyway.","qTYA7IA0cCQ","sa3007512"
"Tahnaj Thomas","PIT","RHP","R",82,5,,"50",2022,,"21.0777777","6' 4""","190","R","R",2016,"J2","CLE",200000,"Bahamas","An athletic conversion arm with a big, broad-shouldered, projectable frame and almost no miles on his arm because of the conversion, Thomas has been pitching in relative obscurity to this point because he's been on backfields and in the Appy League. He may be the most anonymous 100 mph arm in baseball. He snaps off some promising breaking balls and has pretty significant command projection because of his athleticism. There aren't many young, high-variance arms on this list, but Thomas' frame, his fresh arm, his elite velo, and how enthused I am about the breaking ball, changeup, and command projection because of how athletic he is gives him a chance to attain some nutty right tail outcomes.","KvPrGPYdZ9g","sa3003066"
"Nick Gonzales","PIT","2B",,92,6,,"50",2023,,"21.1305555","5' 10""","190","R","R",2020,"Draft","PIT",,"New Mexico State","Gonzales presents teams with a bit of a conundrum because the hitting environment at New Mexico State makes it impossible to take his stats -- .399/.502/.747 career, .448/.610/1.155 with 12 homers in 16 games as a junior -- at face value. Instead, it's his 2019 Cape Cod line -- .351/.451/.630 -- and algorithms that can better estimate Gonzales' realistic output by utilizing hit data that will carry his statistical case in draft rooms. Visual evaluations of Gonzales suggest he has a chance to both play a premium defensive position and hit for a lot of power, though Gonzales lacks fundamental consistency on defense. He will botch some routine plays and make some spectacular ones, at times looking like a passable middle infielder and others like he belongs in the outfield. If he can stay on the MIF Gonzales might be a star. He has the most explosive hitting hands in the draft among college hitters not named Spencer Torkelson, hands that work a lot like Nationals prospect Carter Kieboom's do. There's certainly more statistical volatility here than is typical for a college hitter, and where Gonzales fits on teams' boards in the top then might depend on how well he played defense when their decision-makers saw him.","ERjO24Hja8Q",
"Liover Peguero","PIT","SS",,104,7,,"50",2022,,"19.5388888","6' 1""","160","R","R",2017,"J2","ARI",475000,"Dominican Republic","Aside from the semi-frequent body comps we issue to give readers a better idea of what a player looks like physically, we tend to shy away from making overall comparisons between prospects and current or former big leaguers unless it's very apt. We have one here in Liover Peguero, who is a Jean Segura starter kit. His sloped shoulders, short torso, and the high, thick butt and thighs map to a slightly taller version of Segura. More significantly, like Segura, Peguero is remarkably short back to the baseball; his barrel enters the hitting zone in the blink of an eye, giving him an extra beat to decide whether or not to swing. It also makes it hard for pitchers to beat him with velocity, since he's rarely late on anything and has quick enough hands to get on top of pitches near the top of the strike zone. He's also remarkably strong in the hands and wrists for a teenager and is already producing average exit velos above the big league average, though Peguero cuts down at the ball and is currently groundball prone. His swing may get longer as his attack angle changes. 
Perhaps the place where the Segura and Peguero Venn Diagram does not overlap is on the defensive end of things. Peguero is a plus athlete with above-average hands and arm strength, which could make him an above-average defender at short in time. If his lower half thickens and Peguero slows down, he'll look more like Segura does now on defense.","kBYfk4hzOdY","sa3005582"
"Quinn Priester","PIT","RHP","A-",,8,,"45+",2024,,"19.8305555","6' 3""","190","R","R",2019,"Draft","PIT",3400000,"Cary-Grove HS (IL)","You can take your pick between Priester or the recently-acquired Brennan Malone. Malone's repertoire is a bit more fully realized but Priester has more room on his frame, better natural ability to spin the ball, and comes from a cold-weather background that often leaves a greater developmental gap between present and future pitchability traits. Pretty early in high school, Priester was firmly on the radar as a big-framed righty with a good breaking ball. His stuff ticked up closer to the draft, when he was consistently in the mid-90s, and he was 91-95, touching 96 after he signed, and his changeup showed late growth, too. It's a high-variance, mid-rotation profile, similar to most teenage pitchers with this stuff and build.",,"sa3011297"
"Brennan Malone","PIT","RHP","A-",,9,,"45+",2024,,"19.85","6' 5""","210","R","R",2019,"Draft","ARI",2202200,"IMG Academy HS (FL)","Malone was on the scouting radar for awhile, standing out in North Carolina for his clean, quick arm speed and above-average breaking ball. For his draft year, he transferred to IMG Academy in Florida and took another step forward, reminiscent of how Touki Toussaint added feel elements to his profile in his draft year. Malone switched to a more controllable version of his breaker, a 55-grade slider that flashes 60 for some scouts and that he can dot anywhere. Malone hit 99 mph in his last outing of the spring in front of a lot of heat and sits in the mid-90s for full outings. His curveball and changeup are both about average, giving him a mid-rotation starter look, with the usual injury caveats for a power prep righty.","q2V5lLIeZys","sa3011741"
"Jared Oliva","PIT","CF",,,10,,"45+",2021,,"24.6305555","6' 3""","187","R","R",2017,"Draft","PIT",200000,"Arizona","Among the league's hitters, Oliva had one of the better Arizona Fall League performances and lots of scouts now think he's got a shot to be a big league regular. He went undrafted as an eligible sophomore at Arizona because he was too raw and inexperienced due to a total lack of reps while in high school. He emerged as a speed/raw power flier as a junior, but slid to the Pirates in the seventh round and signed for slot. His performance in 2018, his first full pro season, exceeded all expectations: in his 172-game college career, Oliva produced nine homers and a .773 OPS, while in 108 games at Hi-A, he hit nine homers with a .778 OPS despite skipping Low-A. He has a flatter swing that doesn't enable his raw power to play but the on-base ability and speed might enable him to be a center field regular anyway.","C8mb_GuvJGA","sa915844"
