Name,Org,Pos,Current Level,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video,playerId
"Yerry Rodriguez","TEX","RHP","A",103,1,,"50",2021,,"22.7472222","6' 2""","180","R","R",2015,"J2","TEX",,"Dominican Republic","It is not without some injury-related terror and self-skepticism that I have Rodriguez atop this deep, messy, and surgery-scarred system, a conclusion I came to while working on the overall 100 and after comparing the totality of his profile across the entire baseball landscape, against which it stacks up quite favorably. Rodriguez checks all but two significant boxes. One is the ""totally healthy"" box, as he was shut down with an elbow issue in July. The other is the thoroughly modern ""vertical slot/backspin"" box typical of starters whose fastballs I'm more confident in. But this is not a vanilla, three-quarters slot. Rodriguez is well below that, and his upright, short-armed, slingy arm action presents almost a side arm look. It's unique, and creates an awful lot of tail on his fastball. Sitting 92-95, up to 98, and weaponized by Rodriguez's advanced east/west command, it's a potential plus pitch. A split-action changeup is currently his best secondary, while his slow curveball lacks sharp-looking movement but has plus raw spin. 
I think a fully-formed Rodriguez has a different breaking ball than this one, so in this instance I'm making an abstract projection based on Yerry's talent for spinning the baseball. He needs something he can work inside on lefties, either a cutter or a more traditional breaking ball with better back foot angle. From a performance standpoint, Rodriguez has 167 K and 29 BB over the 136.2 innings he's thrown the last two years. He has the best combination of stuff and pitchability in the system.","8-2tF4ZEJGw","sa918130"
"Nick Solak","TEX","2B","MLB",115,2,,"50",2020,,"25.5083333","5' 11""","175","R","R",2016,"Draft","NYY",950000,"Louisville","It'll be interesting to see where in the field the Rangers end up deploying Solak given that they're already rostering a few DH-types like Willie Calhoun and Shin-Soo Choo. Solak is a high-effort player but effort alone won't solve his defensive issues, which have been apparent wherever he's played. That's mostly been second base with some left and center field, the last of which Texas revisited this spring. He can really hit, though, and the lowest single-season batting average he has posted since his freshman season at Louisville is .282. He'll likely hit for pretty average power, but if Texas can hide him day-to-day wherever opponents are least likely to put balls in play, he'll essentially be a multi-positional player with a plus stick.",,"19294"
"Heriberto Hernandez","TEX","LF","A-",124,3,,"50",2023,,"20.5777777","6' 1""","200","R","R",2017,"J2","TEX",,"Dominican Republic","Yes, future rule changes would make it more likely that Hernandez could one day catch in a part-time capacity, but he doesn't have a great arm, either, and he has a chance to race to the big leagues if the Rangers just let him go hit while learning first base or an outfield corner. The on-paper stats, underlying TrackMan data, and my visual evaluation of Hernandez all indicate that this might be a very special hitter whose hit and power combination will clear the high offensive bar at those positions. His little T-Rex arms enable Heriberto to be short to the baseball, but he's so strong and rotates with such ferocity that he still hits for power. I've seen him make mid-at-bat adjustments to quality offspeed stuff, swinging over a particularly good splitter only to recognize the next one, located in the same spot, and rope it into the corner for a double. He covers the whole plate (something that's gotten better since my first looks in 2018) but is tough to beat on the inner half, and after watching him rake all last summer and fall, I'm all in on him despite not generally favoring corner guys several levels beneath the big leagues.","ADS4KB2jOhc","sa3005630"
"Josh Jung","TEX","3B",,,4,,"45+",2022,,"22.4222222","6' 2""","215","R","R",2019,"Draft","TEX",4400000,"Texas Tech","If he's going to get to all of his considerable raw power, then Jung (pronounced 'young') is probably going to need a swing change that enables him to pull the ball more consistently. He inside-outs an awful lot of pitches and doesn't even really get around the ball during batting practice, though his strength and feel to hit enables a high quality of contact despite this atypical style. He was a .346/.452/.562 career hitter at Tech and had more walks than strikeouts during his last two years with the Red Raiders. Originally thought to be a risk to move to first base, Jung not only allayed those concerns but also played a passable college shortstop last season. He comfortably projects to third base in pro ball and is a potential everyday player, but I need to see him pull pitches with power before I 50 FV him.","RlBShzGPoCY","sa3011468"
"Anderson Tejeda","TEX","SS",,,5,,"45+",2021,,"22.2027777","5' 11""","160","S","R",2014,"J2","TEX",100000,"Dominican Republic","There are no changes to Tejeda's report as he missed most of last year with a sublexed shoulder. He is rangy and athletic, and has good defensive footwork and plenty of arm for the infield's left side. His hands are not as consistent and some scouts have wanted to see him tried in center field, which he has the speed to play, though Texas has largely kept him at short and he's now one of two and a half shortstops (I'm counting Isiah Kiner-Falefa as a half) on the Rangers 40-man.
Tejeda has plus-plus bat speed and his hands work in a tight, lift-friendly circle, but he's so explosive that at times he's out of control (this is where the strikeouts come from). He managed to get to the power at Hi-A in 2018, when he homered 19 times, and if he can stay at shortstop and continue to mash like that in games, he'll be a good everyday player. He's in the same FV tier as high-variance shortstops with power, such as Greg Jones and Bryson Stott.","TdHxjNuX4iQ","sa872474"
"Leody Taveras","TEX","CF",,,6,,"45+",2021,,"21.85","6' 1""","171","S","R",2015,"J2","TEX",2100000,"Dominican Republic","After a few years of mediocre statistical performance, the Rangers finally asked the 20-year-old Taveras to repeat a level, in this case Hi-A. He responded by posting a contact- and walk-driven 117 wRC+ in the first half, earning a promotion to Double-A Frisco for the second, where he proceeded to produce an unremarkable line that (here's a familiar phrase) is reasonable to forgive considering his age. 2019 was Taveras' best BABIP season in some time, notable because during the last few years scouts had sometimes described him as aloof or bored. His speed and center field defense are both excellent, which creates a floor of sorts, but scout opinions regarding how much Taveras will hit have varied and, more and more, are diverging from stat-based analysis when they're favorable. I think Leody has above-average feel for contact as a left-handed hitter and that his right-handed swing is almost unusable. I also think the power display he put on at the 2018 Futures Game was a caricature created by the event's baseballs, an opinion his TrackMan data supports. He's a glove-first, second division regular based on how he's tracking, but there's a subset of the industry who still thinks the bat is coming and hasn't shown up in the statline yet because of Leody's age.","sxJR4Ast1fo","sa912520"
"Cole Winn","TEX","RHP","A",,7,,"45+",2023,,"20.6361111","6' 2""","190","R","R",2018,"Draft","TEX",3150000,"Orange Lutheran HS (CA)","Because he had advanced command and application of a four-pitch mix, Winn was viewed as a polished cut above his high school pitching peers in the 2018 draft, arguably a prospect teams could run to for safety as if he were a college arm because of how advanced he was. He didn't pitch the summer after he was drafted as a workload precaution, threw a little in the fall, then was uncharacteristically wild the following year, walking 39 hitters in 69 innings. Feel for his release point had evaporated and Winn spiked an awful lot of non-competitive secondary pitches in the dirt. His stuff is still good, and his repertoire is still quite robust and visually good-looking, but Winn's stock is down due to this unexpected speed bump.","JTWvLDwruWs","sa3008662"
"Justin Foscue","TEX","2B",,,8,,"45",2023,,"21.3666666","6' 0""","201","R","R",2020,"Draft","TEX",,"Mississippi State","Every year scouts enter pre-draf tmeeting with the rest of the org and learn who their analysts' models like more than they expected, and this year Foscue was one of them. It makes logical sense, he hit .297/.380/.482 in college, most of that agains SEC competition, and at just 21.3 years old on draft day he's on the younger end of the college spectrum. Foscue's plate coverage, from the top of the zone to the bottom, is exceptional. He has vanilla physical tools but projects as a plus hitter, which even with 40 game power probably profiles at second base. There's a college bat vacuum in the middle of the first round and up-the-middle performers like Foscue are likely to fill it.",,
"Joe Palumbo","TEX","LHP",,,9,,"45",2020,,"25.7166666","6' 1""","168","L","L",2013,"Draft","TEX",,"St. John the Baptist HS (NY)","From a pitch data perspective -- only spin and velo in this case -- I actually have Palumbo's stuff as down half a tick from the year before, but the way he missed bats at Double- and Triple-A (he struck out 33% of hitters) is an indication that it doesn't really matter. He utilizes a power-pitcher's approach, working at the letters with his fastball while mixing in lots of overhand curveballs, both of which are quite effective. Palumbo's changeup also has nasty-looking sink and tail but he doesn't really locate his fastball anywhere other than the top of the zone, which I think he'd have to be able to do to set up the change, so that pitch plays closer to average right now. Palumbo lacks traditional starter command and pitch utility, but he could work in a Lance McCullers sort of role or, because of repertoire depth, in effective, multi-inning relief.","qbSinLemqCA","17035"
"Sherten Apostel","TEX","3B",,,10,,"45",2021,,"21.3416666","6' 4""","215","R","R",2015,"J2","PIT",200000,"Curacao","Apostel was pilfered from Pittsburgh as the PTBNL in the 2018 Keone Kela trade. I had been hopeful that, despite his size, Apostel would be able to stay at third base for a good chunk of his big league career, but while I still think his arm will help him stay there for a little while, he'll move to first base by his mid-20s, though there's still enough going on offensively that I have him projected as a second division regular there. His feel for the strike zone and his timing are both impressive for his age, and he is adept at attacking early-count pitches he can drive, while taking tough strikes. It helps him run deep counts (part of where the strikeouts come from), and walk as well as hit for power. He's performed on paper since first appearing on FanGraphs prospect lists in 2017 and at this point he's a low-variance corner role player who should put up 2 WAR seasons for as long as he can play third base.","43b_eXfFXFA","sa917364"
