Name,Org,Pos,Current Level,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video,playerId
"Tyler Stephenson","CIN","C",,76,1,,"50",2020,,"23.9111111","6' 4""","210","R","R",2015,"Draft","CIN",3140000,"Kennesaw Mountain HS (GA)","Stephenson puts on quite a show during batting practice but has a more contact-oriented approach in games. Per a source, he has one of the better in-zone contact rates in the minors, which is quite the opposite of how most of the amateur side of the industry thought he would develop as a pro. He's still a fringy receiver with a big arm, but that may become less of a problem soon. Barring a tweak that brings more of his raw power to the party, Stephenson looks like a solid everyday catcher and he'd be one of the few prep catching draftees to actually pan out.","jbQ74U8MGvM","sa874242"
"Hunter Greene","CIN","RHP","A+",81,2,,"50",2022,,"20.9388888","6' 4""","197","R","R",2017,"Draft","CIN",7200000,"Notre Dame HS (CA)","Greene is a generational on-mound athlete whose 2018 season ended with an elbow sprain that eventually led to Tommy John. A strong two-month run of starts in the early summer culminated in a seven-inning shutout (2 H, 0 BB, 10 K, and all in just 69 pitches) on July 2 at Lake County, and a Futures Game appearance. Eleven days later, Greene's season was over. He had a PRP injection and rehabbed the sprained UCL in Arizona with broad plans to start throwing during the winter, but he ended up having surgery and did not pitch in 2019. His pre-injury report was heavy on velo and secondary projection, and it was (and is) especially important for him to find a better breaking ball, which he seemed to be doing before the injury.","tKAAzmpe180","sa3005315"
"Jose Garcia","CIN","SS",,87,3,,"50",2021,,"22.275","6' 2""","175","R","R",2016,"J2","CIN",5000000,"Cuba","Between his lack of reps during the '16-'17 Series Nacional in Cuba and the arduous process of defecting, followed by slowly working out for teams, then waiting for the 2018 season to start, Garcia played very little baseball for the several months leading up to last season and it showed when he finally put on a uniform. Then he had a breakout 2019 in the Florida State League (.280/.343/.436) and was watched closely by the whole industry throughout an Arizona Fall League assignment. If Garcia's tools were installed in a 21-year-old college shortstop, he'd be very famous. Power, speed, arm strength, and flashy defense are all here, and Garcia has a chance to be a star if his approach isn't his undoing.","oe9MB7KStTA","sa3005385"
"Nick Lodolo","CIN","LHP",,98,4,,"50",2022,,"22.4416666","6' 6""","195","L","L",2019,"Draft","CIN",5432400,"TCU","Drafted and unsigned by the Pirates as a 2016 first rounder, Lodolo took a bit of a circuitous route to the top of the 2019 class. He had iffy freshman and sophomore years but flashed a tantalizing blend of stuff and feel at times, keeping him in the first round mix despite inconsistent performance. Everything clicked for him during an early-season college tournament in Houston, where Lodolo worked in the mid-90s with a plus breaking ball and changeup. 
He's more apt to throw his curveball for strikes than bury it in the dirt for swings and misses, but he showed better grasp of the latter late in the year. While Lodolo will sometimes go entire outings without throwing that many changeups, there have been stretches where it's his best pitch. His frame is ideal, his delivery elegant and repeatable. The stuff isn't dominant, but some teams are still projecting on it because of how big and lean Lodolo's frame is, which makes them think it might be eventually.","pIYt1wwMfI0","sa917947"
"Jonathan India","CIN","3B",,,5,,"45+",2021,,"23.5805555","6' 0""","200","R","R",2018,"Draft","CIN",5297500,"Florida","India was hit by two pitches last April --  one struck his wrist, the other got him in the back -- and the Reds claim that though he didn't miss any time during the season, his wrist bothered him all year and could have been to blame for his lackluster 2019 power output. He looked aloof and sluggish in the Fall League, where he started 2-for-35 and was eventually shut down due to continued wrist issues. He has generally shown a well-rounded skillset that includes good feel for contact and defense. 
How teams value India varies depending on how they contextualize the wrist injury. It could be viewed as a short-term issue that obscured his physical talent in 2019, but some teams are scared by it being described as ""nagging"" and having ended his season, while others just think India's junior year at Florida (the only time he's ever hit for real power), is the anomaly, and don't have him projected as an everyday player either way. I think that, primarily via the contact skills, India profiles as a second-division regular (45 FV) at third, but if the wrist is truly why the power hasn't played, or should he eventually prove capable of playing second base (which is what the Fall League assignment was for), he has a great chance to be a 50.","KPK-GaBvm6U","sa3008178"
"Austin Hendrick","CIN","RF",,,6,,"45+",2024,,"18.975","6' 1""","195","L","L",2020,"Draft","CIN",,"West Allegheny HS","Kendrick tinkered with his swing last summer amid his issues making contact with showcase pitching, a dry spell made more concerning by his age relative to the rest of the class. It makes him a high-risk prospect, but Hendrick is the most explosive rotator in this whoe class and it really isn't close. He he among the bst raw power projection in the class and it's possible he just needs reps against good pitching, reps he hasn't had as many of coming up in Western Pennsylvania.","ZBiRPVgPvHQ",
"Lyon Richardson","CIN","RHP","A",,7,,"45+",2023,,"20.4888888","6' 2""","185","S","R",2018,"Draft","CIN",1997500,"Jensen Beach HS (FL)","Perhaps no high school pitching prospect from the 2018 draft has moved toward the ""low variance"" end of the spectrum quite as quickly as Richardson, which is especially surprising considering he was a two-way prospect for quite a while. Once he started touching 96 and 97 early in his senior season, he moved into the second round picture as a pitcher. His stuff dipped a bit before the draft and, later in the summer, the Reds shut him down due to elbow soreness. He pitched at 89-93 all last year and made a Midwest League-leading 26 starts without incident. 
Richardson found ways to get outs with diluted stuff last year and then arrived to 2020 camp throwing really hard, back into the mid-90s. He's athletic, new to pitching, competitive, often emotional and demonstrative on the mound and responded to adversity in his first season, a potential 2021 Top 100 arm.","A6viDU8LwwU","sa3007727"
"Michael Siani","CIN","CF","A",,8,,"45",2023,,"20.9944444","5' 11""","190","L","R",2018,"Draft","CIN",2000000,"William Penn Charter HS (PA)","Siani is fast and his defensive instincts are excellent, so he has a chance to be one of the better defensive center fielders in baseball at peak. On offense, Siani creates a lot of infield action (oppo liner pokes and slaps, high infield chops, some bunts) but probably won't grow into relevant power. I have him projected as a low-end regular in center field based on the quality of his defense, but I think he'll end up hitting toward the bottom of a lineup.","8L-Mdq9jf_E","sa3008182"
"Tyler Callihan","CIN","3B","A",,9,,"40+",2024,,"20.0611111","6' 1""","205","L","R",2019,"Draft","CIN",1500000,"Providence HS (GA)","He'll likely wind up at first base eventually, but in the interim the industry is still searching for where on the defensive spectrum it might be able to shoehorn Callihan in an effort to make him as valuable a prospect as possible. He's mostly played third base, but there were some pre-draft calls for him to catch, and the Reds gave him post-draft reps at second. The bat is the carrying tool, of course. Callihan was one of the most polished (and oldest) high school hitters in the 2019 class, and performed against his elite peers on the showcase circuit. To get to all of the raw power, he probably needs to improve his feel for lifting the ball, either naturally via reps or with an explicit swing change. That's especially true should he need to move to first sooner than later. It's a scary defensive profile and Callihan's age takes away from some of my confidence in the bat, but I still think it's a high-probability hit tool with an outside shot of standing at second base.",,"sa1169610"
"Tony Santillan","CIN","RHP",,,10,,"40+",2020,,"23.2472222","6' 3""","240","R","R",2015,"Draft","CIN",1350000,"Seguin HS (TX)","Santillan's strike-throwing regressed to his career norms in 2019 and his velocity is now squarely in the low-90s. He was also put on the IL twice with shoulder and triceps injuries. It's possible a bullpen move will cause Santillan's high school and early pro velo to resurface and he could pitch in leveraged relief, but if he continues to start, he's looking more like a backend guy than a potential mid-rotation piece.","JnLLIhP5nfU","sa874781"
