Name,Org,Pos,Current Level,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video,playerId
"Bobby Witt Jr.","KCR","SS",,23,1,,"55",2023,,"20.0833333","6' 1""","185","R","R",2019,"Draft","KCR",7789900,"Coleyville Heritage HS (TX)","He swung and missed a lot during his showcase summer but Witt's subsequent fall and spring were strong enough to make him second overall pick of the 2019 draft class. His skillset compares quite closely to Trevor Story's. There are going to be some strikeouts but Witt is a big, athletic specimen who is very likely to not only stay at shortstop but be quite good there. He also has a swing geared for pullside lift (he can bend at the waist to go down and yank balls away from him, too) and the power to hit balls out even when he swings a little flat-footed. He is the son of a former big leaguer and carries himself like one, which has endeared him to scouts and coaches during the course of a high-profile amateur career laden with very high expectations. His debut statline lacked power on the surface, but the batted ball data suggests we shouldn't worry.","t9XYmBesagk","sa3011225"
"Asa Lacy","KCR","LHP",,49,2,,"50",2022,,"21.1166666","6' 4""","215","L","L",2020,"Draft","KCR",,"Texas A&M","Lacy presents scouts with a non-traditional mechanical look which makes his delivery look pretty violent about his head and shoulder, even though he has less of a head whack now than he did in high school and as an underclassman. While his delivery creates some visual relief risk, there is none regarding the pitch mix. Laxy's the slot creates backspin on the fastball that enables it to have big carry at the top of the zone, his slider has remarkable length for how hard it is, and when Lacy gets on top of his curveball it has huge, bat-missing depth. The deilvery also disorients hitters who take lots of bad, awkward swings at pitches that live in the middle of the zone. His changeup (which Lacy sets up with a two-seamer) is occasionally good-looking, and might be a real out pitch if it's re-emphasized in pro ball. ","fKeDYi5Wzzo",
"Daniel Lynch","KCR","LHP",,75,3,,"50",2022,,"23.6583333","6' 4""","195","L","L",2018,"Draft","KCR",1697500,"Virginia","On the Cape and in the first half of his junior spring, Lynch looked like a solid third round prospect, a pitchability lefty sitting 88-92 mph with mostly average stuff, and above-average feel and command. In the month or so leading up to the draft, Lynch's velo ticked up, and down the stretch he sat 92-94, touching 95 mph deep into starts, with an assortment of offspeed pitches that all flashed above-average. The track record of Virginia arms is concerning, but Lynch seemed less beholden to the issues traditionally associated with their prospects, with some scouts considering him endearingly rebellious. 
He throws a cutter, slider, curveball, and changeup that all flash above-average, with the slider occasionally flashing plus. He was 93-95 last year, and while Lynch missed a month and a half with an arm injury last summer, all of that velo and more was back in the fall, so the velo uptick has held for nearly a year now. He's a No. 4  starter.","fYTcfoSuY7w","sa3007588"
"Kris Bubic","KCR","LHP",,117,4,,"50",2022,,"22.9027777","6' 3""","220","L","L",2018,"Draft","KCR",1597000,"Stanford","A dominant junior year would have had Bubic in the late first round mix, but his control backed up, especially late in the year. He ended up being a great buy-low value pick for Kansas City as not only did the strikes return, but Bubic was throwing a little harder, too. 
He's far more likely to hang around the 50/45 FV membrane during the rest of his time in the minors than he is to move way up the list, because even though my notes have Bubic up to 95 last year, he still lives in the low-90s and succeeds because of deception and his terrific secondary stuff. I prefer his changeup and curveball to the bat-missing weapons of other arms in Kansas City's system (Jackson Kowar has a great change and throws a heavy sinker that doesn't miss bats, while Brady Singer is a sinker/command guy) and think Bubic will be a No. 4.","Yy1pUfroMeg","sa3008128"
"Brady Singer","KCR","RHP",,,5,,"45+",2022,,"23.9444444","6' 5""","210","R","R",2018,"Draft","KCR",4250000,"Florida","Well-regarded in high school in part because of his very loose and athletic (if somewhat unusual) delivery, the Blue Jays drafted Singer in the 2015 second round. Negotiations broke down, one of several times a high school pitcher has been at odds with an org run by current Braves GM Alex Anthopolous, and Singer went to Florida. After an uneven but promising freshman year in the bullpen, Singer's command improved and he carved up SEC lineups for the next two years. 
His stuff and delivery don't have the look of a dominant, whiff-getting major league starter, at least not at the moment. He has a lower, three-quarters delivery that helps create long tail on his two-seamer, but the pitch only resides in the 91-94 mph area, a 45 raw velocity that I think plays a bit better because of the movement. His low-80s slurve/slider (when it's down below hitters' knees it has more length) gets buffed by Singer's command and also plays up above its raw quality. Singer is a spiky competitor who goes right at hitters and at times has demonstrative body language when he's frustrated with umpires, which are generally traits the industry likes. On talent, he's a No. 4/5 type of starter for me, and any change to that will be determined by how Singer's changeup, which he barely used in college, develops in pro ball. The (+) designation on Singer's FV comes from his track record of durability, and his potential to eat a ton of innings and have a higher WAR output than you'd think given his stuff alone.","cdTk2Lmfb70","sa3008613"
"Erick Pena","KCR","CF",,,6,,"45+",2025,,"17.4","6' 3""","180","L","R",2019,"J2","KCR",3897500,"Dominican Republic","As an amateur, Peña was billed as a well-rounded, instinctive player with a frame that portended a fair amount of additional mass. Though not as overtly projectable as the Kristian Robinson/Alexander Ramirez sorts, Peña was clearly going to grow into some power and, based on how he hit in games and played center field, was thought to have a strong chance to become a well-rounded player, perhaps a five-tool sort, with all the tools close to average. It was surprising then that Peña arrived for his first fall instructional league looking like an NFL cornerback, with one source going so far as to tell me they think Peña has a big league body right now. 
Even though his swing is a bit clunky, and his footwork is perhaps unnecessarily conservative, Peña looked pretty comfortable against pro pitching in the fall, the best pitching he's ever faced in his life to this point; his performance included him roping a single off of Michael Kopech, who was sitting 97 that day. The surprising physicality has already brought about more power and bat speed, and Peña already has the helicopter overhead finish to his swing à la Miguel Andújar and Wander Franco. Once the industry becomes more confident in grading his defense and bat, which will come once he's faced pro pitching for an extended period of time, he could be a global top 50 prospect based on his place on the defensive spectrum and the hit/power combination.","fYcFn23SsMI",
"Jackson Kowar","KCR","RHP",,,7,,"45+",2022,,"23.7777777","6' 5""","180","R","R",2018,"Draft","KCR",2147500,"Florida","""What's the difference between this guy and Chris Paddack?"" That was the question put to me about Kowar by a source for this list. On some level, they're right. Like Paddack, Kowar has a prototypical frame, he throws in the mid-90s, and has a dominant changeup. What we now know about how and why fastballs play, however, creates some separation between the two. Though Kowar has premium starter fastball velocity, the pitch has tailing/sinking action rather than Paddack-style carry and ride, which means it's going to generate groundballs more than it will miss bats. 
Kowar's breaking ball was comfortably below average in college but the Royals have found a way to add raw spin since acquiring him (his rates are up from 2150 rpm to 2400, still shy of big league average but an encouraging development), and it's closer to average now. He'll likely rely on the element of surprise and his ability to locate it in order to be effective. This is all very similar to how Luke Weaver's reports read coming out of Florida State, and I expect Kowar to have a similar career. He's a 23-year-old who's thrown half a season above A-ball, so while I think he'll be a 50 FV eventually, there needs to be a little gap between him and someone like him who's ready for the big leagues right now.","6Gnu6dq3LLQ","sa3008273"
"Kyle Isbel","KCR","LF",,,8,,"45+",2022,,"23.3638888","5' 11""","183","L","R",2018,"Draft","KCR",592300,"UNLV","You should feel free to toss out Isbel's 2019 regular season statistical performance. After a red hot first few weeks of the season -- .348/.423/.630 -- he pulled a hamstring, and shortly after he returned to game action in Extended, he broke his hamate and was shelved again until mid-July. As is typical for hitters coming back from that injury, Isbel's numbers were poor -- .216/.282/.361 overall at Wilmington -- and improved the further away from surgery he got, culminating in a strong back half of August and Fall League; his Fall League look especially assuaged concerns. 
Isbel has a compact swing (he's a shorter-levered guy) with line drive plane. It's geared to do most of its big damage to his pull side, but he can slice extra-base contact down the left field line and into the left-center field gap. Isbel is still relatively new to playing the outfield full-time, which gives him some late projection on the defensive end. I think he'll be easily supplanted by a superior defensive center fielder but will be a plus corner defender long-term, and I'm intrigued by the idea of him playing a situational second base since he has some experience there, too. He projects as an average everyday corner outfielder.","uDxxZ8QvMhY","sa3006861"
"Khalil Lee","KCR","RF",,,9,,"45",2021,,"22.05","5' 10""","200","L","L",2016,"Draft","KCR",750000,"Flint Hill HS (VA)","Lee had yet another fairly strong year -- .264/.363/.372 with a 12% walk rate and a whopping 53 steals (fantasy folks: I'm not betting on that continuing) -- spending 2019 at Double-A Northwest Arkansas as a young 21-year-old. He has the tools of a three-true-outcomes right fielder, potentially one who plays above-average defense, but the quality of his at-bats against elite competition has been mixed, at best. It's likely going to take a swing adjustment to get Lee hitting for relevant power in games. His swing is long, and on pitches he impacts toward the top of the zone, it cuts downward. This causes Lee to be late on good velocity and drive a lot of pitches into the ground. He's still young enough to make these and other adjustments, but I have Lee projected as the larger half of a right field platoon rather than a true everyday player.","55IWf1Fbris","sa917996"
"Nick Loftin","KCR","SS",,,10,,"45",2023,,"21.8027777","6' 1""","180","R","R",2020,"Draft","KCR",,"Baylor","Loftin is a contact-oriented middle infielder with fringe power but, everything else is average to a hair above. His timing and actions around as the pivot man on doubles plays is excellent and he has plenty of arm for the left side of the infield. Offensively, Loftin will hit the occasional pull-side tank that makes you think he has big power, but he really only has it to that dead pull side. He'll concede some power in order to poke and serve balls the other way but he's much less likely to do damage that way, and he may be someone opposing teams can pitch to in pro ball. Loftin went bonkers at a big college tounrmanet in Houston just before the shutdown, and his name was mentioned as high as the middle of round one, probably for an underslot deal. By late during the first night of the draft rumors were circulating that a team in the comp round was trying to float Loftin back to them with an overslot deal (I'm not sure if it was KC) and that most teams toward the back of round one had to weigh taking him despite this, and daring him not to take slot.",,
