Name,Org,Pos,Current Level,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video,playerId
"Matt Manning","DET","RHP",,12,1,,"60",2021,,"22.4611111","6' 6""","215","R","R",2016,"Draft","DET",3505800,"Sheldon HS (CA)","If you get déjà vu reading this report it's because Manning has become the dream. All of the physical components that many front-end arms have while they're in high school were there when he was an amateur -- shooting guard frame, premium arm strength and athleticism, a breaking ball -- the stuff that enables your imagination to run wild. And Manning succeeded while devoting time to two sports, which caused him to get a late start during his draft spring because the hoops team was in the middle of a deep playoff run (Manning threw late into the prior summer, so this may have actually been good for limiting innings). 
After some initial strike-throwing issues and a change in stride direction, the REM cycle arrived. The walks came down, Manning's changeup got better, and he started working with two different fastballs and was clearly manipulating the shape of his spike curveball depending on the hitter and situation. He's never had arm issues (his 2018 IL stint was due to an oblique injury), and he has rare on-mound athleticism coupled with an understanding of how to pitch. He's going to have three out-pitches thanks to adjustments he's already made, and it's fair to assume he'll be able to make more. Manning is tracking like an All-Star starter and a potential top-of-the-rotation arm.","k-sipbEctAU","sa917924"
"Casey Mize","DET","RHP",,16,2,,"60",2020,,"23.2027777","6' 3""","208","R","R",2018,"Draft","DET",7500000,"Auburn","We would not have guessed that, at this stage, the two-sport prep pitching prospect in this system would have lower perceived variance than the dominant SEC arm who went first in his draft class, but here we are. Mize has hellacious stuff. His four-pitch mix has actually gotten better since college because he and the Tigers successfully added greater demarcation between his cutter and slider, the latter of which now has more two-plane sweep. His entire repertoire is capable of missing bats, like Manning's, but Mize's split is superior to Manning's change and he has an additional weapon, the cutter, that Manning does not. 
So why ever-so-slightly prefer Manning? Mize's injury track record is as scary as his stuff. Some teams had concerns about his shoulder when he was a draft-eligible high schooler, he had elbow issues as a sophomore at Auburn, he had a PRP injection after he pitched for Team USA the summer before his draft year, and in 2019, he missed a month with a shoulder injury. After Mize returned, he had some outings where his fastball was in the 90-92 range, he used his splitter less frequently, and when he did use it, it had more spin than usual. It's speculation, but perhaps he was tinkering with changeup grips after the injury. That's an awful lot of smoke. Purely on quality of stuff, Mize is arguably the top pitching prospect in all of baseball. We still love him and think it's perfectly reasonable to consider him the top youngster in this system and one of the best on the planet, but what Manning has become, what he might continue to develop into based on his athleticism and now-evident ability to make adjustments, combined with his much, much cleaner bill of health, shades him ahead of Mize, in our (mostly Eric's) opinion, within the same FV tier.","KTLpXoKizJU","sa3008444"
"Spencer Torkelson","DET","1B",,38,3,,"55",2022,,"20.8833333","6' 1""","220","R","R",2020,"Draft","DET",,"Arizona State","Torkelson broke Barry Bonds' freshman home run record at ASU and they're moved the fences *in* for his sophomore season, so he had another great year and was likely to break both the ASU and PAC-12 career marks as a junior before the COVID-19 outbreak ended the season. After he hit a combined .336/.445/.722 as a freshman and sophomore, Tork was off to a ridiculous .340/.598/.780 start as a junior and was leading the country in walks. He has sublime hitter's timing, plus bat speed, and above-average barrel control and ball/strike recognition, really only struggling with breaking balls located beneath the zone, which may be easy to remedy with a slightly longer stride. Tork only fits as a 1B, as he body comps to Yankees 1B Luke Voit. It's a tough profile, but his track record and tools, which are very similar to Andrew Vaughn's, are sufficient to generate confidence and top-of-the-draft enthusiasm anyway. Torkelson is probably going to move very quickly through the minors and be a thumping, heart of the order hitter.","3Q4wD3EV960",
"Riley Greene","DET","RF",,55,4,,"50",2022,,"19.7944444","6' 3""","200","L","L",2019,"Draft","DET",6180700,"Hagerty HS (FL)","Advanced high school hitters are common on Florida's diamonds, and while Greene constantly squared up top high school pitching as well as any of his peers, he also underwent a bit of a physical transformation that made at least some scouts more optimistic that he'll be able to play an instincts-driven center field long term. During his pre-draft summer, Greene was a little soft-bodied, his running gait was odd, and he seemed destined to play little more than an average outfield corner. The player scouts watched the following spring had a better physical composition, was more explosive and a better runner, and had as ripe a high school hit tool as was available in the draft. This was similar to how Jarred Kelenic's skills were colored as he came out of high school. 
Greene's swing, curated by his father from an early age, is beautiful. He can clear his hips and turn on just about anything on the inner half, drop the bat head and lift balls with power, strike balls the other way with authority, and he tracked and whacked many high school benders. The bend and flexion in Greene's front knee as his swing clears the point of impact is reminiscent of several Dodger hitters. Though there are many examples of Greene having certain types of athleticism (he is a tremendous leaper, for instance), he's not a runner and we don't have him in center field. But we think he'll hit enough that it doesn't matter.",,"sa3010694"
"Tarik Skubal","DET","LHP","AA",56,5,,"50",2021,,"23.65","6' 3""","215","L","L",2018,"Draft","DET",350000,"Seattle","Skubal was rehabbing from Tommy John during his junior year at Seattle University and only managed to throw a few bullpen sessions in front of scouts before the 2017 draft. Scouts liked what they saw, but not enough to meet a price tag that was up around $1 million according to sources. Skubal went back to school and was horrendous early in the year before he slowly began to throw more and more strikes. Now 29 teams and their evaluators are cursing themselves for either failing to notice that upward trend throughout the 2018 spring, or for noticing but lacking conviction in the draft room. 
There are some folks in baseball who have Skubal right up in the same tier with Mize and Manning. He has a dominant fastball, equal parts velocity, ride, and tough-to-square angle. So unhittable is Skubal's heater that he's struck out 37% of hitters during his pro career (48% over the final few weeks over Double-A play last year) while throwing the pitch roughly 70% of the time. No current big leaguer with a fastball that plays at the top of the zone throws their fastball that much; anyone close to 70% is a sinkerballer. An occasionally good changeup and slider aside, Skubal's secondaries are not all that great in a vacuum, but luckily they too benefit from the funky angle created by Skubal's cross-bodied, high-slot delivery. His overall swinging strike rate (18%) was higher than the rate on his fastball alone (15%), which means the secondaries were a net positive for him, but we're unsure of what big league hitters will do if they know a fastball aimed at the letters is coming most of the time. So while he's had nothing but goofy strikeout rates for two years, we think Skubal ends up more toward the middle of a rotation rather than the front.","bcoy-xb3kJY","sa3007593"
"Isaac Paredes","DET","3B",,127,6,,"50",2021,,"21.4055555","5' 11""","225","R","R",2015,"J2","CHC",800000,"Mexico","Paredes has a .291/.376/.425 line in 166 Double-A games. He's quite comfortable in the box, and shows balance throughout his swing and incredible hand-eye coordination. A lack of in-game power and/or defensive excellence, combined with the abnormally high bar to clear at third base right now, may overshadow Paredes' short-term impact in a league-wide context. Body-related concerns about his athletic longevity pinch what we think he'll do in his late 20s. Paredes should hit enough to be an average everday player, like Luis Arraez except on a corner.","f5iDesF-nuc","sa920275"
"Alex Faedo","DET","RHP","AA",,7,,"45",2020,,"24.6722222","6' 5""","230","R","R",2017,"Draft","DET",3500000,"Florida","We were quick to move off of Faedo after he sat out the summer of 2017, then returned in 2018 with a fastball several ticks lower than where it was at peak, but we did so prematurely. Much of his velocity was back in 2019. He's still searching for a consistent changeup, one with a little more velocity separation than it currently has, but Faedo's slider and slider command give him an out-pitch. He's thrown about 120 innings each of the last several years and should end up with a similar big league workload, a No. 4/5 starter.",,"sa829855"
"Joey Wentz","DET","LHP","AA",,8,,"45",2020,,"22.7722222","6' 5""","209","L","L",2016,"Draft","ATL",3050000,"Shawnee Mission East HS (MO)","Wentz has given scouts a number of different looks over the years: he hit the showcase circuit as a position player while resting his arm, showing 70-grade raw power, then showed 92-95 heat and a plus curveball at times in an uneven spring, followed by a full season debut where he mostly sat 88-91 with a great changeup. In 2018, Wentz had shoulder and oblique issues and his stuff played closer to average; in 2019 he was a bit healthier and better. He still has a near ideal frame and athleticism to go with a bag of 50- and 55-grade pitches and other qualities that give him a good shot to be a No. 4/5 starter.","qGBi5_ZAt5c","sa917946"
"Wenceel Perez","DET","SS","A",,9,,"45",2022,,"20.7055555","5' 11""","170","S","R",2016,"J2","DET",550000,"Dominican Republic","The Tigers are in a bit of a pickle with Perez. He's one of the few position players in the system who has a realistic chance of playing some sort of everyday role because of his speed, defensive profile, and feel for contact. He's also still very young, physically immature, and a very raw swinger from the left side of the plate. He'll be Rule 5 eligible next winter. Unless Perez grows into better quality contact, be it physically, mechanically, or both, he may become one of the several quality prospects who get exposed in the Rule 5 every year because the parent club thinks they're too raw for other teams to bite. Red Sox 2019 Rule 5 pick, Jonathan Arauz, is a similar player. For now, Perez projects as a second-division regular at shortstop so long as the bat-to-ball feel turns into more than spray/grounder contact.",,"sa3003326"
"Dillon Dingler","DET","C",,,10,,"45",2023,,"21.825","6' 3""","210","R","R",2020,"Draft","DET",,"Ohio State","A converted/part-time outfielder, Dingler has rare athleticism for a catcher and he's also surprisingly good at receiving considering his relative inexperience. He has some raw power but his swing path isn't really geared for it in games yet, though a broken hamate compromised his in-game power output as a sophomore. ",,
