Name,Org,Pos,Current Level,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video,playerId
"Royce Lewis","MIN","CF",,13,1,,"60",2022,,"21.1083333","6' 2""","200","R","R",2017,"Draft","MIN",6725000,"JSerra HS (CA)","One of the top-billed high schoolers during a superlative year for talent in Southern California, Lewis began garnering Derek Jeter comparisons while he was still an amateur. To a degree, those remain reasonable, though they're no longer applicable across nearly as much as Lewis' skillset as they once were. Initially, those comps came from Lewis' penchant for on-field leadership, some elements of his swing and frame, and, less positively, his future as a defensive shortstop. The Twins took him first overall and cut a below slot deal, as Lewis was seen as one of five options in a tightly-packed top tier of talent. 
Throughout his first 18 months as a pro, Lewis had statistical success while being promoted aggressively before a developmental hiccup in 2019. His overall production has slowly come down at each subsequent level, and during a 2019 season split 3-to-1 at Hi- and Double-A, he had a .290 OBP. Don't let the robust .353/.411/.565 Arizona Fall League line (he went to pick up reps after an oblique strain during the year) and MVP award fool you -- Lewis still clearly had issues. His swing is cacophonous -- the big leg kick, the messy, excessive movement in his hands -- and it negatively impacts Lewis' timing. He needs to start several elements of the swing early just to catch fastballs, and he's often late anyway. This also causes him to lunge at breaking balls, which Lewis doesn't seem to recognize very well, and after the advanced hit tool was a huge driver of his amateur profile, Lewis now looks like a guess hitter. His mannerisms -- Nomar-level batting glove tinkering, deep, heavy, deliberate breaths between pitches, constant uniform adjustment -- are manic, and they seem to pull focus away from the task at hand rather than grounding him in a ritualistic way, and the game often seems too fast for him. 
So why are we still so high on him? We're betting big on Lewis' makeup and physical talent. His BP's were the best in the entire Fall League. He is an exceptional teammate, leader, and worker, who did more early infield work than anyone else Eric saw in the AFL, willing himself to become a viable left side infield defender even though he lacks the traditional grace and fluidity for those positions. We don't think the swing works as currently constituted -- it's a mechanical departure from when Lewis was successful in high school -- but we think it'll get dialed in eventually because of his athleticism and work habits. Even if some of the pitch recognition stuff proves to be a long-term issue, we still think Lewis will be a versatile defender who plays several premium positions (we have him listed in center field because if we had to pick one spot where we think he'll eventually be best, that's it) and hits for considerable power. There may be an adjustment period similar to the one Javier Báez experienced early in his career because of the approach issues, but the star-level talent will eventually shine through.","IRGoLxDpn0U","sa3004259"
"Trevor Larnach","MIN","RF",,58,2,,"50",2021,,"23.3833333","6' 4""","223","L","R",2018,"Draft","MIN",2550000,"Oregon State","Larnach hit several balls in excess of 110 mph during Oregon State's opening weekend of his draft season, and he ended up slugging .652 that year while falling to the back of the first round amid concerns about his defensive ability. Larnach remains a sluggish, diffident outfielder, but he's very likely to get to much of his titanic raw power in games thanks to the ease with which he generates the pop -- Larnach doesn't swing with violence or effort; it's just there -- and a refined approach. We think he's a 30-plus homer, high-OBP corner outfielder.","U7sjFBR3DkI","sa3008376"
"Alex Kirilloff","MIN","1B",,61,3,,"50",2021,,"22.6805555","6' 2""","210","L","L",2016,"Draft","MIN",2817100,"Plum HS (PA)","Kirilloff's numbers weren't as nutty as they were two seasons ago -- .283/.342/.413 down from .348/.392/.578 -- but that's partly because he was on the IL twice with wrist issues. His power output was way down for the first few weeks after he returned from both, which is typical of wrist injuries, but that the issue recurred is somewhat concerning on its own. Healthy Kirilloff is going to hit and hit for power. He can turn on balls most hitters are jammed by because of the way he strides open and clears his hips, but he still has the plate coverage and swing path to lift contact the other way when pitchers work away from him. A thickening build has slowed Kirilloff down, and he's now begun seeing a lot of time at first base. This, combined with a pretty aggressive approach, makes him somewhat risky from some teams' perspectives, who see a first baseman with below-average plate discipline, but we think he's a safe bet to be a .340 to .360 wOBA guy even with how swing-happy he can be.","l3xPPnRQA7o","sa917929"
"Jhoan Duran","MIN","RHP",,66,4,,"50",2020,,"22.5166666","6' 5""","230","R","R",2014,"J2","ARI",65000,"Dominican Republic","Duran seemingly drew lots of trade interest while with Arizona. Loose, lean, and wielding premium stuff, his name was rumored to be on some PTBNL lists before he was ultimately traded to Minnesota as part of the Eduardo Escobar deal in 2018. During his first few pro seasons, Duran's velocity yo-yo'd a bit; at times, he was in the upper-90s, while he was more 91-95 at others. He was also demoted from the Northwest League back to the AZL in 2017 for reasons apparently unrelated to performance. The following spring, not only was Duran's velocity more stable -- in the 93-96 range -- but he was throwing strikes and had more consistent secondary stuff. 
Duran continued to fill out into 2019 and his velocity kept climbing, settling in the upper-90s and cresting 100. He worked with better angle after the Twins acquired him last summer, a change that improved the playability of his breaking ball without detracting from his changeup's movement, though that pitch has been de-emphasized based on our sources' looks. He's tracking like a mid-rotation starter.","nj13l4r6Qug","sa873347"
"Jordan Balazovic","MIN","RHP","AA",77,5,,"50",2021,,"21.825","6' 4""","215","R","R",2016,"Draft","MIN",515000,"St. Martin HS (CAN)","After a breakout 2018, Balazovic spent most of 2019 dominating the Florida State League as a 20-year-old. Perhaps the most important takeaway was that he retained his stuff amid an innings increase, and while he hasn't yet worked a major league starter's regimen, he'll be on pace to do so if he can add 20-30 frames over each of the next two years. 
He throws strikes with four pitches, several of which either project to miss bats or do so right now. Chief among them is his fastball, which is tough for hitters to pick up out of Balazovic's hand as they're misdirected by his limbs flying all over the place during the delivery. Even with a somewhat lower arm slot, Balazovic's heater plays at the top of the zone. He can vary the shape of his breaking balls -- the slider is the out pitch, the curveball gets dropped in for strikes -- and both play up against righties because of the mechanics. And while Balazovic's glove-side slider command should be enough for him to deal with lefties eventually anyway, his change improved in 2019. He throws an unusually high number of strikes for such a young, lanky, cold-weather arm with a somewhat violent delivery, and he's had no health or control issues thus far. He pretty firmly projects as a No. 4 starter right now.",,"sa918017"
"Ryan Jeffers","MIN","C",,,6,,"45+",2021,,"23.3555555","6' 4""","230","R","R",2018,"Draft","MIN",800000,"UNC Wilmington","Jeffers has answered some of the defensive questions he faced in college, when it was unclear if he'd catch or end up at first base. Eyeball evaluations of his receiving are still mixed but according to our sources (and not just ones with Minnesota), the framing metrics are pretty good. The Twins, along with a growing number of other orgs, have their catchers set up on one knee (some have their receivers ditch it with two strikes, others don't), which seems to affect how many called strikes they steal, at least in the minors. 
Jeffers spent most of his first full pro season at Hi-A Fort Myers (120 wRC+) and had a strong final month at Double-A Pensacola. He has average bat-to-balls skills, above-average thump, and the ability to hit the ball in the air consistently. The athleticism, breaking ball recognition, and, perhaps most importantly, plate coverage are all a tick below average. We're still a tad concerned Jeffers may have to play first base sometime soon, which is the only thing keeping him from the 50 FV tier.",,"sa3007051"
"Lewis Thorpe","MIN","LHP",,,7,,"45",2020,,"24.6416666","6' 1""","220","R","L",2012,"J2","MIN",500000,"Australia","Thorpe is now pretty far removed from the severe injury issues that plagued him early in his pro career, and he'll likely be in the Twins rotation all of next year. The flat-planed nature of his fastball enables the pitch to miss bats despite mediocre velocity, but it also makes Thorpe fly ball prone. Of his three secondary pitches, his curveball has the most visually pleasing movement but it's much slower than his other pitches and might be best if used less than his sweeping slider. 
He's a high probability No. 4/5 starter for us, though there are industry folks who have him in the No. 3/4 area because of the quality of the secondaries.","Txe_vF8DcKE","15906"
"Keoni Cavaco","MIN","3B","R",,8,,"45",2024,,"19.1166666","6' 0""","195","R","R",2019,"Draft","MIN",4050000,"Eastlake HS (CA)","A growth spurt buoyed Cavaco's tools and draft stock, and he was last year's most prominent pop-up high school prospect. He may have had the best frame in the entire draft but had already grown into considerable power as a senior, which he got to in games despite an awkwardly-timed stride. At times clumsy on defense, Cavaco may still be growing into his new body. He was also catching early in high school, and had to move all over the infield during his upperclass days because talented young shortstop Marcelo Mayer went to the same high school. He may end up at second or third base, or get a try in center field if his hands and actions don't improve. He's one of the 2019 draft's higher risk, higher reward prospects.","SHLWav7QLz0","sa3010706"
"Gilberto Celestino","MIN","CF",,,9,,"45",2021,,"21.4194444","6' 0""","170","R","L",2015,"J2","HOU",2250000,"Dominican Republic","We were pretty surprised when we sourced Celestino's exit velos and learned the ball leaves his bat at 90 mph on average, which is above the big league average. We don't think that means Celestino is going to hit for power, or even that it means he has more raw than we thought, just that he hits the ball hard with consistency,  a pervasive trait in this system. 
At a compact 6-foot or so, he's unlikely to grow into much thump. Instead, Celestino is a potential everyday player because of his bat-to-ball skills and his center field defense. Celestino was more of an instincts/feel defender as an amateur, but he's sped up as he's grown into his modest frame and projects as a plus glove now. His athleticism is evident not only on defense, but in the batter's box, too, where Celestino stays well balanced during a long, slow leg kick. The lack of power projection caps his ceiling, but we like the defense and bat enough to consider Celestino a potential regular, and a low-variance sort of prospect.","QyYaz8gJrxc","sa914313"
"Misael Urbina","MIN","CF","R",,10,,"40+",2023,,"18.2138888","6' 0""","175","R","R",2018,"J2","MIN",2750000,"Venezuela","Urbina was one of the more advanced hitters in his July 2 signing class from both a bat control and physical development perspective. He was also one of the youngest. Currently an above-average runner, there's a fair chance he ends up in left field due to a lack of top-end speed, though it might depend on how his body develops. 
Urbina's power projection is somewhat limited by his size, which may be an issue if he does eventually move to a corner. He's an explosive rotator though, and this guy's power doesn't just come from size and strength, but rather a an upper body that unwinds kind of like Yuli Gurriel's does. Urbina also has many promising bat-to-ball traits -- timing, hand-eye coordination, all-fields feel -- at a young age. He's one of the high priority Florida minor league/extended spring prospects to see, and we currently have him FV'd just a shade behind the top prep outfielders in the 2020 class.","rflqhRGiZ0I","sa3008743"
