Name,Org,Pos,Current Level,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video,playerId
"Luis Robert","CHW","CF","AAA",7,1,,"60",2020,,"22.9472222","6' 3""","190","R","R",2016,"J2","CHW",26000000,"Cuba","Not only was Robert finally healthy throughout 2019 (thumb and hamstring issues cost him most of 2018), but he and the White Sox made successful changes to his swing and his power production skyrocketed. The changes, based on my notes, are subtle. A narrower base, a little bit deeper load to the hands, and a front side that stays closed a little longer. These are relatively small tweaks to a swing that is comically simple, but the results -- his 2018 groundball rate was between 44-50% depending on the level, while his 2019 rates were 26-32% -- were astounding. It's terrifying that Robert can generate the kind of power he does with such a conservative stride back toward the pitcher, and it juxtaposes with many of the movement-heavy swings that have been pervasive throughout baseball since Josh Donaldson and José Bautista broke out. 
Robert does have plate discipline issues. He chases a lot of breaking balls out of the zone and it took a lot of convincing from industry folks to move him as high on my Top 100 as I did even though Robert has the surface-level traits that tend to make me irrationally excited. He has one of the best physiques in pro sports, he's a plus-plus runner, and his instincts in center field are terrific. The power production and OBP may be somewhat limited by the approach, very similarly to how Starling Marte's have been, but Marte is a 60, so here we are.","yolHGuJGfEk","sa3003396"
"Michael Kopech","CHW","RHP","MLB",19,2,,"60",2020,,"24.2055555","6' 3""","205","R","R",2014,"Draft","BOS",1600000,"Mt. Pleasant HS (TX)","Just as Kopech seemed to be harnessing his hellacious stuff, he blew out. In the seven minor league starts before his big league debut, he walked just four batters, and was similarly efficient in his first few big league outings. But in his final start, the Tigers shelled him and his velocity was down; an MRI revealed he would need Tommy John. The timing was particularly cruel, not just because things had started to click, but also because late-season TJs usually cost the pitcher all of the following year, and indeed, Kopech didn't throw in a game environment until the 2019 instructional league. His first fastball in the fall? Ninety-nine miles per hour, and he sat 94-99 on the Camelback Ranch backfields.
His stuff is great, headlined by a mid-90s fastball that often crests 100 mph. The command inroads Kopech made late in 2018 are especially important for his ability to deal with lefties, because his changeup feel is not very good. He'll need to mix his two breaking balls together to deal with them, and his slider feel is way ahead of the curveball. So long as Kopech's stuff returns, he has No. 3 starter ceiling if the command comes with it, and high-leverage relief ability if it does not.","JXUYoulUEo8","17282"
"Andrew Vaughn","CHW","1B",,37,3,,"55",2021,,"22.2805555","5' 11""","210","R","R",2019,"Draft","CHW",7200000,"Cal","So polished and consistent was Vaughn that even though he provides little defensive value and had a ""down"" junior year (yes, .374/.539/.704 was well below Vaughn's .402/.531/.819 Golden Spikes sophomore campaign), the entire amateur side of the industry loved him. Vaughn started seeing a lot of breaking balls once conference play began -- about 15% fewer fastballs to be more exact. He was pitched around and unable to make as much impact contact, but all the tools were still there. Vaughn has a very selective approach, letting strikes he can't drive pass him by unless he has to put a ball in play, a skill I compared before the draft to Paul Konerko's (I mentioned this to a Special Assistant who scoffed and said he thought Vaughn was way better). He has a very athletic swing despite being decidedly unathletic in every other way, enabling all fields power and high rates of contact. 
There's no margin for error for right-handed hitting first baseman, but if there's one prospect to be confident in hitting as much as is necessary to profile at first, it's someone with this combination of visual evaluation and statistical track record. Vaughn's post-draft TrackMan data is also supportive, and suggests he could be a .300/.400/.500 hitter. How fast he comes up and where he plays when he arrives (it's 1B/DH but José Abreu exists, Edwin Encarnación is on a one-year deal, Eloy Jiménez might have a DH body soon, Micker Adolfo already does, and Nomar Mazara was added this winter) will be dictated by those around him.","cPv9SsBcKQk","sa3011226"
"Nick Madrigal","CHW","2B",,42,4,,"55",2020,,"23.3305555","5' 7""","165","R","R",2018,"Draft","CHW",6411400,"Oregon State","Madrigal had the lowest swinging strike rate in the minors last year at a miniscule 2.2% -- only Luis Arraez (2.8%) came close to that in the big leagues. Short players have short swings and Madrigal is no exception. He pulled and lifted the ball more last season than he did the year before, but unless the big league baseball is particularly kind to about a dozen of Magic Man's wall-scraping fly balls, he doesn't project to hit for more than doubles power. That's fine, though. Second base has the lowest league-wide wRC+ of all the non-catching positions right now and several punchless contact hitters have had good careers (Arraez was a 2 WAR player in 90 games, Joe Panik was a 50 FV, etc.), and most all of them are nowhere near the runner or defender that Madrigal is -- he has some of the fastest hands I've seen around the bag, and he's going to steal outs because of how quickly he turns feeds from Tim Anderson around to first base. He doesn't have a high ceiling because of the lack of power but I consider Madrigal a low-variance, above-average regular at second.","tQxQekapA8k","sa3008139"
"Garrett Crochet","CHW","LHP",,,5,,"45",2021,,"21.0638888","6' 5""","210","L","L",2020,"Draft","CHW",,"Tennessee","Crochet spent most of his college career coming out of the bullpen and made just one start in 2020 after missing the first few weeks of the season with what the team claimed was shoulder soreness, which MLB teams are skeptical of and think had to do with an off-the-field matter. In his one appearance Crochet threw 3.1 innings and was absolutely electric, touching 99 and flashing a 70-grade slider. How teams value him (relief risk, injury or makeup issues) is highly variable but those focused on his pitch data think he has among the best raw stuff in the class and is one of the few pitchers available who might pitch at the top of a rotation or in the back of a bullpen.",,
"Dane Dunning","CHW","RHP",,,6,,"45",2020,,"25.5666666","6' 4""","200","R","R",2016,"Draft","WAS",2000000,"Florida","Dunning was an intriguing projection arm in high school who flashed average stuff and had a good blend of size and athleticism. He took a big step forward during his freshman year at Florida, though the rest of the talent on that pitching staff pushed him to a bullpen/midweek/spot starting role for much of his career. The industry still valued him in the first round by the time he was a junior, and Washington selected him 29th overall in 2016, before trading him that winter for eventual title contributor Adam Eaton. 
Dunning had a very strong 2017, when his prospect value hit its pinnacle; he was viewed as a near-ready No. 4 starter and a core part of Chicago's rebuild. Then he missed the second half of 2018 with an elbow strain and tore his UCL during 2019 spring training, which required surgery. He was slated to be back midway through 2020 and in late February was throwing live BP, during which his fastball velo sat in the low-90s. He's thrown side sessions since baseball's shut down. It'll have to involve backfield rehab outings during whatever weird, abbreviated season we're about to have, but I think it's likely Dunning plays some kind of role on the staff this year, even if it's just as a spot starter. His long-term outlook is that of a no. 4/5 starter.",,"sa738926"
"Jared Kelley","CHW","RHP",,,7,,"45",2025,,"18.7805555","6' 2""","225","R","R",2020,"Draft","CHW",,"Refugio HS","Kelley goes right at hitters with upper-90s gas and has a disappearing changeup. His curveball is occasionally average but more often is below, and breaking ball spin is seen as something a pitching prospect either has or does not, so the ceiling on that pitch is viewed as limited. If the curveball can be average then Kelley can be a mid-rotation starter. If not, he has late-inning relief stuff.","pdY_rmrCjTc",
"Jonathan Stiever","CHW","RHP","A+",,8,,"40+",2022,,"23.1722222","6' 2""","205","R","R",2018,"Draft","CHW",386300,"Indiana","During 2019 spring training and the early part of the season, Stiever's fastball sat in the 89-92 range. As the temperature climbed, so too did Stiever's velocity, and he started pounding the zone with 92-95, peaking at 97. In a season split between Low- and Hi-A, Stiever struck out 154 hitters and walked just 27 in 145 innings and became one of the org's better starting pitching prospects. The velocity (assuming it holds), Stiever's plus curveball, and his strike-throwing ability all already fit a big league bullpen role, and potentially a significant one if one-inning, max-effort outings enable more velocity. For Stiever to profile as a league-average starter, his slider and/or changeup need to improve. Those two pitches were slated to be a developmental focus for the right-hander this season, but we didn't get a look at them during the spring because Stiever was shut down with a forearm soreness.",,"sa3007233"
"Zack Collins","CHW","C",,,9,,"40+",2020,,"25.4388888","6' 3""","220","L","R",2016,"Draft","CHW",3380600,"Miami","He remains a frustrating defensive catcher who the team need only live with in a part-time capacity now that Yasmani Grandal is in Chicago, but Collins has some impact offensive ability. Both his elite approach (a 19% career walk rate since his freshman year at Miami) and power still exist and drive what should be a valuable part-time role as a first baseman, (bad) catcher, and DH. He and Yermin Mercedes are arguably redundant and project to play a similar role, with Collins' lefty bat and the two year age difference between them driving me to order them like this.","fK2DsmC5BT0","19181"
"Yermin Mercedes","CHW","DH",,,10,,"40+",2020,,"27.4166666","5' 11""","225","R","R",2010,"J2","WAS",,"Dominican Republic","I believe Mercedes will one day be a Chicago sports cult hero. He's highly entertaining and talented enough to play a relevant big league role despite being a total defensive misfit. Stout and beefy, Mercedes is built such that he looks ripped and fat at the same time. He has a needlessly noisy, punk rock swing (until he has two strikes, which I'll get to) with a big leg kick and all kinds of pre-swing bat waggling, but it always pauses with Mercedes balanced, his hands in good position, ready to unload on the baseball, which he often does. Mercedes ditches the leg kick with two strikes, but he's so strong that he puts balls in play -- hard -- without it. 
His route to the precipice of the big leagues has been scenic. After three years with Washington, Mercedes was cut and spent 2014 in Indy ball, including time in the Pecos League with the White Sands Pupfish. Baltimore signed him and had him for two years before losing him to Chicago in the 2017 minor league Rule 5 Draft. 
Mercedes has now hit his way up the ladder (a .302/.366/.491 career line, including those mediocre years with Washington that brought about his release) and has big league offensive ability -- he just cannot catch. While he presents strikes to umpires well on occasion, he'll also just totally whiffs sometimes and is constantly running to the backstop. Craig Littleman, a former coworker of mine who played for White Sands with Mercedes in 2014, told me even that team was trying to hide him on defense. He also said Mercedes was by far the team's smartest, most talented hitter. I'm not anticipating Mercedes will be able to catch every day once automated strike zones come about, but I do think it gives him a better chance to do so once in a while and that he'll hit enough as a DH/1B to play a part-time role anyway. Plus, he has real value as a trade chip if the universal DH is ever instituted. He's a good, relevant hitting prospect despite his age.",,"sa597096"
