,WAR Delta,Age,Previous War
0,0.5,29.0,-0.2
1,0.2,30.0,0.3
2,2.9,31.0,0.5
3,-0.8999999999999999,32.0,3.4
4,-2.3,33.0,2.5
5,1.6,34.0,0.2
6,-2.0,35.0,1.8
7,0.39999999999999997,36.0,0.2
8,-0.3,37.0,0.6
9,3.2,25.0,-0.1
10,0.2999999999999998,26.0,3.1
11,3.5000000000000004,27.0,3.4
12,-6.5,28.0,6.9
13,2.5,29.0,0.4
14,-0.5,30.0,2.9
15,-2.1999999999999997,31.0,2.4
16,0.6000000000000001,24.0,-0.8
17,0.1,25.0,-0.2
18,-0.5,26.0,-0.1
19,1.8,24.0,0.0
20,-2.0,25.0,1.8
21,2.0,26.0,-0.2
22,-2.7,27.0,1.8
23,0.4,28.0,-0.9
24,1.2,25.0,-0.6
25,1.6999999999999997,26.0,0.6
26,-0.2999999999999998,27.0,2.3
27,-0.30000000000000004,28.0,2.0
28,1.5000000000000002,29.0,1.7
29,-0.5,30.0,3.2
30,-2.2,33.0,1.5
31,1.1,34.0,-0.7
32,-1.0,35.0,0.4
33,0.3,36.0,-0.6
34,0.1,24.0,-0.1
35,-0.2,25.0,0.0
36,0.2,26.0,-0.2
37,-0.5,27.0,0.0
38,1.2,28.0,-0.5
39,-0.6,29.0,0.7
40,0.19999999999999998,30.0,0.1
41,-0.5,31.0,0.3
42,0.0,32.0,-0.2
43,-0.9,23.0,0.4
44,0.6,24.0,-0.5
45,0.1,25.0,0.1
46,-0.8999999999999999,26.0,0.2
47,3.1,30.0,-1.3
48,-2.3,31.0,1.8
49,1.8,32.0,-0.5
50,-1.3,33.0,1.3
51,0.0,25.0,0.0
52,-0.3,26.0,-0.2
53,-0.30000000000000004,27.0,-0.5
54,0.5,28.0,-0.8
55,-0.2,29.0,-0.3
56,0.3,30.0,-0.5
57,0.2,31.0,-0.2
58,-0.2,32.0,0.0
59,-0.2,33.0,-0.2
60,-0.09999999999999998,34.0,-0.4
61,0.4,35.0,-0.5
62,-0.6,36.0,0.1
63,0.7,37.0,-0.5
64,0.0,25.0,-0.2
65,0.0,26.0,-0.2
66,0.2,27.0,-0.2
67,0.0,28.0,0.0
68,0.0,29.0,0.0
69,0.0,30.0,0.0
70,0.0,31.0,0.0
71,0.0,32.0,0.0
72,-0.29999999999999993,24.0,0.7
73,0.9999999999999999,25.0,0.4
74,-1.5999999999999999,26.0,1.4
75,4.1,27.0,-0.2
76,0.30000000000000027,28.0,3.9
77,-2.9000000000000004,29.0,4.2
78,2.4,24.0,1.5
79,1.3000000000000003,25.0,3.9
80,-4.6000000000000005,26.0,5.2
