,WAR,Age,Previous War,2yr_war,ratio
0,1.1,25.0,-0.2,-0.4,0.2405063291139241
1,-0.7,26.0,1.1,-0.2,0.2405063291139241
2,-0.1,27.0,-0.7,1.1,0.2405063291139241
3,-0.8,25.0,0.8,0.4,0.0
4,0.9,28.0,0.7,-0.5,0.0
5,2.0,27.0,0.8,0.1,0.0
6,2.0,28.0,2.0,0.8,0.0
7,1.3,29.0,2.0,2.0,0.0
8,0.4,30.0,1.3,2.0,0.0
9,-0.5,31.0,0.4,1.3,0.0
10,-0.2,31.0,0.0,0.4,0.0
11,0.1,28.0,-0.9,-0.5,0.5957446808510638
12,0.1,29.0,0.1,-0.9,0.5957446808510638
13,2.9,25.0,-0.1,0.2,0.0
14,2.1,25.0,-0.7,0.5,0.875
15,1.8,26.0,2.1,-0.7,0.875
16,3.4,27.0,1.8,2.1,0.875
17,2.9000000000000004,28.0,3.4,1.8,0.875
18,4.5,29.0,2.9000000000000004,3.4,0.875
19,3.2,30.0,4.5,2.9000000000000004,0.875
20,0.09999999999999998,31.0,3.2,4.5,0.875
21,-0.7,32.0,0.09999999999999998,3.2,0.875
22,-1.4,33.0,-0.7,0.09999999999999998,0.875
23,-0.2,28.0,-0.2,0.1,0.0021598272138228947
24,-0.2,29.0,-0.2,-0.2,0.0021598272138228947
25,0.2,30.0,-0.2,-0.2,0.0021598272138228947
26,1.5,31.0,0.2,-0.2,0.0021598272138228947
27,0.5,32.0,1.5,0.2,0.0021598272138228947
28,1.2,33.0,0.5,1.5,0.0021598272138228947
29,0.09999999999999998,26.0,-0.30000000000000004,0.5,0.9844961240310076
30,3.7,27.0,0.09999999999999998,-0.30000000000000004,0.9844961240310076
31,5.0,28.0,3.7,0.09999999999999998,0.9844961240310076
32,5.5,29.0,5.0,3.7,0.9844961240310076
33,1.6,30.0,5.5,5.0,0.9844961240310076
34,1.1,31.0,1.6,5.5,0.9844961240310076
35,-1.1,32.0,1.1,1.6,0.9844961240310076
36,0.7999999999999999,33.0,-1.1,1.1,0.9844961240310076
37,1.3,34.0,0.7999999999999999,-1.1,0.9844961240310076
38,-0.7,35.0,1.3,0.7999999999999999,0.9844961240310076
